Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
Mi NNEAPOLIS MINN,54 55,,,,,,,,,,,,,,,73.4,173
NUMBER OF SAMPLES,,1,1,1,1,,2,,5,4,3,2,1,,,95.5,173
MAX,,10,7,10,6,,5,,60,5,6,10,20,,,87.7,173
AVERAGE,,10,7,10,6,,3,,14,4,,,20,,,95.0,173
MINtMUM,,10,7,10,6,,2,,2,4,4,4,20,,,92.5,173
KA NSAS CITY MO,55 56,,,,,,,,,,,,,,,93.3,173
NUMBER OF SAMPLES,,4,2,3,3,,2,2,4,1,1,1,1,,,95.5,173
MAXIMUM,,30,17,12,5,6,10,5,10,4,,10,20,,,92.2,173
AVERAGE,,15,13,8,4,2,7,3,7,4,7,10,20,,,95.8,173
MINIMUM,,5,10,7,4,,4,1,,4,7,10,20,,,92.3,173
LOUIS WMO,55 56,,,,,,,,,,,,,,,90.8,174
NUMBER OF SAMPLES,,2,2,,,3,,2,,1,1,3,,,,95.4,174
MAX MUM,,30,,,20,8,7,8,20,10,8,10,20,,,92.3,174
AVERAGE,,25,35,,14,6,6,6,12,10,8,9,15,,,94.5,174
MIN MUM,,20,20,,8,4,5,4,6,10,8,8,10,,,90.8,174
NEW ORLEANS LA,54 55,,,,,,,,,,,,,,,95.8,174
NUMBER OE SAMPLES,,2,3,3,4,4,4,6,4,4,4,,3,,,95.3,174
MAX I MUM,,3,5,3,2,,,7,5,6,5,3,7,,,91.9,174
AVERAGE,,1,4,1,,3,,3,3,,1,1,4,,,95.5,174
MIN I MUM,,,3,,,2,,,3,3,,,,,,87.3,174
FT WORTH TEXAS,54 55,,,,,,,,,,,,,,,94.2,174
NUMBER OF SAMPLES,,2,2,2,2,2,2,2,2,2,2,2,2,,,95.5,174
MAX I MUM,,5,10,7,5,3,9,3,2,3,3,4,4,,,93.5,174
AVERAGE,,3,8,4,4,2,7,2,2,2,3,2,3,,,95.8,174
MIN 1 MUM,,2,6,2,4,2,5,2,2,1,3,1,2,,,93.1,174
HOUSTON TEXAS,54 55,,,,,,,,,,,,,,,95.2,174
NUMBER OF SAMPLES,,,5,6,4,5,6,7,3,6,6,9,7,,,93.5,174
MAX I MUM,,,3,6,3,3,,5,3,16,60,3,12,,,91.1,174
AVERAGE,,,2,2,,1,3,2,2,7,12,1,5,,,95.3,174
MIN I MUM,,,,,,,,,,,,,1,,,85.0,174
BELLA RE TEXAS,54 55,,,,,,,,,,,,,,,95.0,174
NUMBER OF SAMPLES,,3,2,3,2,2,2,2,3,3,4,2,3,,,95.5,174
MAX I MUM,,4,,3,,6,10,3,5,,2,2,5,,,92.8,174
AVERAGE,,,,2,,5,5,2,2,,1,1,2,,,94.9,174
MIN MUM,,,,2,,4,,2,,,,,,,,93.2,174
OENVER COL,54 55,,,,,,,,,,,,,,,81.0,174
NUMBER OF SAMPLES,,2,2,2,2,2,2,2,2,,2,1,2,,,95.8,174
MAX t MUM,,5,5,10,20,20,,10,3,,,6,,,,88.8,174
AVERAGE,,2,4,6,15,11,,6,1,,,6,,,,94.6,174
MIN I MUM,,,3,3,10,3,,3,,,,6,,,,90.1,174
SA LT LAKE CiTY UTAH,54 55,,,,,,,,,,,,,,,93.0,174
NUMBER OF SAMPLES,,3,2,2,2,2,2,2,2,2,2,2,3,,,95.6,174
MAX I MUM,,20,30,30,7,20,30,20,10,10,10,10,10,,,92.8,174
AVERAGE,,9,18,18,6,13,20,13,10,10,10,8,7,,,94.5,174
MIN 1 MUM,,1,7,7,5,6,10,7,10,10,10,6,6,,,85.7,174
AN CHORAGE ALASKA,54 55,,,,,,,,,,,,,,,91.8,174
NUMBER OF SAMPLES,,,1,2,2,,4,,1,,1,1,1,,,94.6,174
MAX J MUM,,,4,10,20,,120,,10,,10,5,7,,,94.2,174
AVERAGE,,,4,5,11,,39,,10,,10,5,7,,,95.0,174
MIN I MUM,,,4,,3,,9,,10,,10,5,7,,,90.7,174
SA N FRANCISCO CALIF,55 56,,,,,,,,,,,,,,,93.2,174
NUMBER OF SAMPLES,,3,2,2,1,3,2,5,2,3,3,5,1,,,94.5,174
MAX MUM,,30,8,20,10,10,9,7,4,5,20,20,20,,,94.1,174
AVERAGE,,22,5,,10,,7,5,4,3,9,,20,,,95.0,174
MiN J MUM,,7,3,3,10,3,5,3,4,2,2,,20,,,91.6,174
PA SADENA CALIF,55 56,,,,,,,,,,,,,,,87.2,174
NUMBER OF SAMPLES,,2,2,1,3,3,2,3,,2,2,,,,,95.7,174
MAX MUM,,100,100,3,20,30,10,30,,30,40,,,,,95.7,174
AVERAGE,,100,52,3,15,21,8,20,,25,30,,,,,94.6,174
MioN MUM,,100,5,3,10,10,7,10,,20,20,,,,,84.1,174
SA N JOSE CALIF,55 56,,,,,,,,,,,,,,,93.5,174
NUMBER OF SAMPLES,,1,2,2,,3,3,3,3,2,1,2,3,,,94.8,174
MAX I MUM,,20,10,,,40,10,20,30,35,16,20,40,,,90.3,174
AVERAGE,,20,9,4,,19,7,13,a4,34,16,12,22,,,91.2,174
MIN MUM,,20,9,4,,7,6,10,21,34,16,5,7,,,90.7,174
SA N LEANORO CALIF,55 56,,,,,,,,,,,,,,,87.2,174
NUMBER OF SAMPLES,,3,1,2,1,1,2,4,4,1,3,7,1,,,95.3,174
MAX I MUM,,20,5,10,7,10,30,20,90,10,20,40,10,,,94.1,174
AVERAGE,,13,,10,7,10,20,17,30,10,20,19,10,,,95.6,174
MIN MUM,,10,5,10,7,10,10,9,10,10,20,5,10,,,93.1,174
PORTLAND OREGON,54 55,,,,,,,,,,,,,,,94.8,174
NUMBER OF SAMPLES,,1,,3,1,,,2,7,5,1,,,,,94.1,174
MAX MUM,,100,,100,30,,,100,100,90,100,,,,,95.6,174
AVERAGE,,100,,60,30,,,85,,64,100,,,,,95.3,174
MIN t MUM,,100,,20,30,,,70,30,30,100,,,,,91.0,174
SEATTLE WASH,57,,,,,,,2,,,,,,,,89.2,174
NUMBER OF SAMPLES,,2,2,1,2,3,2,,2,3,1,,,,,94.8,174
MAX MUM,,180,120,140,30,120,58,7S,95,71,88,,,,,91.0,174
AVERAGE,,150,110,140,27,90,40,61,59,55,88,,,,,94.9,174
MIN J MUM,,120,100,140,25,71,22,48,24,26,88,,,,,93.0,174
SUBURBAN,,,,,,,,,,,,,,,,95.0,175
MIDOLESEX CNTY MASS,55,,,,,,,,,,,,,,,91.5,175
NUMBER OF SAMPLES,,2,1,2,,1,3,2,3,,1,2,3,,,93.9,175
MAXIMUM,,20,20,20,,2,30,10,10,10 6,,9,30,,,93.3,175
AVERAGE,,11,20,,,2,16,6,5,,,5,13,,,95.7,175
MINIMUM,,3,20,4,,2,,3,2,,,2,4,,,94.2,175
LA KEHURST N,55 56,,,,,,,,,,,,,,,91.2,175
NUMBER OF SAMPLES,,2,1,2,2,2,1,1,,,1,2,1,,,94.8,175
,,14,,11,39,6,13,5,,5,3,17,,,,93.9,175
AVERAGE,,12,,8,21,3,13,5,,5,3,11,5,,,91.6,175
MINIMUM,,10,,5,3,,13,5,,4,3,6,5,,,89.0,175
KA NAWHA co WwW VA,55,,,,,,,,,,,,,,,83.5,175
NUMBER OF SAMPLES,,1,3,2,,2,1,3,1,,2,1,1,,,94.0,175
MAXIMUM,,3,7,5,,20,4,3,5,,4,,,,,94.3,175
AVERAGE,,3,2,4,,13,4,1,5,,3,,,,,92.9,175
MINIMUM,,3,,3,,6,4,,5,,3,,,,,91.4,175
DOE NVER COUNTY COLO,54 55,,,,,,,,,,,,,,,80.5,175
NUMBER OF SAMPLES,,,1,1,1,,,1,,2,2,1,1,,,93.4,175
MAXIMUM,,,2,,4,,,5,,3,3,4,2,,,91.8,175
AVERAGE,,,2,,4,,,5,,2,3,4,2,,,95.1,175
MINIMUM,,,2,,4,,,5,,2,3,4,2,,,91.2,175
NONURBAN,,,,,,,,,,,,,,,,90.0,175
PT WORONZOF ALASKA,55 56,,,,,,,,,,,,,,,91.6,175
NUMBER OF SAMPLES,,1,,1,1,2,,1,2,1,1,1,1,,,92.8,175
MAX i MUM,,30,,2,200,30,,20,9,6,9,20,10,,,78.1,175
AVERAGE,,30,,2,200,25,,20,7,6,9,20,10,,,95.4,175
MINIMUM,,30,,2,200,20,,,5,6,9,20,10,,,94.8,175
