Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,5,,,,79.5,150
MIiOOLESEX CNTY MASS,1,55,23,,9,2,,,1,1,1,2,2,,,,,87.6,150
LAKEHURST N J,1,55 56,19,,3,1,,,,1,1,,1,2,,,,91.8,150
KANAWHA co W VA,1,54 55,23,,45,3,,,1,1,1,,2,3,,,,91.3,150
HILLSBOROUGH CO FLA,1,54,4,3,5,4,,3,3,4,4,4,4,4,,,,95.3,150
FULTON CO GEORGIA,1,54,8,1,,8,1,3,3,4,7,8,10,10,10,,,95.6,150
HAMILTON COUNTY,1,54 55,36,,18,,,1,1,2,4,5,5,10,12,,,92.7,150
TONKA BAY MINN,1,54,9,,9,3,1,1,2,3,4,4,4,5,,,,95.2,150
DENVER COUNTY COLO,1,54 55,10,,7,1,,,1,1,1,1,2,2,4,,,94.9,150
SALT LAKE CO UTAH,1,54,5,,3,1,,,1,1,1,1,1,,3,,,93.5,150
MULTNOMAH CNTY ORE,1,54,12,1,9,4,1,2,3,3,3,4,4,7,9,,,95.7,150
GRAND TOTAL,,54 56,149,,45,3,,1,1,1,2,3,4,5,9,,,94.9,150
NONURBAN,,,,,,,,,,,,,,,,,,90.0,150
PT WORONZOF ALASKA,1,55 56,12,,11,3,,1,1,1,,2,2,3,10,,,93.8,150
