Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,1,,,,,,,86.5,117
CNTY MASS,,55,23,,3,1,,,,1,,1,1,,2,,,93.9,117
LAKEHURST N J,,55 56,17,,3,,,,,,1,1,1,,2,,,88.5,117
KANAWHA co WwW VA,,55,17,,3,1,,,1,1,1,,1,,2,,,85.4,117
DENVER COUNTY COLO,,54 55,io,,4,1,,,1,1,1,1,2,,3,,,93.4,117
GRAND TOTAL,,54 96,67,,4,1,,,1,1,1,,1,,2,,,90.8,117
NONURBAN,,,,,,,,,,,,,,,,,,92.0,117
PT WORONZOF ALASKA,,55 56,12,,1,,,,,,,,,,,,,91.4,117
