Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CO SAMPLES,55 56,,,,,,,,,,,,,,,90.4,142
NUMBER OF,,2,2,4,5,3,3,3,4,1,4,3,2,,,93.7,142
MAXIMUM,,5,9,10,10,it,,10,15,5,19,17,14,,,92.3,142
AVERAGE,,2,7,4,3,,3,9,9,,11,11,10,,,94.7,142
MINIMUM,,,,2,,5,,7,5,5,3,7,6,,,90.4,142
Bos TON,55,,,,,,,,,,,,,,,88.3,142
UMBER OF SAMPLES,,1,2,4,1,1,2,2,4,1,2,2,,,,92.9,142
MAXIMUM,,17,7,2,,6,10,6,11,14,11,5,8,,,89.2,142
AVERAGE,,17,5,1,,6,5,4,4,14,10,4,8,,,95.6,142
MINIMUM,,17,3,,,6,,2,2,14,9,4,8,,,94.4,142
EVERETT MASS,,,,,,,,,,,,,,,,94.0,142
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,93.6,142
MAXIMUM,,4,37,14,6,31,12,12,10,8,1.2,7,13,,,94.5,142
AVERAGE,,3,15,8,6,a1,8,7,,,12,7,11,,,88.8,142
MINIMUM,,3,1,2,6,11,4,4,,3,12,7,9,,,93.5,142
ELIZABETH W,56,,,,,,,,,,,,,,,91.7,142
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,93.2,142
MAXIMUM,,1,,13,4,,,,2,2,,1,,,,93.0,142
AVERAGE,,,,4,1,,,,2,2,,1,3,,,94.4,142
MiNiMUuM,,,,,,,,,2,2,,1,,,,76.0,142
PAUL SBORO J,55 56,,,,,,,,,,,,,,,65.0,142
NUMBER OF SAMPLES,,2,4,3,5,2,1,4,1,,2,,1,,,95.2,142
MAXIMUM,,7,3,26,15,2,,,,,2,,2,,,95.1,142
AVERAGE,,6,2,9,3,1,,,,,1,,2,,,94.9,142
MINIT MUM,,6,,,,,,,,,,,2,,,62.5,142
CAMDEN W J,55,,,,,,,,,,,,,,,79.8,142
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,2,,,95.5,142
MAXIMUM,,6,14,25,32,,2,4,6,3,4,,6,,,94.7,142
AVERAGE,,4,6,i1,16,,2,4,,2,3,,5,,,93.0,142
MINIMUM,,2,1,3,,,2,4,5,1,3,,4,,,93.1,142
PERTH AMBOY N,55 56,,,,,,,,,,,,,,,83.2,142
NUMBER OF SAMPLES,,3,1,4,,,,1,2,,2,3,2,,,94.5,142
MAXIMUM,,,1,27,82,,,,3,,,11,,,,86.0,142
AVERAGE,,1,1,7,18,,,,3,,,3,2,,,94.9,142
MINIT MUM,,,1,,,,,,3,,,,,,,61.0,142
TRENTON W J,55 56,,,,,,,,,,,,,,,91.4,142
NUMBER OF SAMPLES,,3,2,1,,1,1,2,1,,1,1,3,,,92.7,142
MAXIMUM,,1,7,5,34,,,3,,,21,4,8,,,91.1,142
AVERAGE,,,4,,34,,,1,,,21,4,6,,,92.3,142
MINIMUM,,,2,5,34,,,,,,221,4,3,,,88.4,142
JERSEY CITY nh,55 56,,,,,,,,,,,,,,,76.6,142
WUMBER OF SAMPLES,,2,3,4,4,,2,2,2,1,,1,2,,,91.6,142
,,3,21,35,T3,,9,,17,3,,2,5,,,92.7,142
AVERAGE,,2,16,14,20,,6,,10,3,,2,3,,,95.6,142
MINIMUM,,2,6,5,1,,3,,3,3,,2,2,,,90.6,142
NEW YORK W Y,54 56,,,,,,,,,,,,,,,89.3,142
NUMBER OF SAMPLES,,4,5,,8,5,10,,5,6,6,7,7,,,93.4,142
MAXIMUM,,73,22,95,66,74,81,86,76,53,107,88,81,,,93.7,142
AVERAGE,,27,8,52,36,49,26,42,21,27,54,37,33,,,92.4,142
MENT MU,,3,,2,,8,,1,1,4,6,2,,,,82.9,142
PHILADELPHIA PA,54 56,,,,,,,,,,,,,,,95.5,142
NUMBER OF SAMPLES,,20,16,14,15,19,12,13,13,10,8,8,9,,,94.3,142
MAXIMUM,,157,93,37,66,63,27,22,32,12,10,11,26,,,94.2,142
AVERAGE,,20,15s,9,15,12,12,6,11,7,6,6,10,,,91.5,142
Mini Mu,,,,3,,,2,,3,2,3,3,2,,,82.0,142
ALTOONA PA,56,,,,,,,,,,,,,,,72.3,142
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,93.6,142
MAXIMUM,,,5,7,,9,,,18,7,,8,,,,91.1,142
AVERAGE,,,5,7,2,6,,,18,5,,8,,,,94.8,142
MINIMUM,,,,7,,2,,,18,3,,8,,,,91.2,142
BRISTOL PA,55 56,,,,,,,,,,,,,,,94.5,142
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,2,,,94.4,142
MAXIMUM,,,2,2,,,,5,,15,1,4,2,,,92.8,142
AVERAGE,,,2,2,,,,3,,,,2,1,,,95.5,142
Mit uUuM,,,2,2,,,,2,,,,,1,,,70.2,142
CHESTER PA,55 56,,,,,,,,,,,,,,,93.5,142
NUMBER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,1,,,94.7,142
MAXIMUM,,,10,,10,,10,19,9,25,2,,12,,,91.9,142
