Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,55 56,36,,19,7,,,,,,,,10,14,,,88.8,140
,,,,,,,,,4,,,,,,,,69.0,140
MASSACHUSETS TOTAL,535,49,,37,7,1,2,3,,6,7,9,11,13,,,90.0,140
NEW JERSEY TOTAL,55 56,130,,,5,,,1,4,2,3,,,,,,91.4,140
,,,,,,,,,,,,4,,14,,,93.5,140
NEW YORK TOTAL,54 56,75,,107,33,1,3,5,,20,44,59,69,83,,,93.9,140
PENNSYLVANIA TOTAL,54 56,275,,160,12,1,2,3,,7,8,11,17,30,,,94.1,140
COLUMBIA TOTAL,54 56,46,,101,39,7,9,13,34,45,,35,62,70,,,90.8,140
KENTUCKY TOTAL,54,71,,110,20,2,4,6,7,12,16,20,36,50,,,93.1,140
MARYLAND TOTAL,57,16,12,130,30,13,18,20,22,24,26,27,28,32,,,92.9,140
WEST VIRGINA TOTAL,54 55,27,,81,28,2,3,4,13,15,24,43,63,77,,,87.8,140
FLORIDA TOTAL,54 55,30,,54,13,1,1,2,4,6,8,15,24,35,,,93.7,140
GEORGIA TOTAL,54 56,26,,73,26,4,5,11,13,18,32,37,47,590,,,90.1,140
TENNESSEE TOTAL,55 56,32,,33,9,1,2,3,5,7,8,,13,28,,,94.9,140
ILLINOIS TOTAL,54 96,149,,155,38,4,9,14,22,27,38,49,63,91,,,87.2,140
PNOIANA TOTAL,55 56,86,,300,36,6,10,16,21,26,33,45,53,66,,,85.5,140
MICHIGAN TOTAL,53 54,31,,142,76,8,24,43,55,86,103,110,117,128,,,93.2,140
OHIO TOTAL,54 57,,,500,54,9,20,28,43,48,54,61,69,93,,,89.9,140
WISCONSIN TOTAL,57,19,,140,32,9,13,18,21,23,24,28,37,50,,,93.8,140
MINNESOTA TOTAL,54 55,35,,89,24,3,5,9,9,12,15,37,50,67,,,93.4,140
MISSOURI TOTAL,54 56,62,,68,20,3,7,9,,14,20,26,33,41,,,94.0,140
LOUISIANA TOTAL,54 55,50,,40,6,1,1,2,2,3,4,5,,13,,,92.5,140
TEXAS TOTAL,54 55,154,,105,15,2,3,4,6,8,11,i8,26,40,,,91.2,140
COLORADO TOTAL,54 55,26,,53,18,2,3,7,10,13,14,15,37,47,,,90.1,140
UTAH TOTAL,54 55,31,,59,,4,9,,15,17,20,24,31,590,,,91.7,140
ALASKA TOTAL,54 55,40,,998,85,2,13,21,47,58,67,92,03,158,,,92.9,140
CALIFORNIA TOTAL,54 56,220,,114,20,1,4,6,9,12,19,26,38,52,,,94.8,140
OREGON TOTAL,54 55,74,,98,37,7,16,21,26,32,40,49,55,72,,,89.8,140
WASHINGTON TOTAL,57,20,,100,38,11,15,24,33,35,37,47,54,67,,,94.1,140
NEW ENGLNOD TOTAL,55 56,85,,37,7,1,2,3,4,6,7,9,,14,,,90.2,140
MID ATLNTC TOTAL,54 56,480,,160,14,1,1,2,3,5,7,11,19,43,,,88.6,140
MID EAST TOTAL,54 57,162,,130,23,3,,9,13,18,26,38,,66,,,92.9,140
SOUTH EAST TOT AL,54 56,88,,73,15,1,2,4,6,10,12,19,30,40,,,94.4,140
MIO WEST TOTAL,53 57,457,,300,46,6,13,20,26,38,47,56,67,97,,,92.5,140
GRT PLAINS TOTAL,54 56,97,,89,el,3,6,9,10,13,19,28,36,52,,,92.8,140
GULF SOUTH TOT AL,54 55,204,,105,,1,2,3,5,6,8,13,22,36,,,94.8,140
ROCKY TOT AL,54 55,57,,59,20,3,6,10,13,15,17,2i,32,48,,,89.8,140
PAC COAST TOTAL,54 57,354,,998,32,2,,9,14,20,28,39,51,66,,,91.5,140
GRAND TOTAL,53 57,1965,,998,26,2,4,7,11,16,22,33,45,65,,,93.0,140
