Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,95.0,210
MIDOLESEX CNTY MASS,1,55,23,2,90,23,,7,8,9,10,19,20,43,50,,,94.6,210
LAKEHURST N J,1,55 56,19,,180,23,,2,3,5,8,,10,37,54,,,91.5,210
KANAWHA co W VA,1,54 55,22,,9,1,,,1,1,1,,1,3,4,,,89.2,210
HtLLSBOROUGH CO FLA,1,54,4,,14,6,,1,1,4,4,4,8,8,15,,,93.2,210
FULTON CO GEORGIA,1,54,4,,6,2,,1,1,1,1,1,2,2,6,,,94.8,210
HAMILTON COUNTY OHIO,1,54 55,28,,80,5,,,,1,1,1,1,2,9,,,93.9,210
TONKA BAY MEIENN,1,54,9,,2,,,,,1,1,1,1,1,1,,,90.1,210
DENVER COUNTY COLO,1,54,10,,20,2,,,,1,1,1,1,2,2,,,95.0,210
SALT LAKE CO UTAH,1,54,5,,5,1,,,1,1,1,1,2,2,5,,,92.6,210
MULTNOMAH CNTY ORE,1,54,,,5,,,,,,1,1,1,1,1,,,91.3,210
GRAND TOTAL,,54 56,136,,180,8,,,1,1,1,2,5,9,21,,,92.9,210
NONURBAN,,,,,,,,,,,,,,,,,,90.0,210
PT WORONZOF ALASKA,1,55 56,12,1,20,6,,2,3,3,5,7,8,,10,,,95.2,210
