Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,96.0,171
,,,,,,,,2,,3,,,,,,,,80.0,171
MIEOOLESEX CNTY MASS,,55,23,,30,9,,,3,,5,9,10,19,22,,,89.9,171
LAKEHURST N J,,55 56,17,,39,8,,3,4,,5,6,10,13,16,,,93.3,171
,,,,,,,,,,,5,,,,,,,70.0,171
KANAWHA co W VA,,55,17,,20,3,,1,1,2,,3,4,,6,,,92.9,171
DENVER COUNTY COLO,,54 55,10,,5,2,,1,2,2,2,3,3,4,4,,,93.5,171
,,,,,,,,,,,4,,,,,,,93.0,171
GRAND TOTAL,,54 56,67,,39,6,,1,2,3,,4,6,10,19,,,94.5,171
NONURBAN,,,,,,,,,,,,,,,,,,91.0,171
PT WORONZOF ALASKA,,55 56,12,,200,30,,5,9,9,10,20,20,30,30,,,94.4,171
