Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
KANAWHA CO W VA,,54,6,,,3,,1,1,1,4,4,,,,,,94.9,182
HILLSBOROUGH cO FLA,,54,4,,32,11,,1,1,1,1,1,14,14,32,,,90.9,182
FULTON CO. GEORGIA,,54,4,,26,15,,1,1,15,i5,15,el,21,26,,,91.3,182
HAMILTON COUNTY OHIO,,54 55,30,,18,,,1,1,,3,4,,,10,,,95.2,182
TONKA BAY MINN,,54,8,,,,,,,,1,1,,,,,,95.4,182
SALT LAKE CO UTAH,,54,5,,10,,,,1,,1,1,,,10,,,94.5,182
MULTNOMAH CNTY ORE,,54,12,,24,12,,2,7,,9,14,18,20,21,,,93.0,182
GRAND TOTAL,,54 55,69,,32,,,1,1,,3,5,,14,19,,,94.7,182
