Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,36,,7,1,,,1,,1,4,2,3,5,,,94.1,162
MASSACHUSETS TOTAL,55,49,,8,1,,,,,,1,1,2,4,,,95.0,162
,,,,,,,,,4,3,,,14,17,,,87.2,162
NEw YORK TOTAL,54 56,73,,31,6,,,1,,,5,9,,,,,91.0,162
PENNSYLVANIA TOTAL,54 56,271,,386,5,,,1,1,1,2,3,5,9,,,92.1,162
DIS COLUMBIA TOTAL,54 56,43,,16,5,,1,2,3,4,5,6,8,13,,,94.8,162
KENTUCKY TOTAL,54 55,71,,21,5,1,2,2,,4,5,5,8,10,,,94.0,162
MARYLAND TOTAL,57,18,4,33,9,4,5,5,,6,8,9,11,16,,,95.1,162
WEST VIRGINA TOTAL,54 55,26,,120,32,1,1,6,,17,29,43,69,88,,,95.2,162
FLORIDA TOTAL,54 55,34,,16,1,,,,1,1,1,2,2,,,,90.2,162
GEORGIA TOTAL,54 56,25,,30,9,1,2,3,4,7,8,14,15,24,,,93.6,162
TENNESSEE TOTAL,55 56,32,,300,32,1,1,3,8,11,i9,21,58,78,,,90.4,162
ILLINOIS TOTAL,54 56,147,,60,13,1,3,5,6,8,10,19,25,30,,,94.0,162
tNOIANA TOTAL,55 56,B85,,120,16,2,4,7,8,10,15,20,23,36,,,87.6,162
MICHItGAN TOTAL,53 54,36,,264,60,6,11,,30,41,47,,85,125,,,90.6,162
OHIO TOTAL,54 57,170,,929,28,3,5,7,10,14,19,25,33,53,,,94.2,162
WIESCONStN TOTAL,57,,,25,5,1,2,3,3,4,4,5,6,7,,,91.1,162
MINNESOTA TOTAL,54 55,33,1,24,5,2,2,3,3,5,6,6,,10,,,94.7,162
MISSOURI TOTAL,54 56,61,,41,5,,1,2,2,3,4,5,6,10,,,94.1,162
LOUISIANA TOTAL,54 55,50,,10,1,,,1,1,1,4,2,3,4,,,93.1,162
TEXAS TOTAL,54 55,149,,283,10,,1,1,2,2,3,4,13,24,,,94.5,162
COLORADO TOTAL,54 55,26,,20,4,1,,2,3,4,4,5,8,9,,,92.8,162
UTAH TOTAL,54 55,31,,8,3,1,1,2,2,3,3,4,5,6,,,93.7,162
ALASKA TOTAL,54 55,37,,374,23,,1,1,3,12,15,18,24,34,,,95.5,162
CALIFORNIA TOTAL,54 56,216,,186,,,1,1,1,2,5,9,12,15,,,95.2,162
OREGON TOTAL,54 55,,,90,28,6,10,14,20,23,29,39,45,57,,,92.7,162
WASHINGTON TOTAL,57,20,2,24,7,2,3,4,4,5,6,7,12,17,,,95.1,162
NEW ENGLNO TOTAL,56,85,,8,1,,,,1,1,1,1,2,5,,,89.2,162
MID ATLNTC TOTAL,54 56,474,,386,4,,,1,1,1,1,,5,10,,,94.9,162
MID EAST TOTAL,54 57,158,,120,10,1,2,2,4,,6,,11,17,,,94.0,162
SOUTH EAST TOTAL,54 56,91,,300,14,,1,1,2,3,,1,19,30,,,90.5,162
MIO WEST TOTAL,53 57,457,,929,22,2,4,6,8,10,16,2,29,45,,,91.2,162
GRT PLAINS TOTAL,54 56,94,,41,,1,1,2,3,3,,,7,10,,,93.2,162
GULF SOUTH TOTAL,54 55,199,,283,8,,1,1,,2,,4,8,19,,,93.0,162
ROCKY MNTN TOTAL,54 55,57,,20,4,1,1,2,2,3,4,4,5,7,,,90.9,162
PAC COAST TOTAL,54 57,347,,374,13,,1,1,3,6,10,1,20,33,,,95.2,162
GRAND TOTAL,53 57,1962,,929,ii,,1,1,2,4,,,15,27,,,92.9,162
ra Me,,,,,,,,,,,,,,,,,39.5,162
