Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
NEW YORK W Y,54 55,,,,,,,,,,,,,,,91.8,187
NUMBER OF SAMPLES,,3,3,3,2,4,3,3,1,4,3,3,,,,95.6,187
MAXIMUM,,39,16,43,,,6,6,5,10,10,4,,,,94.0,187
AVERAGE,,13,7,29,,,3,2,5,7,5,2,,,,94.9,187
MINEMUM,,,,18,,,,,5,,2,,,,,78.8,187
WASHINGTON OC,54 55,,,,,,,,,,,,,,,94.5,187
NUMBER OF SAMPLES,,,4,1,4,3,4,3,4,4,2,,,,,95.6,187
MAXIMUM,,,25,31,61,11,11,14,17,19,14,,,,,92.8,187
AVERAGE,,,8,31,20,7,7,9,9,15,14,,,,,95.1,187
,,,2,31,4,4,4,6,,8,14,,,,,95.0,187
CHICAGO ILL,54 55,,,,,,,,,,,,,,,87.0,187
NUMBER OF SAMPLES,,2,4,,,2,9,5,3,4,6,3,,,,95.2,187
MAXIMUM,,10,9,,,9,13,4,,2,,6,12,,,93.6,187
AVERAGE,,6,5,,,8,6,,,,2,4,,,,94.4,187
MUM,,3,,,,8,,,,,1,2,,,,85.2,187
DETROIT MICH,53 54,,,,,,,,,,,,,,,80.5,187
NUMBER OF SAMPLES,,,2,3,2,1,1,,,,,20,,,,95.1,187
MAXIMUM,,,18,16,27,21,31,,,,,57,,,,81.3,187
AVERAGE,,,15,13,15,21,31,,,,,33,,,,94.3,187
MINIT MUM,,,13,11,4,21,31,,,,,1,,,,79.1,187
CINCINNATI OHIO,54 55,,,,,,,,,,,,,,,86.8,187
NUMBER OF SAMPLES,,1,5,44,9,8,17,6,6,10,,1,,,,95.6,187
MAXIMUM,,19,1i,34,30,8,6,,,,,,,,,91.9,187
AVERAGE,,19,6,12,5,1,1,,,,,,,,,91.7,187
MINIMUM,,i9,,,,,,,,,,,,,,61.0,187
HOUSTON TEXAS,54,,,,,,,,,,,,,,,95.3,187
NUMBER OF SAMPLES,,1,2,3,,3,8,,,,,,,,,95.5,187
MAXIMUM,,46,32,59,,32,27,,,,,,,,,95.2,187
AVERAGE,,46,30,48,,30,8,,,,,,,,,95.3,187
Min IMUM,,46,29,31,,28,,,,,,,,,,64.3,187
AMCHORAGE ALASKA,54 55,,,,,,,,,,,,,,,89.0,187
NUMBER OF SAMPLES,,1,3,2,4,2,3,1,2,3,2,,,,,95.4,187
MUM,,1,53,so,,35,64,31,24,21,26,,,,,92.5,187
AVERAGE,,1,31,47,3,30,41,31,23,19,25,,,,,95.6,187
MINIMUM,,1,,44,,26,22,31,23,18,25,,,,,94.7,187
LOS ANGELES CALIF,54,,,,,,,,,,,,,,,92.0,187
NUMBER OF SAMPLES,,,1,4,3,5,2,2,,,,,,,,95.3,187
MAXIMUM,,,40,108,6,8,,22,,,,,,,,95.2,187
AVERAGE,,,40,48,6,4,,21,,,,,,,,94.5,187
,,,40,17,6,,4,20,,,,,,,,95.8,187
PASADENA CALIF,54 55,,,,,,,,,,,,,,,94.0,187
NUMBER OF SAMPLES,,2,4,2,3,2,3,4,2,2,4,,,,,94.2,187
MAX MUM,,,14,38,61,8,,25,19,,2,,,,,83.6,187
AVERAGE,,,4,33,48,5,,19,9,,1,,,,,94.8,187
,,,,29,27,2,,15,,,,,,,,94.5,187
BERKELEY CALIF,54 55,,,,,,,,,,,,,,,88.0,187
NUMBER OF SAMPLES,,3,4,,1,2,2,3,2,3,4,5,,,,94.2,187
MAXIMUM,,,16,,,4,16,4,4,5,5,1,,,,95.4,187
AVERAGE,,,4,,,2,8,2,2,4,2,,,,,96.0,187
MiNPMUM,,,,,,,,1,,3,,,,,,70.3,187
SAW JOSE CALIF,54 55,,,,,,,,,,,,,,,88.2,187
NUMBER OF SAMPLES,,3,4,2,1,2,2,2,2,4,3,5,,,,95.6,187
MAXIMUM,,,,3,,5,4,3,3,16,5,,,,,94.2,187
AVERAGE,,,,2,,2,2,2,1,5,4,2,,,,92.7,187
MINIMUM,,,,1,,,1,2,,,3,,,,,85.0,187
