Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,54 55,32,62,418,177,85,98,128,137,145,175,207,244,248,,,93.8,26
TOTAL,54 55,77,51,680,196,90,i109,123,153,171,202,231,264,323,,,91.6,26
RHOOE ISLANO TOTAL,54 55,46,39,463,195,76,90,116,148,175,219,236,301,355,,,87.1,26
NEW JERSEY TOTAL,54 55,105,23,598,183,,106,126,152,144,189,214,270,310,,,93.4,26
NEw YORK TOTAL,53 55,117,21,970,239,88,112,138,172,200,237,275,349,455,,,92.8,26
PENNSYLVANIA TOTAL,53 55,312,24,1340,272,111,142,169,200,2e4,247,285,357,501,,,92.1,26
COLUMBIA TOTAL,53 55,65,6 3,955,249,112,133,160,191,,238,266,352,444,,,89.4,26
KENTUCKY TOTAL,54 55,50,44,685,200,80,90,128,142,164,,219,2986,360,,,93.4,26
WEST VIRGINA TOTAL,53 55,63,60,2340,2968,125,151,172,207,226,241,303,371,461,,,91.1,26
FLORIDA TOTAL,53 55,70,25,377,150,67,87,100,113,133,,180,218,262,,,89.6,26
TOTAL,53 55,95,23,728,219,101,130,156,1853,203,231,261,,340,,,93.0,26
TENNESSEE TOTAL,55,86,46,T27,228,79,106,148,166,195,235,277,340,425,,,93.6,26
TOTAL,54 55,202,29,1409,354,119,168,204,253,300,350,418,S11,625,,,92.2,26
INDIANA TOTAL,55,27,35,725,294,76,106,148,196,301,327,401,490,S24,,,91.5,26
MICHIGAN TOTAL,53 54,58,47,1045,502,262,305,352,413,482,,608,709,611,,,90.9,26
OHIO TOTAL,53,332,21,1430,258,101,132,160,185,215,242,284,356,460,,,91.4,26
KANSAS TOTAL,55,13,113,3688,213,125,175,1860,186,196,202,207,244,340,,,90.9,26
MINNESOTA TOTAL,53 55,86,26,675,166,71,81,98,114,134,158,199,240,,,,91.1,26
MISSOURI TOTAL,53 55,73,16,458,145,46,714,92,112,131,146,172,196,277,,,94.2,26
LOUISIANA TOTAL,54 55,102,14,541,148,,79,95,111,131,144,163,202,272,,,93.8,26
TEXAS TOTAL,53 55,269,,1150,149,57,71,687,106,126,146,172,200,270,,,91.9,26
COLORADO TOTAL,54 55,49,65,440,170,83,103,125,139,159,179,196,219,259,,,93.1,26
UTAH TOTAL,53 55,53,70,932,275,101,130,143,162,139,244,298,360,658,,,93.8,26
ALASKA TOTAL,53 55,92,168,1000,235,76,114,141,163,162,202,255,350,449,,,93.6,26
TOTAL,53 55,196,32,1730,330,93,126,149,174,221,305,397,473,688,,,91.2,26
OREGON TOTAL,53,140,10,2356,399,84,130,168,205,248,305,394,403,,,,94.5,26
NEW ENGLND TOTAL,54,155,51,680,192,84,103,1253,145,168,204,230,263,348,,,90.4,26
M10 ATLNTC TOTAL,53 45,534,21,1340,255,103,129,158,165,214,239,278,342,464,,,88.6,26
M10 EAST TOTAL,53 55,1738,44,955,238,90,130,151,175,209,230,264,331,440,,,90.2,26
SOUTH EasT TOTAL,53 85,251,25s,728,202,78,103,128,156,181,208,244,282,354,,,89.2,26
MiD WEST TOTAL,53 55,619,21,1430,311,109,147,180,214,253,302,363,452,,,,92.3,26
GRT PLAINS TOTAL,53 55,173,16,675,160,67,B1,100,119,139,161,188,,aul,,,92.4,26
GULF SOUTH TOTAL,53 55,371,,1150,149,57,73,90,107,128,146,170,200,270,,,94.8,26
ROCKY MNTN TOTAL,53 55,102,65,932,225,92,114,134,148,173,193,223,288,401,,,93.9,26
PAC COAST TOTAL,53 55,424,10,2356,332,85,124,149,180,216,277,365,,,,,93.1,26
GRAND TOTAL,53 55,2811,,2356,249,B2,111,137,163,193,226,271,344,469,,,91.1,26
