Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
MIDOLESEX CNTY MASS,,,52,,,,,52,37,44,44,48,34,61,47,,,77.7,11
,1,,,,,,,,,,,,,,70,,,96.0,11
,1,56,44,28,205,63,38,43,46,51,54,58,63,76,,,,93.9,11
,1,54 56,108,14,205,53,28,36,40,43,47,592,58,63,84,,,93.0,11
LAKEHURST N J,1,55,40,19,120,54,29,33,40,47,51,54,63,70,76,,,92.4,11
,1,56,17,35,224,72,42,45,49,52,55,58,63,105,123,,,94.7,11
,,55 56,57,19,224,59,31,37,44,49,52,55,63,71,97,,,93.5,11
KANAWHA co WwW VA,1,54,26,33,261,106,45,,62,71,89,105,117,145,219,,,91.9,11
,1,55,33,41,421,135,47,65,73,as,105,123,154,236,270,,,95.2,11
,1,56,7,21,309,127,21,21,47,65,89,89,123,278,278,,,94.4,11
,1,54 56,66,21,421,123,45,56,67,78,94,113,134,213,257,,,94.1,11
HILLSBOROUGH CO FLA,1,53,4,17,60,34,,18,18,25,25,25,40,40,65,,,93.7,11
,1,54,37,,90,29,8,,20,22,25,29,34,40,58,,,93.7,11
,1,55,39,18,123,,30,35,37,40,49,53,59,65,83,,,95.0,11
,1,56,25,18,75,40,25,26,28,32,37,40,50,55,65,,,92.1,11
,1,53 56,1,,123,40,18,23,28,32,36,40,51,,69,,,90.2,11
FULTON CO GEORGIA,1,53,2,45,64,34,,,47,47,47,47,47,65,65,,,93.1,11
,1,54,43,,109,65,34,47,,61,68,72,76,83,97,,,94.2,11
,1,55,27,21,116,56,28,32,42,47,51,54,60,89,100,,,88.4,11
,1,53 55,72,,116,61,31,42,48,53,59,66,73,84,98,,,94.8,11
HAMILTON COUNTY OHIO,1,53,6,25,228,133,25,25,a9,89,125,145,145,219,219,,,93.2,11
,,54,55,i5,176,63,25,32,41,48,56,63,76,89,123,,,92.6,11
,1,55,6,24,55,45,25,25,47,47,49,,51,53,53,,,94.6,11
,1,53 55,67,is,228,68,24,32,42,49,55,63,78,95,130,,,93.4,11
TONKA BAY MINN,1,53,7,28,64,41,27,27,29,32,34,34,55,60,60,,,93.1,11
,1,54,37,12,267,59,17,22,34,40,52,60,73,86,100,,,91.9,11
,,53 54,44,i2,267,56,17,25,31,39,50,55,68,79,100,,,91.2,11
EDINA MINN,1 1,54,6,37,99,73,40,40,55,55,65,94,94,100,100,,,92.7,11
,,55,24,50,748,142,55,61,65,89,105,129,145,171,236,,,93.8,11
,,34 55,30,37,748,128,52,,63,83,95,105,134,158,219,,,93.1,11
DENVER COUNTY cOLo,1,54,21,15,113,54,25,32,41,44,47,55,65,76,97,,,89.9,11
,,55,44,20,221,76,27,40,47,60,68,73,97,110,121,,,91.6,11
,,56,31,21,382,104,44,55,72,80,89,105,119,136,162,,,94.6,11
,,54 36,96,15,382,BO,30,42,48,59,70,81,96,112,130,,,90.1,11
SALT LAKE CO UTAH,1,53,1,Si,51,,,,,,55,55,35,55,55,,,92.6,11
,1,54,27,22,240,68,31,34,38,50,60,67,74,89,123,,,94.5,11
,1,55,28,29,207,70,37,42,47,53,62,72,83,89,101,,,93.7,11
,1,53 55,56,22,240,69,34,37,45,,59,69,76,89,114,,,94.5,11
MULTNOMAH CNTY ORE,1,54,15,28,140,92,47,65,89,93,101,105,112,116,123,,,94.7,11
