Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,55 56,36,1,17,5,2,2,3,4,5,6,7,8,12,,,94.0,149
MASSACHUSETS TOTAL,55,49,1,170,12,2,2,3,4,,5,8,10,17,,,94.9,149
NEW JERSEY TOTAL,55 56,130,,26,5,1,2,2,3,4,5,6,,11,,,94.9,149
NEw YORK TOTAL,54 56,76,2,89,21,4,6,8,,15,21,24,32,41,,,93.9,149
PENNSYLVANIA TOTAL,54 56,275,,212,7,1,2,3,3,4,5,6,9,14,,,95.4,149
COLUMBIA TOTAL,54 56,46,,39,16,6,8,10,11,14,18,20,22,26,,,95.4,149
KENTUCKY TOTAL,54 55,71,1,130,19,2,4,6,9,13,16,23,26,48,,,95.2,149
MARYLAND TOTAL,57,18,3,32,9,4,5,5,7,7,8,9,9,10,,,95.1,149
WEST VIRGINA TOTAL,54 55,27,1,25,6,1,2,2,3,4,4,5,9,13,,,95.1,149
FLORIDA TOTAL,54 55,31,1,43,8,2,3,3,4,,6,7,11,14,,,92.1,149
GEORGIA TOTAL,54 56,26,1,98,17,3,6,10,11,12,16,19,20,23,,,95.6,149
TENNESSEE TOTAL,55 56,32,1,27,8,1,2,3,5,6,8,9,12,16,,,95.0,149
ILLENOTS TOTAL,54 56,149,,12e,17,2,5,7,9,12,14,19,24,37,,,88.9,149
TOTAL,55 56,86,1,64,12,2,3,4,6,8,10,13,18,26,,,95.4,149
MICHIGAN TOTAL,53 54,33,2,58,24,15,18,20,2i,22,23,26,29,37,,,94.1,149
OHIO TOTAL,54 57,182,1,146,19,4,6,8,9,,16,19,24,45,,,93.2,149
WESCONSIN TOTAL,57,19,2,61,9,2,3,3,4,5,5,6,10,16,,,94.8,149
MINNESOTA TOTAL,54 55,36,1,16,5,2,3,3,4,4,5,,7,8,,,95.4,149
MISSOURI TOTAL,54 S6,63,,23,8,2,4,5,6,7,9,10,12,18,,,93.1,149
LOUISIANA TOTAL,54,so,1,25,4,1,1,1,2,2,3,,5,,,,91.6,149
TEXAS TOTAL,54 55,155,,170,21,2,4,6,8,10,11,15,31,62,,,94.9,149
COLORADO TOTAL,54 55,26,3,39,15,4,5,9,10,12,17,18,22,27,,,95.5,149
UTAH TOTAL,54 55,31,1,,18,5,10,11,13,14,15,18,22,41,,,92.3,149
ALASKA TOTAL,54 55,42,,57,11,1,1,3,5,7,,11,20,31,,,93.5,149
CALIFORNIA TOTAL,54 56,224,,266,19,1,3,,7,10,13,18,25,45,,,94.9,149
OREGON TOTAL,54 55,74,1,71,20,5,7,9,13,15,17,2,32,45,,,94.7,149
WASHINGTON TOTAL,57,20,1,16,6,2,3,3,4,4,,7,8,12,,,94.9,149
NEW ENGLAND TOTAL,55 56,85s,1,170,9,2,2,3,4,4,5,7,9,14,,,92.5,149
MID ATLNTC TOTAL,54 56,481,,212,9,1,2,3,4,5,6,,11,,,,90.4,149
MED EAST TOTAL,54 57,162,1,130,15,2,4,6,8,10,13,17,22,30,,,94.1,149
SOUTH EAST TOTAL,54 56,89,1,98,10,2,3,4,6,7,10,1,14,21,,,94.5,149
MED WEST TOTAL,53 57,469,,146,17,3,5,7,9,12,1,19,23,37,,,90.1,149
GRT PLAINS TOTAL,54 56,99,,23,7,2,3,4,5,6,,,10,15,,,95.0,149
GULF SOUTH TOTAL,54 55,205,,170,17,1,2,3,5,7,10,12,21,53,,,94.0,149
ROCKY MNTRN TOTAL,54 55,57,1,47,16,4,8,10,12,14,1,18,22,35,,,90.6,149
PAC COAST TOTAL,54 57,360,,266,17,1,3,5,,10,1,1,25,43,,,95.1,149
GRAND TOTAL,53 57,2007,,266,14,2,3,4,,8,,15,20,32,,,95.4,149
