Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WEW YORK N Y,5,,,,,,,,,,,,,,,87.8,158
NUMBER OF SAMPLES,,,3,4,2,4,3,3,1,4,3,3,,,,95.9,158
MAXIMUM,,,80,135,,37,,,,,,,,,,89.8,158
AVERAGE,,,50,55,,25,,,,,,,,,,94.0,158
MENT MUM,,,,1,,,,,,,,,,,,38.0,158
WASHINGTON OC,54 55,,,,,,,,,,,,,,,88.5,158
NUMBER OF SAMPLES,,,3,,4,3,4,3,4,4,2,,,,,92.9,158
MAXIMUM,,,,,61,5,53,,,,,,,,,95.0,158
AVERAGE,,,,,25,1,13,,,,,,,,,95.2,158
MINIMUM,,,,,,,,,,,,,,,,44.0,158
CHICAGO ILL,54 25,,,,,,,,,,,,,,,75.8,158
NUMBER OF SAMPLES,,,4,,,2,9,5,3,4,6,3,,,,87.5,158
MAXIMUM,,,25,,,44,65,,,,,,,,,94.2,158
AVERAGE,,,6,,,36,13,,,,,,,,,95.8,158
Mini MUM,,,,,,29,,,,,,,,,,71.3,158
DETROIT MICH,53 54,,,,,,,,,,,,,,,85.8,158
NUMBER OF SAMPLES,,,2,3,4,1,1,,,,,12,,,,95.2,158
MAXIMUM,,,59,137,,25,26,,,,,116,,,,93.3,158
AVERAGE,,,46,107,42,25,26,,,,,60,,,,94.3,158
MUM,,,33,77,7,25,26,,,,,21,,,,93.1,158
CINCINNATI OHTO,54 55,,,,,,,,,,,,,,,84.5,158
NUMBER OF SAMPLES,,,4,38,11,12,17,6,6,10,5,1,,,,94.0,158
MAXIMUM,,,40,116,,93,26,,,,,,38,,,95.2,158
AVERAGE,,,10,43,30,36,1,,,,,,22,,,95.1,158
MINIMUM,,,,,,,,,,,,,,,,53.0,158
HOUSTON TEXAS,54,,,,,,,,,,,,,,,94.0,158
NUMBER OF SAMPLES,,,2,3,1,3,8,,,,,,,,,86.4,158
MAXIMUM,,59,49,85,26,,,,,,,,,,,93.6,158
AVERAGE,,59,47,55,26,,,,,,,,,,,91.8,158
MINIMUM,,59,45,22,26,,,,,,,,,,,93.6,158
ANCHORAGE ALASKA,54 55,,,,,,,,,,,,,,,94.8,158
NUMBER OF SAMPLES,,,1,2,1,3,3,1,2,3,2,,,,,94.5,158
MAXIMUM,,,,38,448,i8,,,,,,,,,,88.5,158
AVERAGE,,,,30,448,6,,,,,,,,,,95.8,158
MINIMUM,,,,23,448,,,,,,,,,,,85.3,158
LOS ANGELES CALIF,54,,,,,,,,,,,,,,,95.0,158
NUMBER OF SAMPLES,,,1,4,3,6,2,2,,,,,,,,93.1,158
MAXIMUM,,,18,92,46,100,,,,,,,,,,83.6,158
AVERAGE,,,18,67,32,25,,,,,,,,,,95.6,158
MUM,,,18,47,10,,,,,,,,,,,91.5,158
PASADENA CALIF,54 55,,,,,,,,,,,,,,,95.0,158
NUMBER OF,,,4,2,3,,3,4,2,2,4,,,,,94.8,158
MAXIMUM,,,10,63,46,20,,,,,,,,,,95.2,158
AVERAGE,,,2,39,29,10,,,,,,,,,,95.6,158
MUM,,,,16,1,,,,,,,,,,,90.7,158
BERKELEY CALIF,54,,,,,,,,,,,,,,,95.7,158
NUMBER OF SAMPLES,,,5,,1,2,2,3,2,3,4,5,,,,93.8,158
MAXIMUM,,,17,,60,58,,,,,,,,,,92.5,158
AVERAGE,,,5,,60,38,,,,,,,,,,95.5,158
MUU,,,,,60,,,,,,,,,,,66.0,158
SAW JOSE CALIF,54 55,,,,,,,,,,,,,,,88.8,158
NUMBER OF SAMPLES,,,4,2,2,2,2,2,2,4,3,,,,,95.3,158
MAXIMUM,,,,35,69,10,,,,,,,100,,,86.2,158
AVERAGE,,,,28,43,5,,,,,,,33,,,96.0,158
MINT MUM,,,,21,18,,,,,,,,,,,66.5,158
PORTLAND OREGON,54,,,,,,,,,,,,,,,94.3,158
NUMBER OF SAMPLES,,,1,6,3,3,,,,,20,20,,,,95.8,158
MAXIMUM,,,76,71,114,,,,,,,,,,,84.2,158
AVERAGE,,,76,27,76,,,,,,,,,,,92.2,158
MINtiMuM,,,76,,46,,,,,,,,,,,76.3,158
SUBURBAN,,,,,,,,,,,,,,,,95.0,158
HAMELTON COUNTY OHIO,54 535,,,,,,,,,,,,,,,83.6,158
NUMBER OF SAMPLES,,,1,1,1,3,3,4,4,4,4,3,,,,95.5,158
,,,,72,57,100,15,14,,,,,,,,94.6,158
AVERAGE,,,,72,37,65,5,3,,,,,,,,89.3,158
MINIMUM,,,,72,57,37,,,,,,,,,,81.5,158
