Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,56,,,,,,,,,,,,,,,95.7,193
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,1,4,,2,,,95.4,193
MAXIMUM,,,10,7,40,8,6,7,20,,20,10,20,,,91.6,193
AVERAGE,,,5,1,9,4,2,2,7,,10,6,15,,,95.5,193
MiNi MUM,,,,,,,,,,,4,,10,,,68.0,193
BOSTON MASS,35,,,,,,,,,,,,,,,86.0,193
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,4,1,2,2,1,,,94.9,193
MAXIMUM,,10,30,,,,,,7,,4,6,,,,94.5,193
AVERAGE,,10,15,,,,,,1,,2,3,,,,90.8,193
MINIMUM,,10,,,,,,,,,,,,,,93.5,193
EV ERETT MAS s,55,,,,,,,,,,,,,,,87.4,193
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,94.3,193
MUM,,100,9,20,,10,20,100,,10,,100,100,,,95.3,193
AVERAGE,,50,3,8,,9,8,33,,7,,100,53,,,95.1,193
MINIMUM,,190,,,,9,,,,4,,100,7,,,86.3,193
Et 1ZABETH W J,55 56,,,,,,,,,,,,,,,78.3,193
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,94.0,193
MAXIMUM,,1,,2,2,1,,,1,2,,1,3,,,91.4,193
AVERAGE,,,,1,,1,,,,2,,,1,,,91.6,193
MINIMUM,,,,1,,1,,,,2,,1,,,,89.8,193
PA ULSBORO N SAMPLES,55 56,,,,,,,,,,,,,,,91.7,193
NUMBER OF,,2,4,3,5,2,1,4,1,,2,,1,,,94.0,193
MAXIMUM,,,1,3,1,,,,,,1,,,,,95.2,193
AVERAGE,,,,1,,,,,,,,,,,,95.0,193
,,,,1,,,,,,,,,,,,96.0,193
CA MDEN WN J,55 56,,,,,,,,,,,,,,,86.3,193
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,2,,,95.2,193
MUM,,2,1,3,,,,1,2,11,,,1,,,95.2,193
AVERAGE,,1,,1,,,,1,1,3,,,,,,95.2,193
MINIMUM,,1,,,,,,1,,,,,,,,92.7,193
PERTH AMBOY N oJ,55 56,,,,,,,,,,,,,,,78.2,193
NUMBER OF SAMPLES,,3,1,4,5,,,1,2,,2,3,2,,,95.0,193
MAXIMUM,,1,,16,5,,,,,,18,2,,,,92.0,193
AVERAGE,,,,7,1,,,,,,9,,,,,86.0,193
MINIMUM,,,,1,,,,,,,,1,,,,93.7,193
TRENTON W J,55 56,,,,,,,,,,,,,,,91.8,193
NUMBER OF SAMPLES,,3,2,1,1,1,1,2,1,,1,1,3,,,94.4,193
MAXIMUM,,1,2,2,2,,,,,,1,,1,,,89.3,193
AVERAGE,,,1,2,2,,,,,,1,,,,,95.4,193
MINIMUM,,,,2,2,,,,,,1,,,,,87.0,193
JERSEY CITY J,55 56,,,,,,,,,,,,,,,95.0,193
NUMBER OF SAMPLES,,2,3,4,4,,2,2,2,1,,,2,,,95.8,193
MUM,,,2,9,22,,1,,7,,,,,,,90.5,193
AVERAGE,,,1,3,5,,,,3,,,,,,,94.8,193
MINI MUM,,,1,1,,,,,,,,,,,,80.8,193
NEW YORK WN,54 56,,,,,,,,,,,,,,,81.6,193
NUMBER OF SAMPLES,,4,6,5,8,5,10,,5,6,6,7,7,,,93.1,193
MAXIMUM,,340,27,23,20,17,29,27,17,32,22,,44,,,95.5,193
AVERAGE,,92,8,8,7,5,5,6,5,13,9,4,15,,,94.6,193
MtNIiMUM,,2,,1,2,2,,,,1,2,,,,,82.9,193
PHILADELPHI A PA,56,,,,,,,,,,,,,,,93.8,193
NUMBER OF SAMPLES,,20,16,14,15,19,12,13,13,10,8,8,9,,,92.5,193
MAXIMUM,,84,2-3,28,22,510,13,,16,57,13,18,99,,,89.2,193
AVERAGE,,12,9,10,5,40,6,2,5,12,6,,29,,,95.3,193
MINIMUM,,,,,,,,,,,4,,,,,92.0,193
ALTOONA PA,56,,,,,,,,,,,,,,,90.0,193
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,93.6,193
MAXIMUM,,,,,,4,,,,,6,,,,,90.7,193
AVERAGE,,,,,,1,,,,,3,,,,,95.3,193
MINIMUM,,,,,,,,,,,,,,,,85.0,193
BRISTOL PA,55 56,,,,,,,,,,,,,,,79.2,193
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,2,,,94.3,193
,,,,4,,,,4,,23,4,14,8,,,95.7,193
AVERAGE,,,,4,,,,2,,5,2,9,4,,,95.9,193
MINIMUM,,,,4,,,,,,,,5,,,,93.0,193
CHESTER PA,55 56,,,,,,,,,,,,,,,91.2,193
NUMBER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,1,,,94.8,193
MAXI MUN,,,4,,7,,12,3,23,18,,,,,,80.4,193
AVERAGE,,,4,,5,,6,1,9,6,,,,,,95.1,193
MINIMUM,,,4,,3,,,,,,,,,,,85.0,193
ERIE PA,56,,,,,,,,,,,,,,,91.3,193
NUMBER OF SAMPLES,,3,,2,3,2,1,1,,3,4,2,3,,,95.2,193
MAXIMUN,,10,,20,8,,5,,,8,5,5,5,,,95.1,193
AVERAGE,,4,,10,4,,5,,,3,1,4,1,,,95.6,193
MINIMUM,,,,,,,5,,,,,4,,,,85.7,193
PITTSBURGH PA,56,,,,,,,,,,,,,,,94.7,193
NUMBER OF SAMPLES,,3,3,3,,,3,2,,2,2,2,1,,,95.6,193
MAXIMUM,,6,5,30,,,20,5,,20,30,80,8,,,92.6,193
AVERAGE,,3,1,21,,,10,2,,20,17,41,8,,,94.6,193
MINIMUM,,,,4,,,4,,,20,4,3,8,,,92.0,193
WILLIAMSPORT PA,55 56,,,,,,,,,,,,,,,88.8,194
NUMBER OF SAMPLES,,,3,1,2,3,2,1,1,3,2,3,,,,95.6,194
MAX MUM,,,4,,7,4,,8,,6,,10,,,,93.2,194
AVERAGE,,,1,,3,1,,8,,4 4,,6,,,,92.5,194
MIN I MUM,,,,,,,,8,,,,4,,,,81.4,194
WASHINGTON OC,54 56,,,,,,,,,,,,,,,90.8,194
NUMBER OF SAMPLES,,,6,1,5,6,6,4,7,,3,1,,,,95.3,194
MAX MUM,,,10,,4,20,30,10,10,9,6,,,,,95.7,194
AVERAGE,,,2,,,4,9,3,4,4,5,,,,,95.5,194
MIN J MUM,,,,,,,1,1,,,3,,,,,77.7,194
LOUISVILLE KY,54 55,,,,,,,,,,,,,,,94.8,194
NUMBER OF SAMPLES,,2,3,1,6,4,4,13,13,12,6,1,6,,,94.4,194
MAX MUM,,10,,20,9,1,50,30,18,22,20,,30,,,94.2,194
AVERAGE,,8,14,20,3,,16,7,8,6,11,,18,,,95.6,194
MIN I MUM,,7,6,20,,,,,,,,,6,,,88.4,194
BALTIMORE MOD,57,,,,,,,,,,,,,,,91.0,194
NUMBER OF SAMPLES,,1,2,2,3,1,3,2,3,1,,,,,,94.5,194
MAX I MUM,,6,5,10,9,4,5,4,5,5,,,,,,88.7,194
AVERAGE,,6,4,8,6,4,4,4,4,5,,,,,,95.6,194
MIN I MUM,,6,4,6,4,4,3,4,4,5,,,,,,89.6,194
CHARLESTON W VA,34 55,,,,,,,,,,,,,,,86.4,194
NUMBER OF SAMPLES,,,1,3,5,5,3,2,1,1,3,2,1,,,94.9,194
MAX I MUM,,,,1,3,2,,,,100,,,,,,90.9,194
AVERAGE,,,,,1,,,,,100,,,,,,96.0,194
MIN I MUM,,,,,,,,,,100,,,,,,87.0,194
TAMPA FLA,54 55,,,,,,,,,,,,,,,94.0,194
NUMBER OF SAMPLES,,2,2,4,5,5,2,2,2,3,1,2,1,,,92.7,194
MAX I MUM,,3,6,,1,3,,,4,9,4,5,,,,87.7,194
AVERAGE,,1,3,,,,,,3,3,4,2,,,,95.7,194
MIN 1 MUM,,,,,,,,,3,,4,,,,,82.6,194
ATLANTA GA,54 56,,,,,,,,,,,,,,,94.0,194
NUMBER OF SAMPLES,,1,3,6,5,3,1,3,1,,1,1,1,,,94.6,194
MAX 4 MUM,,40,9,80,50,8,,10,30,,20,100,,,,91.1,194
AVERAGE,,40,6,19,10,5,,6,30,,20,100,,,,93.6,194
MIN MUM,,40,4,,,1,,3,30,,20,100,,,,91.4,194
CHATTANOOGA TENN,56,,,,,,,,,,,,,,,94.3,194
NUMBER OF SAMPLES,,1,5,3,2,2,,1,4,4,5,3,2,,,93.9,194
MAX t MUM,,,25,10,3,30,,,6,8,20,10,8,,,86.6,194
AVERAGE,,,8,6,1,17,,,2,4,12,5,6,,,95.4,194
MUM,,,,3,,4,,,,,4,,4,,,96.2,194
CHICAGO ILL,54 55,,,,,,,,,,,,,,,92.8,194
NUMBER OF SAMPLES,,4,7,6,3,12,20,14,9,8,16,13,8,,,95.1,194
MAX t MUM,,10,70,100,20,70,40,40,20,i100,100,30,22,,,89.5,194
AVERAGE,,7,24,22,15,15,13,8,9,27,21,11,,,,92.2,194
MIN t MUM,,4,6,,5,,,,2,3,5,,8,,,90.3,194
EAST sT LOUIS tL,56,,,,,,,,,,,,,,,67.4,194
