Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,,,,,,,,,,,,,,,,95.5,151
NUMBER OF SAMPLES,,2,2,5,4,3,3,3,4,1,4,3,2,,,95.1,151
MAX MUM,,2,6,9,4,5,4,8,9,8,14,17,12,,,92.4,151
AVERAGE,,1,5,5,3,3,3,6,6,8,10,11,11,,,95.3,151
MIN MUM,,1,4,3,2,2,2,5,3,8,7,7,10,,,93.9,151
BOSTON MAS,35,,,,,,,,,,,,,,,84.3,151
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,4,1,2,2,1,,,94.8,151
MAX MUM,,8,4,3,3,5,6,9,8,8,8,9,10,,,95.4,151
AVERAGE,,8,4,2,3,5,4,6,4,8,6,7,10,,,95.2,151
MIN MUM,,8,4,2,3,5,2,3,3,8,5,6,10,,,95.3,151
EVERETT MA,55,,,,,,,,,,,,,,,95.0,151
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,93.0,151
MAX i MUM,,17,170,5,3,15,100,19,6,13,3,60,,,,92.5,151
AVERAGE,,10,62,3,3,9,36,9,3,8,,60,10,,,94.8,151
MIN MUM,,3,5,2,3,4,3,3,1,4,,60,4,,,95.6,151
EL IZ ABETH of,55 56,,,,,,,,,,,,,,,78.0,151
NUMBER SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,94.7,151
MAX MUM,,20,4,17,i1,5,,4,16,13,,3,10,,,92.5,151
AVERAGE,,10,3,10,5,5,,4,10,13,,3,9,,,94.1,151
MIN I MUM,,6,3,6,4,5,,4,5,13,,3,9,,,92.0,151
PA ULSBORO N,55 56,,,,,,,,,,,,,,,92.2,151
NUMBER OF SAMPLES,,2,4,3,5,2,1,4,1,,,,7,,,92.8,151
MAX I MUM,,13,7,5,4,2,1,2,1,,6,,4,,,90.7,151
AVERAGE,,9,3,4,2,1,1,1,1,,,,,,,95.2,151
MIN t MUM,,6,1,3,1,1,1,,1,,,,,,,92.7,151
CA NOE J,55 56,,,,,,,,,,,,,,,89.4,151
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,2,,,90.8,151
MAX 1 MUM,,7,16,15,22,,4,5,12,6,9,,9,,,89.1,151
AVERAGE,,6,8,12,,,4,5,11,5,7,,8,,,94.9,151
MIN I MUM,,5,4,8,3,,4,5,11,4,6,,,,,91.2,151
PE RTH AMBOY OF,55 56,,,,,,,,,,,,,,,89.5,151
NUMBER SAMPLES,,3,1,4,5,,,1,2,,2,3,,,,95.8,151
MAX MUM,,6,1,14,9,,,2,8,,6,11,5,,,94.7,151
AVERAGE,,3,1,6,4,,,2,5,,4,6,3,,,95.8,151
MIN MUM,,,1,3,2,,,2,2,,2,2,2,,,92.4,151
TR ENTON N J,55 56,,,,,,,,,,,,,,,89.2,151
NUMBER OF SAMPLES,,3,2,1,1,1,1,2,1,,1,1,3,,,94.2,151
MAX J MUM,,2,7,6,8,1,3,2,1,,10,2,9,,,93.8,151
AVERAGE,,1,4,6,8,,3,1,1,,10,2,5,,,96.0,151
MIN MUM,,1,2,6,8,1,3,1,1,,10,,2,,,92.2,151
JERSEY CITY N J,55 56,,,,,,,,,,,,,,,80.0,151
NUMBER OF SAMPLES,,2,3,4,4,,2,2,2,1,,,2,,,92.9,151
MAX I MUM,,5,11,25,26,,,3,9,5,,3,5,,,90.2,151
AVERAGE,,4,9,12,iil,,5,2,9,5,,3,4,,,93.9,151
MIN,,3,6,,3,,4,2,9,5,,3,4,,,94.6,151
NEW YORK N Y,54 56,,,,,,,,,,,,,,,90.7,151
NUMBER OF SAMPLES,,4,6,5,8,5,10,7,5,6,6,7,7,,,93.8,151
MAX I MUM,,80,23,32,57,71,41,39,31,55,89,32,68,,,91.1,151
AVERAGE,,39,13,20,22,34,15,15,12,26,29,16,20,,,94.8,151
MIN I MUM,,10,3,2,7,,3,4,2,9,10,5,2,,,94.1,151
PHILADECPHI A PA,54 56,,,,,,,,,,,,,,,81.2,151
NUMBER OF SAMPLES,,20,16,14,15,19,12,,13,10,8,8,,,,95.0,151
MAX MUM,,212,31,11,20,56,26,8,12,20,8,9,40,,,93.4,151
AVERAGE,,19,6,5,6,11,9,3,6,5,5,5,13,,,92.6,151
MIN,,2,1,2,2,2,2,1,2,2,3,2,,,,93.8,151
ALTOONA PA,56,,,,,,,,,,,,,,,95.3,151
NUMBER OF SAMPLES,,,1,1,2,3,,,,2,2,1,,,,93.9,151
MAX t,,,2,3,2,3,,,5,2,7,3,,,,86.6,151
AVERAGE,,,2,3,1,2,,,5,2,5,3,,,,94.2,151
MIN 1 MUM,,,2,3,1,2,,,5,2,4,3,,,,88.5,151
BRISTOL PA,55 56,,,,,,,,,,,,,,,86.0,151
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,,,,94.3,151
MAX t MUM,,,2,4,1,1,,4,1,12,4,2,3,,,90.2,151
AVERAGE,,,2,4,1,,,2,1,4,2,1,,,,95.0,151
MIN MUM,,,2,4,1,,,1,1,1,1,1,,,,92.0,151
CHESTER PA,55 56,,,,,,,,,,,,,,,94.0,151
NUMBER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,,,,93.9,151
MAX 1 MUM,,,3,,3,2,6,3,5,12,1,,2,,,86.2,151
AVERAGE,,,3,,2,1,3,2,3,5,1,,,,,94.0,151
MIN I MUM,,,3,,2,,1,1,1,2,1,,,,,88.3,151
ERIE PA,56,,,,,,,,,,,,,,,92.3,151
NUMBER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,,,,94.0,151
MAX t MUM,,3,1,3,4,2,2,2,,6,6,4,4,,,87.8,151
AVERAGE,,2,1,3,2,1,2,2,,4,3,3,,,,95.6,151
MIN MUM,,2,1,3,1,1,2,2,,2,1,3,2,,,94.0,151
PiTTSBURGH PA,56,,,,,,,,,,,,,,,88.3,151
NUMBER OF SAMPLES,,3,3,3,,,3,2,,2,2,2,1,,,95.8,151
MAX MUM,,6,12,25,,,12,4,,15,15,27,,,,95.3,151
AVERAGE,,3,5,16,,,10,4,,13,13,18,19,,,93.4,151
MIN 1 MUM,,2,2,6,,,9,4,,12,11,10,19,,,89.1,151
witt PA,55 56,,,,,,,,,,,,,,,82.2,152
NUMBER OF SAMPLES,,,3,1,2,3,2,1,1,3,,3,2,,,93.2,152
MAXIMUM,,,,10,11,16,4,14,14,16,10,14,6,,,94.5,152
AVERAGE,,,8,10,8,10,2,14,14,15,,10,5,,,95.2,152
MI NtMUM,,,4,io,6,6,1,14,14,14,7,5,4,,,77.6,152
A SHINGTON OC,54 56,,,,,,,,,,,,,,,86.0,152
NUMBER OF SAMPLES,,1,6,1,,6,6,4,7,6,,1,,,,93.2,152
M AX MUM,,14,21,12,12,34,39,25,33,27,25,6,,,,93.7,152
A VE R AGE,,14,14,12,9,14,21,18,16,19,23,6,,,,92.4,152
M IN I MUM,,14,6,12,7,5,8,10,5,14,,6,,,,89.5,152
1s v tLLle KY,54 55,,,,,,,,,,,,,,,68.2,152
UM ER OF SAMPLES,,2,3,1,6,4,4,13,13,12,6,1,6,,,94.9,152
AX MUM,,3,23,25,9,20,24,47,54,46,130,96,55,,,94.6,152
VE R AGE,,2,15,25,5,10,10,12,13,24,50,96,24,,,91.7,152
IN 1 MUM,,2,4,25,1,3,1,2,2,7,15,96,5,,,88.3,152
TI M ORE MO,57,,,,,,,,,,,,,,,90.8,152
UM ER OF SAMPLES,,1,2,2,3,1,3,2,3,1,,,,,,93.5,152
A xX MUM,,10,,10,32,3,7,9,10,7,,,,,,88.2,152
VE R AGE,,10,5,9,19,3,6,8,7,7,,,,,,94.8,152
IN 1 MUM,,i0,5,3,8,3,5,8,4,7,,,,,,82.0,152
RL E STON Ww VA,54 55,,,,,,,,,,,,,,,83.7,152
UM B ER OF SAMPLES,,,1,3,5,5,3,2,1,4 1,3,2,1,,,93.0,152
AX MUM,,,2,13,25,11,5,2,3,,5,2,5,,,94.6,152
VE R AGE,,,2,3,13,6,3,1,3,4,4,1,5,,,93.6,152
IN MUM,,,2,4,3,1,2,1,3,,4,1,5,,,90.5,152
PA FLA,54,,,,,,,,,,,,,,,94.7,152
UM ER OF SAMPLES,,2,2,4,5,5,2,2,2,3,1,2,1,,,94.4,152
AX MUM,,7,14,9,11,7,33,6,21,43,10,11,,,,88.5,152
VE R AGE,,5,10,4,5,4,22,5,14,16,10,8,7,,,93.0,152
IN I MUM,,3,6,2,2,3,12,4,7,1,10,,7,,,87.2,152
AN T A GA,54 56,,,,,,,,,,,,,,,91.3,152
NUM B ER OF SAMPLES,,1,3,6,5,3,1,3,1,,1,1,1,,,94.7,152
AX I MUM,,22,20,23,24,35,8,12,,,98,16,10,,,88.8,152
VE R AGE,,22,i7,15,14,14,8,8,11,,98,16,10,,,93.6,152
tN I MUM,,22,13,9,3,1,8,3,il,,98,16,10,,,88.2,152
TT A NOOGA TENN,56,,,,,,,,,,,,,,,94.4,152
UMB ER OF SAMPLES,,1,5,3,2,2,,1,4,4,5,3,2,,,93.9,152
AX I MUM,,2,18,11,3,14,,9,12,14,27,9,23,,,90.4,152
VE R AGE,,2,6,8,2,11,,9,8,7,12,5,13,,,90.9,152
I MUM,,2,1,3,1,8,,9,2,2,6,2,3,,,92.9,152
CAG 0 POEL,54 35,,,,,,,,,,,,,,,79.2,152
UM B ER OF SAMPLES,,4,7,6,3,12,20,14,9,8,16,13,8,,,93.5,152
AX MUM,,20,40,14,25,122,57,44,24,27,91,53,,,,92.5,152
VER AGE,,9,22,6,,26,15,13,13,20,29g,19,19,,,92.2,152
IN 1 MUM,,3,9,2,6,2,5,,4,2,5,4,1,,,92.1,152
T S T LOU Pee,95 536,,,,,,,,,,,,,,,68.3,152
UM B ER OF SAMPLES,,4,2,2,2,2,3,1,4,3,1,2,3,,,94.9,152
AX MUM,,12,8,17,8,41,16,30,16,18,2,6,9,,,91.9,152
VE R AGE,,6,5,9,7,22,10,30,12,il,2,5,6,,,93.5,152
IN MUM,,2,2,2,6,3,6,30,8,3,2,5,3,,,94.4,152
Tt c HICAGO iND,35 56,,,,,,,,,,,,,,,69.8,152
UM 8 ER OF SAMPLES,,6,5,14,7,4,6,,,7,6,8,,,,89.1,152
AX MUM,,,8,25,64,30,56,14,21,22,31,7,16,,,92.5,152
ve R AGE,,4,5,14,33,17,25,7,9,7,16,4,7,,,90.4,152
IN l MUM,,1,2,2,8,7,2,1,3,2,8,3,2,,,86.9,152
E TRO I T MICH,54,,,,,,,,,,,,,,,80.0,152
UM B ER OF SAMPLES,,,1,3,4,2,1,,,,,22,,,,94.4,152
AX I MUM,,,22,37,58,22,50,,,,,40,,,,83.0,152
VE RAGE,,,22,27,29,2i,50,,,,,22,,,,91.0,152
IN MUM,,,22,18,16,,50,,,,,2,,,,89.4,152
cl N NAT I 0 H10,54 25,,,,,,,,,,,,,,,60.1,152
UM B ER OF SAMPLES,,3,8,,20,22,19,8,9,12,105,3,6,,,94.6,152
AX I MUM,,54,17,45,76,33,94,38,71,146,,50,63,,,91.6,152
VE RAGE,,21,10,12,19,14,25,14,21,Si,39,29,30,,,91.1,152
IN MUM,,4,6,2,2,7,4,7,4,1,8,14,10,,,89.6,152
NG S TOWN 0 H10,57,,,,,,,,,,,,,,,83.0,152
UM ER OF SAMPLES,,,,1,2,1,1,2,2,1,2,,,,,94.5,152
