Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,,,,,1,,,1,1,1,1,2,3,5,,,95.1,159
,1,56,22,,7,1,,,1,1,1,1,2,4,5,,,94.2,159
,1,55 56,36,,7,1,,,1,1,1,1,2,3,,,,93.1,159
BOSTON MASS,1,,23,,3,,,,,,1,1,1,1,,,,94.8,159
EVERETT MASS,1,55,26,,8,2,,,1,1,1,2,2,4,,,,95.5,159
ELIZABETH WN J,1,55 56,21,,8,,,,,,,1,1,,1,,,89.1,159
,,,,,,,,,,,1,,,1,,,,95.5,159
PAULSBORO W J,1,55 56,25,,13,,,,,,1,1,1,1,3,,,93.5,159
CAMDEN N J,1,55 56,21,,20,3,,,1,1,1,2,2,5,7,,,91.2,159
PERTH AMBOY N J,1,55 56,23,,8,,,,,,1,1,1,1,5,,,93.5,159
TRENTON WN J,1,56,17,,10,1,,,,1,1,1,1,2,3,,,91.7,159
JERSEY CITY N J,1,55 56,23,,20,1,,,,,1,1,1,1,6,,,94.7,159
NEW YORK NY,2,54 56,50,,31,8,,1,1,4,8,10,12,15,21,,,90.9,159
,3,54 55,23,,16,1,,,,1,1,1,1,,5,,,95.1,159
,,54 56,73,,31,6,,,1,1,3,5,9,14,17,,,94.9,159
PHILADELPHIA PA,1,54,6,,76,21,1,1,6,6,11,12,12,21,21,,,92.9,159
,1,55,90,,18,1,,,,1,1,1,2,3,4,,,95.3,159
,1,56,11,,,2,,1,1,1,2,2,2,3,4,,,93.4,159
,1,54 56,107,,76,2,,,1,1,1,1,2,,,,,92.8,159
,4,56,11,,14,2,,,1,1,2,2,3,3,,,,93.8,159
,,,,,,,,,,,,,,5,5,,,83.0,159
,5,56,9,,5,1,,,1,1,1,1,1,,,,,95.1,159
,6,56,11,,7,1,,,,1,1,1,2,2,3,,,95.3,159
,,56,11,,8,2,,1,1,1,2,2,2,5,6,,,94.8,159
,,54,10,,386,53,1,1,6,10,i1,12,13,21,78,,,93.0,159
,,,90,,i8,1,,,,1,1,1,2,3,4,,,91.8,159
,,56,53,,14,2,,,1,1,1,2,2,3,5,,,94.8,159
,,54 56,153,,386,5,,,1,1,1,1,2,3,5,,,94.7,159
ALTOONA PA,,56,13,,3,,,,,,1,1,1,1,2,,,94.1,159
BRISTOL PA,1,55 56,18,,9,,,,,,1,1,1,1,1,,,93.7,159
CHESTER PA,1,55 56,18,,8,2,,1,1,1,1,2,3,3,4,,,94.7,159
ERIE PA,1,56,25,,9,3,,1,1,2,3,3,5,5,,,,93.2,159
PA,1,56,21,1,70,16,2,5,6,10,10,11,20,21,30,,,94.2,159
WELLEAMSPORT PA,1,55 56,23,,10,4,,1,2,3,4,6,7,8,10,,,91.1,159
WASHINGTON DC,1,54,24,,16,5,,1,2,4,4,5,8,10,13,,,94.0,159
,2,56,19,,15,4,1,1,2,2,3,4,5,6,14,,,95.5,159
,,54 56,43,,16,5,,1,2,3,4,5,6,8,13,,,93.6,159
LOUISVILLE KY,1,54,22,,21,6,1,2,3,3,5,5,6,10,12,,,93.7,159
,1,55,21,2,12,,2,2,3,3,4,5,5,6,9,,,95.5,159
,1,54 55,43,,21,,1,2,3,3,4,5,5,7,11,,,94.2,159
,2,54,,2,9,4,1,2,2,3,4,4,4,5,8,,,95.7,159
,2,55,10,1,15,4,1,1,2,2,2,4,4,8,9,,,92.4,159
,2,54 55,23,1,15,4,1,2,2,2,3,4,4,7,9,,,94.9,159
