Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
,,3,,,,,,,,,,,,,,72.0,28
WATERBURY CONN,54 55,,,,,,,,,,,,,,,94.0,28
NUMBER OF SAMPLES,,,3,3,2,4,5,,,1,,3,,,,93.0,28
MAXIMUM,,271,418,139,250,216,236,,,127,268,390,145,,,95.2,28
AVERAGE,,196,344,127,178,167,160,,,127,156,226,101,,,95.4,28
MINIMUM,,133,216,104,107,102,78,,,127,90,137,62,,,95.0,28
BOSTON MASS,54 55,,,,,,,,,,,,,,,95.8,28
NUMBER OF SAMPLES,,4,3,5,3,4,5,,,,,4,,,,95.5,28
MAXI MUM,,4355,266,275,256,264,203,,,,333,340,439,,,84.9,28
AVERAGE,,378,243,175,163,151,141,,,,255,2738,273,,,90.4,28
MIN 1 MUM,,284,,102,113,80,101,,,,182,225,223,,,88.6,28
EV ERET T MASS,54 55,,,,,,,,,,,,,,,91.7,28
NUMB ER OF SAMPLES,,4,5,5,2,4,5,,,,,4,5,,,95.5,28
MAX MUM,,268,230,231,72,460,148,,,,189,363,680,,,94.7,28
AVER AGE,,214,1865,156,69,215,109,,,,138,210,242,,,94.0,28
MIN J MUM,,141,138,112,66,105,51,,,,83,92,98,,,90.3,28
NE W YO RK N Y,53 55,,,,,,,,,,,,,,,81.6,28
NUMB ER OF SAMPLES,,11,10,20,12,11,17,5,,4,,12,10,,,93.3,28
MA X 1 MUM,,390,300,693,561,,439,292,196,355,730,9.70,606,,,90.2,28
AVER AGE,,196,208,189,229,290,205,221,143,236,494,287,316,,,94.2,28
MIN MUM,,93,102,21,101,90,50,68,90,130,230,80,73,,,93.6,28
PH ILAOELPHIA PA,53 55,,,,,,,,,,,,,,,84.2,28
NUMB ER OF SAMPLES,,25,33,37,36,30,33,223,,14,15,28,36,,,91.7,28
MAX I MUM,,340,773,697,959,435,S21,,266,317,500,,1018,,,86.5,28
AVER AGE,,335,286,239,254,243,203,172,152,203,292,403,353,,,94.1,28
MIN I MUM,,55,86,71,24,69,89,142,71,107,65,76,ile,,,85.9,28
WA SHIN GTON OC,53 55,,,,,,,,,,,,,,,91.5,28
NUMB ER OF SAMPLES,,4,7,8,7,7,9,3,,254,,3,,,,93.7,28
MAX t MUM,,456,454,403,256,345,278,226,232,,562,955,,,,91.8,28
AVER AGE,,302,324,154,179,221,,181,163,186,361,555,413,,,92.5,28
MIN MUM,,138,196,63,71,125,108,145,113,125,240,180,230,,,93.8,28
LO UI Sv ILLE KY,54 55,,,,,,,,,,,,,,,64.6,28
NUMB ER OF SAMPLES,,2,3,1,6,4,4,9,,4,,,,,,93.8,28
MAX I MUM,,141,289,180,323,212,190,344,160,310,685,,600,,,93.0,28
AVER AGE,,,217,180,229,157,136,,106,233,436,,320,,,94.5,28
MIN I MUM,,Bi,141,180,126,132,82,44,77,197,182,,161,,,83.2,28
CH ARLE STON W WA,53 55,,,,,,,,,,,,,,,88.0,28
NUMB ER OF SAMPLES,,2,4,5,6,7,,4,,5,,4,,,,95.6,28
