Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,95.0,192
MIDOLESEX CNTY MASS,1,95,23,,30,,,,,1,1,2,3,4,7,,,91.5,192
LAKEHURST N J,1,55 56,19,,3,,,,,,1,1,1,1,1,,,93.9,192
KANAWHA W VA,1,54 55,23,,6,,,,,,1,1,1,,3,,,90.8,192
CO FLA,,54,,,2,,,,,1,1,1,1,1,2,,,86.8,192
FULTON co GEORGIA,1,54,,,2,,,,,,1,1,1,1,1,,,90.0,192
HAMILTON COUNTY OHIO,1,54 55,36,,4,,,,,1,1,1,1,1,2,,,93.0,192
TONKA BAY MINN,1,54,,,1,,,,,,1,1,1,1,1,,,95.1,192
DENVER COUNTY COLO,1,54 55,10,,3,,,,,,1,1,1,1,3,,,95.4,192
SALT LAKE CO UTAH,1,54,,,,,,,,,1,1,1,1,1,,,89.0,192
MULTNOMAH CNTY ORE,1,54,12,,2,,,,,1,1,1,1,1,2,,,92.8,192
GRAND TOTAL,,54 56,149,,30,,,,,1,1,1,1,1,2,,,92.3,192
NONURBAN,,,,,,,,,,,,,,,,,,92.0,192
PT WORONZOF ALASKA,1,55 56,,,,,,,,,,,,,,,,93.5,192
