Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,,9,2800,113,1,,,21,22,39,44,55,88,,,93.9,170
MASSACHUSETS FOTAL,,49,3,300,34,6,10,11,20,27,29,31,44,62,,,93.7,170
NEW JERSEY TOTAL,55 56,120,,150,23,5,9,10,14,18,22,27,35,46,,,95.1,170
NEW YORK TOTAL,54 56,38,1,210,65,22,31,41,54,59,68,88,94,102,,,91.8,170
PENNSYLVANIA TOTAL,56,265,,200,19,3,5,8,10,12,16,20,26,44,,,95.0,170
DIS COLUMBIA TOTAL,55 56,17,8,40,24,10,11,19,20,21,22,29,31,39,,,92.2,170
KENTUCKY TOTAL,54,62,,86,10,1,2,3,,5,7,9,12,21,,,92.2,170
MARYLAND TOTAL,57,18,17,84,41,19,22,28,31,35,44,55,59,74,,,91.8,170
WEST VIRGINA TOTAL,55,16,,100,12,2,3,3,5,7,8,8,10,12,,,93.3,170
FLORIDA TOTAL,55,21,2,20,6,2,3,3,4,5,5,6,8,19,,,94.6,170
GEORGIA TOTAL,55 56,16,3,60,10,3,4,5,6,6,7,8,10,11,,,94.5,170
TENNESSEE TOTAL,56,32,,30,5,1,2,3,3,4,4,5,7,9,,,95.1,170
TOTAL,55 56,106,,200,19,4,6,7,9,10,i1,20,27,42,,,92.9,170
ANA TOTAL,55 56,86,1,100,18,4,5,7,9,10,19,21,28,31,,,94.6,170
OHIO TOTAL,55 57,35,,99,20,5,6,9,10,,16,24,34,49,,,93.6,170
WISCONSIN TOTAL,57,19,11,70,29,15,17,19,20,22,24,31,41,,,,92.1,170
MINNESOTA TOTAL,54 55,21,2,60,8,2,3,4,4,5,5,6,10,11,,,93.6,170
MISSOURI TOTAL,55 56,50,,50,10,3,4,6,7,8,9,10,17,21,,,91.8,170
LOUISIANA TOTAL,54 55,46,,,2,,1,1,2,2,2,3,3,5,,,91.0,170
TEXAS TOTAL,54 55,119,,60,3,,1,1,1,2,2,3,4,5,,,95.1,170
COLORADO TOTAL,54 55,23,,20,4,,1,1,1,2,3,5,6,11,,,93.5,170
UTAH TOTAL,54 55,26,1,30,11,,6,6,,9,10,11,19,22,,,95.2,170
ALASKA TOTAL,54 55,13,,120,17,1,4,5,7,10,10,11,11,22,,,91.9,170
CALIFORNIA TOTAL,55 56,107,,100,16,3,5,7,9,10,15,20,22,30,,,95.0,170
OREGON TOTAL,54 55,20,20,100,65,28,31,44,,62,74,88,93,99,,,94.4,170
WASHINGTON TOTAL,57,20,22,180,78,23,26,52,66,74,83,96,110,123,,,91.9,170
NEW ENGLUND TOT AL,55 56,85,3,2800,67,9,,19,21,26,29,41,590,74,,,88.2,170
MIO ATLNTC TOT AL,54 56,423,,210,25,4,7,9,12,16,20,26,37,58,,,90.1,170
MIO EAST TOTAL,54 57,113,,100,17,2,3,5,7,9,15,20,28,42,,,92.7,170
SOUTH EAST TOT AL,55 56,69,,60,,2,3,3,4,5,5,6,8,11,,,91.4,170
MID WEST TOTAL,55 57,246,,200,19,4,6,8,9,11,19,21,29,43,,,94.1,170
GRT PLAINS TOT AL,54 56,71,,60,9,3,4,4,5,7,8,1 0,11,20,,,91.7,170
GULF SOUTH TOT AL,54 55,165,,60,3,,1,1,2,2,2,3,4,,,,95.3,170
ROCKY MNTN TOT AL,54 55,49,,30,8,,1,3,5,6,7,10,11,20,,,94.7,170
PAC COAST TOTAL,54 57,160,,180,30,4,,9,10,19,21,29,49,91,,,95.1,170
GRAND TOTAL,54 57,1381,,2800,21,2,3,5,8,10,1,20,29,49,,,94.7,170
