Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,,,36,2,,6,2,3,4,5,6,6,7,8,,,,95.5,81
BOSTON MASS,1,55 57,25,,38,7,1,2,4,4,5,6,7,10,13,,,93.1,81
EVERETT MASS,1,55,26,1,15,6,2,2,4,5,5,6,,10,11,,,93.1,81
MANCHESTER N H,1,57,17,4,35,12,4,6,7,8,9,10,11,24,25,,,93.5,81
ELIZABETH N J,1,55 56,21,2,48,7,2,3,3,4,5,6,,8,,,,90.9,81
PAULSBORO N J,1,55 56,25,3,69,11,3,4,4,5,5,6,8,9,17,,,93.7,81
CAMDEN N oJ,1,55 56,21,2,66,11,4,4,5,5,6,6,7,8,12,,,91.5,81
PERTH AMBOY N J,1,55 56,23,2,49,9,3,4,4,4,5,8,9,9,12,,,93.2,81
TRENTON N oJ,1,55 56,17,5,46,14,5,6,7,7,13,14,18,ai,22,,,91.3,81
JERSEY CITY N J,1,55 56,23,3,67,14,4,4,5,8,10,,13,16,22,,,94.8,81
NEW YORK N Y,1,57,5,11,43,21,11,11,12,12,19,19,25,25,46,,,93.9,81
,2,54,18,10,74,30,17,21,22,24,26,28,,34,46,,,91.4,81
,2,,21,1,47,14,2,,6,8,12,15,17,19,28,,,95.5,81
,2,56,3,2,15,7,,,2,2,5,5,5,5,15,,,94.2,81
,2,54 56,42,1,74,20,4,6,10,15,18,,25,30,36,,,94.7,81
,3,54 55,18,1,14,5,1,1,1,,4,5,7,9,12,,,94.3,81
,,54,19,10,74,29,15,19,22,24,26,27,30,34,46,,,94.6,81
,,55,38,1,47,10,1,2,4,5,7,9,12,15,19,,,93.5,81
,,56,3,2,15,7,,2,2,2,5,5,5,5,15,,,94.9,81
,,57,5,11,43,21,11,11,,12,19,19,25,25,46,,,94.7,81
,,54 57,65,1,74,16,1,4,6,9,13,16,21,26,35,,,94.0,81
BUFFALO N Y,1,57,6,7,35,20,7,7,,7,15,25,25,32,32,,,94.8,81
,2,57,13,4,35,19,4,7,7,17,20,21,22,33,35,,,94.5,81
,,57,19,4,35,19,4,7,7,17,20,21,25,33,34,,,94.4,81
PHILADELPHIA PA,1,,65,3,70,22,8,10,12,14,20,22,25,31,39,,,90.6,81
,1,55,281,4,83,19,8,10,12,14,17,19,22,26,31,,,92.1,81
,1,56,is,,44,18,5,6,7,12,17,22,25,27,41,,,93.1,81
,1,54 56,361,,83,19,7,10,12,14,17,20,22,27,32,,,94.0,81
,4,56,14,1,26,,1,4,5,8,10,10,12,17,25,,,93.9,81
,4,57,2,10,19,14,,,10,10,10,10,10,19,19,,,95.4,81
,4,56 57,16,1,26,,2,4,7,8,10,11,12,19,22,,,90.7,81
,5,56,14,1,43,17,1,3,8,11,12,21,25,28,36,,,95.3,81
,6,56,15,1,72,15,2,2,3,8,12,14,17,20,22,,,95.1,81
,7,56,14,1,43,16,1,2,4,7,11,12,,28,41,,,92.4,81
,,54,65,3,70,22,8,10,12,14,20,22,25,31,39,,,93.7,81
,,55,281,,83,19,8,10,12,14,17,19,22,26,31,,,93.9,81
