Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,,32,,,,,,,,,,,,,,,89.0,23
,,,,,418,177,,,128,137,145,175,207,244,,,,94.9,23
BOSTON MASS,1,54 55,36,80,455,227,110,121,168,196,223,244,263,288,340,,,91.8,23
EVERETT MASS,1,54 55,38,51,680,176,90,109,119,134,,165,186,216,,,,93.0,23
PROVIDENCE R,1,54 55,23,107,463,246,,166,191,212,228,239,305,340,,,,94.4,23
,2,54 55,23,59,367,144,64,76,83,90,106,125,162,226,,,,93.9,23
,,54 395,46,59,463,195,76,90,116,148,175,219,236,3014,355,,,92.0,23
ATLANTIC CITY N J,1,54 55,17,64,334,225,98,106,148,244,259,266,261i,301,314,,,91.9,23
HIGHTSTOWN N J,1,54 55,10,55,157,114,64,76,90,112,119,125,137,148,162,,,94.2,23
GLEN GARDNER N J,1,54 55,,42,175,104,46,64,90,95,101,106,116,148,162,,,90.4,23
RED BANK N J,1,54 55,9,98,298,171,98,106,116,125,175,175,219,232,244,,,94.0,23
ELIZABETH N J,1,55,,79,291,188,90,148,148,175,186,196,207,207,2u6,,,87.6,23
PAULSBORO N J,1,,10,102,309,193,106,133,140,148,175,191,207,288,314,,,93.5,23
CAMDEN N J,1,55,8,135,391,237,137,148,148,207,219,232,244,244,371,,,93.7,23
PERTH AMBOY N J,1,55,11,,375,150,28,95,101,106,125,137,148,244,2388,,,90.1,23
TRENTON N J,1,55,6,100,201,143,106,106,133,133,140,148,148,175,175,,,93.4,23
JERSEY CITY N J,1,54 55,14,112,598,261,112,125,162,191,207,226,314,340,608,,,91.8,23
NEW YORK N Y,2,53,3,550,970,709,,558,558,558,658,658,658,658,,,,94.0,23
,2,54,29g,130,730,332,175,214,237,259,281,314,401,455,558,,,93.7,23
,2,55,22,91,514,247,106,162,180,191,202,244,273,401,449,,,93.0,23
,2,53 55,34,91,970,319,162,183,207,238,268,305,401,452,558,,,91.3,23
,3,53,2,90,266,156,,90,90,90,125,125,125,125,288,,,94.6,23
,3,54,23,45,512,192,B81,106,116,137,175,191,226,266,401,,,91.4,23
,3,55,22,2i,333,136,39,76,95,106,119,137,157,191,244,,,94.4,23
,3,53 55,48,,512,166,76,90,106,118,137,168,196,232,305,,,94.9,23
,4,34,1,375,,375,,,,,401,401,401,401,401,,,91.1,23
,4,55,14,20,384,162,54,90,98,116,125,137,226,244,298,,,92.3,23
,4,54 55,15,50,384,176,64,90,106,116,137,148,244,266,371,,,92.9,23
,,53,6,113,970,477,125,125,288,288,401,558,558,658,658,,,93.2,23
,,54,53,45,730,271,106,140,180,212,239,266,323,401,,,,90.0,23
,,55,,21,514,184,76,97,110,137,163,187,216,262,340,,,92.6,23
,,53 55,117,21,970,239,88,,138,172,200,237,e75,349,455,,,92.4,23
PHILADELPHIA PA,1,53,8,136,690,400,137,148,148,371,401,473,558,558,658,,,92.0,23
,,,75,69,1340,289,139,159,160,212,232,255,303,371,530,,,94.2,23
,1,55,131,,919,248,128,158,185,210,228,246,271,304,,,,94.4,23
,1,53 55,214,55,1340,268,,159,1484,212,230,251,282,332,457,,,91.1,23
,2,54,6,379,1176,758,401,401,608,608,658,776,776,081,,,,94.0,23
,2,55,168,230,765,442,232,288,314,360,401,449,558,658,717,,,92.8,23
,2,54 55,24,230,1176,S21,232,314,355,401,449,558,658,705,776,,,90.8,23
,3,53,6,76,760,330,76,76,125,125,207,437,437,473,473,,,94.4,23
,3,54,26,24,750,202,76,98,116,125,166,191,207,244,340,,,95.3,23
,3,55,14,71,359,175,76,106,137,153,159,164,175,226,2388,,,91.9,23
,3,53 55,46,24,760,211,76,102,,148,165,188,214,266,425,,,94.7,23
,4,55,6,207,959,392,207,207,244,244,288,340,340,401,401,,,95.1,23
,5,55,7,73,,98,76,76,81,85,90,90,112,119,119,,,93.1,23
,,53,14,76,760,370,76,137,148,371,401,425,473,558,717,,,92.9,23
,,54,107,24,1340,294,114,148,168,197,223,244,301,401,591,,,94.8,23
,,55,176,55,959,261,118,151,179,209,229,251,260,330,432,,,93.5,23
,,53 55,297,24,1340,278,116,149,173,207,228,253,292,367,511,,,94.8,23
BRISTOL PA,,55,8,54,220,137,54,98,98,106,125,162,175,175,207,,,93.8,23
CHESTER PA,1,55,7,99,296,152,98,98,106,116,125,125,148,207,207,,,92.8,23
WASHINGTON ae,1,,10,180,955,455,207,226,244,288,437,473,558,658,776,,,89.1,23
,1,54,34,65,456,218,110,125,142,175,218,233,257,275,,,,94.4,23
,2,55,21,63,403,201,76,125,148,162,191,216,235,266,371,,,90.4,23
,,53 55,65,63,955,249,112,133,160,191,221,238,266,352,444,,,95.1,23
LOUISVILLE KY,1,54,30,44,685,212,81,116,137,155,175,207,229,301,340,,,94.1,23
,2,54 55,15,61,579,194,81,85,106,137,175,186,207,244,401,,,90.6,23
,3,54,5,B82,311,149,90,90,106,106,137,137,148,148,340,,,93.6,23
,,54,40,44,685,207,81,990,125,143,168,194,222,305,381,,,90.0,23
,,55,10,72,323,175,76,90,133,140,148,175,207,244,314,,,93.7,23
,,54 55,so,44,685,200,80,9,128,142,164,191,219,298,360,,,91.0,23
CHARLESTON W VA,1,,36,60,625,259,125,155,186,,228,244,296,340,449,,,93.0,24
,,54 55,23,123,567,257,125,148,16 2,i75,219,244,314,401,473,,,91.1,24
,,53 55,59,60,625,258,125,151,172,207,226,241,303,371,461,,,93.9,24
TAMPA FLA,1,53,5,103,239,146,106,106,116,116,125,125,175,,,,,95.0,24
,,,,,,,,,,,,,,175,244,,,95.0,24
,1,54,44,32,377,137,64,79,90,101,114,130,155,186,259,,,94.1,24
,1,55,21,25,312,177,54,106,148,162,186,207,226,244,288,,,94.5,24
,1,53 55,70,25,377,150,67,87,100,113,133,157,180,218,262,,,93.2,24
ATLANTA GA,1,53,2,197,275,236,,,207,207,207,207,207,2868,208,,,90.7,24
,1,54,42,73,728,233,116,140,179,193,207,237,259,283,340,,,94.7,24
,1,,43,73,475,217,90,129,144,175,207,232,266,305,371,,,95.4,24
,1,53 55,87,73,728,225,109,133,162,188,207,234,263,294,340,,,93.5,24
,2,54,3,23,272,148,28,64,64,106,148,175,207,207,266,,,91.8,24
,,53,2,197,275,236,,,207,207,207,207,207,288,288,,,93.8,24
,,54,50,,728,219,106,131,162,1485,201,229,256,276,323,,,93.5,24
,,35,43,,475,217,90,129,144,175,207,232,266,305,371,,,94.0,24
,,53,95,208,728,219,101,130,156,183,203,231,261,265,340,,,92.0,24
CHATTANOOGA TENN,1,54 55,20,99,727,329,,191,226,288,323,360,,449,516,,,94.0,24
,2,54 55,42,46,509,187,69,80,106,131,152,167,226,288,401,,,94.1,24
,3,55,11,53,349,175,54,90,106,162,186,196,207,226,244,,,94.8,24
,4,55,13,113,543,248,125,175,191,207,244,259,273,268,340,,,93.5,24
,,54,42,46,509,224,76,95,140,162,186,244,288,371,430,,,93.4,24
,,55,44,48,,231,76,116,153,175,201,226,266,314,473,,,93.8,24
,,54 55,86,46,727,228,79,106,148,166,195,235,277,340,425,,,93.0,24
CHICAGO PEL,1,54,31,89,1071,368,125s,196,226,259,314,355,401,494,558,,,87.0,24
,,55,23,136,1156,390,162,244,288,305,331,355,386,473,658,,,94.2,24
,1,54,,89,1156,377,157,207,244,293,319,348,393,487,658,,,95.0,24
,2,54,33,179,1409,523,207,288,340,386,473,558,608,658,916,,,94.3,24
,2,55,26,183,1090,462,288,309,340,361,437,494,537,598,638,,,93.6,24
,2,54 55,,179,1409,496,244,301,340,392,452,509,576,631,T47,,,91.5,24
,3,54,38,29,B20,209,101,114,122,148,175,193,219,259,425,,,93.3,24
,4,54,7,48,518,311,54,54,244,266,288,288,401,516,516,,,94.2,24
,4,55,44,43,601,265,106,133,159,188,219,262,323,401,516,,,93.9,24
,4,54,,43,601,271,106,133,164,194,244,275,340,419,516,,,93.9,24
,,54,109,29,1409,356,113,164,197,233,279,340,419,,658,,,94.8,24
,,,93,43,1156,351,131,175,226,278,318,358,417,494,602,,,95.4,24
,,54 55,202,29,1409,354,119,168,204,253,300,350,418,S11,625,,,92.9,24
EAST CHICAGO a,1,55,8,86,725,386,90,125,125,340,401,473,516,516,558,,,89.1,24
,2,55,9,67,558,339,70,76,244,340,401,401,473,,,,,95.4,24
,3,55,5,35,207,139,39,39,125,125,175,175,191,191,207,,,93.7,24
,4,55,5,106,339,219,106,106,148,148,207,207,314,314,340,,,95.2,24
,,55,27,35,T25,294,76,106,148,196,301,327,401,490,524,,,91.1,24
DETROIT MICH,1,53 54,,106,1045,502,262,305,352,413,482,530,608,709,811,,,92.3,24
CINCENNATI OHIO,1,53,18,199,1430,486,244,288,305,340,371,401,473,717,B46,,,94.3,24
,1,54,,29,806,267,125,159,182,213,241,264,286,350,459,,,94.9,24
,1,55,22,95,735,323,i75,207,235,259,2868,340,381,449,516,,,91.7,24
,1,53 55,,29,1430,307,139,175,207,235,261,286,345,401,524,,,92.4,24
,2,53,4,53,847,324,,54,54,175,175,175,244,244,916,,,95.1,24
,2,54,39,21,623,208,93,112,132,15121,169,191,235,301,386,,,89.9,24
,2,55,5,174,366,251,175,175,207,207,244,244,340,340,401,,,94.7,24
,2,53 55,68,,847,218,93,116,135,155,173,202,244,309,389,,,94.7,24
,3,53,3,168,980,455,,,175,175,244,244,244,244,Oul,,,93.2,24
,3,54,70,35,720,196,79,97,117,141,162,191,228,270,340,,,92.3,24
,3,55,12,103,362,199,106,125,148,183,191,199,207,244,371,,,92.7,24
,3,53 55,85,35,980,206,84,102,128,148,170,199,229,270,371,,,94.2,24
,4,54,41,69,891,293,119,155,180,198,226,266,340,425,558,,,93.8,24
,4,55,10,70,367,189,76,137,148,162,175,207,219,232,244,,,95.3,24
