Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
NEW YORK NOY,,54 55,,,109,24,1,5,,18,24,25,28,32,54,,,89.2,180
PHILADELPHIA PA,,54,10,,52,14,1,1,7,10,13,14,15,15,19,,,95.0,180
WASHINGTON dC,,54 55,28,,26,6,,,1,1,1,4,,15,20,,,91.0,180
LOUESVILLE KY,,54,6,,14,6,1,1,1,1,3,7,,13,13,,,93.6,180
CHARLESTON W VA,1,54,7,,65,22,1,1,1,19,21,21,26,29,29,,,92.4,180
TAMPA FLA,1,54,8,,35,13,1,1,1,4,5,6,23,23,34,,,95.0,180
ATLANTA GA,1,54,8,,25,10,1,1,1,4,8,9,17,17,23,,,95.4,180
CHICAGO PLL,1,54,3,1,,5,,1,1,1,5,5,,5,11,,,91.5,180
,2,54 55,35,,119,34,1,15,23,28,33,36,45,48,60,,,94.1,180
,3,54,3,,,,,,,,1,,,1,1,,,95.5,180
,,54 55,41,,119,29,1,4,11,19,29,34,42,47,54,,,93.1,180
DETROIT MiCH,1,53,21,10,67,33,i3,16,17,19,31,36,44,57,60,,,88.6,180
,1,54,11,2,,77,2,10,32,44,91,101,107,112,138,,,91.8,180
,1,53 54,32,2,172,48,10,16,19,30,36,44,59,74,107,,,93.5,180
CINCINNATI OHIO,1,54,60,,55,4,,,1,1,1,2,,7,190,,,91.3,180
,1,,4,19,37,26,,19,19,25,23,23,26,26,40,,,92.9,180
,1,54 55,64,,55,5,,,1,1,1,3,,9,17,,,95.1,180
,2,54,14,,17,6,,1,1,1,4,8,11,13,14,,,94.6,180
,3,54,15,,19,8,,1,1,5,8,8,12,13,18,,,94.3,180
,4,54,20,1,56,17,2,8,12,13,16,17,19,23,26,,,94.8,180
,,,,,,,,,,,,7,,,,,,91.0,180
,,54,107,,56,7,,,,1,4,,10,13,18,,,95.1,180
,,5 t,4,19,37,26,,19,,23,23,23,26,26,40,,,93.8,180
,,54 55,111,,36,8,,,1,1,4,7,11,15,19,,,88.8,180
MINNEAPOLIS MINN,1,54,14,,23,4,,,,1,1,1,,11,17,,,93.7,180
KANSAS CITY MO,,54,11,,8,2,,,1,1,1,4,,6,8,,,94.5,180
NEW ORLEANS LA,,54,4,,13,4,,1,1,1,1,1,,2,13,,,95.1,180
FT WORTH TEXAS,1,54,5,,8,2,,,1,1,1,1,,4,8,,,95.4,180
LAKEWORTH TEXAS,1,54,2,,,,,,1,1,1,1,,1,1,,,93.1,180
HOUSTON TEXAS,1,54,17,,99,24,1,,7,11,19,20,21,36,49,,,94.5,180
BELLAIRE TEXAS,1,54,2,1,16,8,,,1,1,1,1,,17,17,,,95.3,180
SALT LAKE CITY UTAH,2,54,5,,26,5,,,1,1,1,1,,1,26,,,90.9,180
ANCHORAGE ALASKA,1,54 55,27,,275,17,,,2,4,5,7,11,14,19,,,93.3,180
LOS ANGELES CALIF,,54,19,5,125,42,10,14,20,26,34,36,54,71,82,,,94.1,180
PASADENA CALIF,1,54 55,28,,77,32,1,11,15,20,29,36,47,49,64,,,95.0,180
BERKELEY CALIF,1,54 55,35,,110,33,10,13,14,22,26,36,44,52,72,,,93.2,180
SAN JOSE CALIF,1,54 55,34,,70,22,3,8,13,16,19,21,29,32,46,,,90.3,180
PORTLAND QREGON,1,54,19,,33,14,1,6,9,1,13,14,16,19,31,,,95.2,180
,2,54,10,12,37,29,13,23,26,29,32,33,,36,38,,,95.6,180
,4,54,15,,178,25,1,1,,,14,18,28,29,49,,,93.6,180
,5,54,10,19,55,30,19,24,25,26,29,31,,34,36,,,95.1,180
,,54,54,,178,23,1,7,12,16,19,25,30,32,36,,,94.1,180
