Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,,14,,20,5,1,2,2,5,6,6,7,7,9,,,93.2,121
,1,56,22,,40,6,,1,1,1,2,2,7,10,10,,,93.2,121
,1,55 56,36,,40,6,1,1,1,2,3,6,7,9,10,,,90.8,121
BOSTON MASS,1,55,23,,6,,,,,,1,1,1,1,3,,,94.9,121
EVERETT MASS,1,55,26,,10,1,,,1,1,1,2,2,3,4,,,94.3,121
ELIZABETH N J,1,56,20,,4,,,,,1,1,1,1,1,2,,,94.9,121
PAULSBORO N J,1,55 56,23,,4,,,,,1,1,1,1,1,2,,,94.4,121
CAMDEN N J,1,55 56,19,,8,,,,,1,1,1,1,1,3,,,92.0,121
PERTH AMBOY N J,1,56,21,,5,,,,,,1,1,1,1,1,,,92.9,121
TRENTON N J,1,55 56,16,,4,,,,1,1,1,1,1,2,2,,,95.0,121
JERSEY N J,1,55 56,2i,,70,12,1,2,3,4,6,11,13,14,23,,,92.8,121
NEW YORK N Y,2,55 56,21,,30,4,,1,1,2,2,4,5,7,10,,,94.3,121
,3,54 55,18,,30,6,1,1,1,2,2,5,7,10,17,,,93.1,121
,,54 56,39,,30,5,,1,1,2,2,4,5,9,13,,,95.7,121
PHILADELPHIA PA,1,55,94,,12,2,,,1,1,1,1,2,3,6,,,93.7,121
,1,56,11,,7,3,,1,1,2,3,3,4,5,6,,,93.8,121
,1,55 56,1,,12,2,,,1,1,1,1,2,3,6,,,95.0,121
,4,56,11,,49,7,,1,1,1,2,3,6,7,7,,,94.0,121
,5,56,9,,7,1,,,,1,1,1,1,1,5,,,93.5,121
,6,36,11,,8,2,,,1,1,1,2,3,4,7,,,93.9,121
,7,56,11,,31,4,,,,1,1,1,3,7,7,,,92.0,121
,,55,94,,12,2,,,1,,1,1,2,3,6,,,94.5,121
,,56,53,,49,3,,,1,1,1,2,3,6,7,,,92.2,121
,,55 56,1 47,,49,2,,,1,1,1,1,2,4,6,,,95.4,121
ALTOONA PA,1,56,13,,6,1,,1,,1,1,1,2,2,4,,,94.6,121
BRESTOL PA,1,55 56,18,,4,,,,,,1,1,1,1,1,,,94.6,121
CHESTER PA,1,55 56,18,,8,1,,,1,1,1,2,2,3,5,,,94.5,121
ERIE PA,1,56,25,,5,,,,,1,1,1,1,1,2,,,94.6,121
PITTSBURGH PA,1,56,21,,200,28,1,4,5,8,10,20,21,40,60,,,90.7,121
WILLIAMSPORT PA,1,55 56,23,,9,4,1,1,2,2,3,5,6,6,7,,,94.6,121
WASHINGTON OC,2,55 56,17,,,4,1,1,2,2,3,3,6,8,8,,,94.9,121
LOUISVILLE KY,1,54,i7,,20,6,1,1,2,3,6,7,9,10,10,,,94.6,121
,1,55,20,,150,13,1,2,2,3,3,3,5,10,,,,93.4,121
,1,54 55,37,,150,10,1,1,2,3,3,5,9,10,10,,,93.5,121
,2,54,13,,10,2,,1,1,2,2,3,3,3,5,,,93.2,121
,2,55,10,,20,4,,1,1,2,2,3,4,7,10,,,95.5,121
,2,54 55,23,,20,3,,1,1,2,2,3,3,5,10,,,94.6,121
,,54,31,,20,4,,1,1,2,3,3,6,9,10,,,95.5,121
,,55,30,,150,10,1,1,2,2,3,3,5,10,20,,,95.5,121
,,54 55,61,,150,7,,1,2,2,3,3,6,9,10,,,95.2,121
MD,1,57,18,23,290,71,25,28,29,35,40,44,60,112,146,,,93.5,121
CHARLESTON Ww VA,4,55,16,,40,8,,1,1,1,4,9,9,10,20,,,91.0,121
TAMPA FLA,1,55,21,,10,1,,,,1,1,1,2,4,6,,,95.5,121
ATLANTA GA,1,56,16,,20,5,1,1,2,2,3,5,6,9,10,,,95.4,121
CHATTANOOGA TENN,3,55,14,,2,,,,1,1,1,1,1,2,2,,,92.0,121
,4,55 56,18,,30,5,1,1,1,2,2,3,4,8,10,,,91.5,121
,,55 56,32,,30,3,,1,1,1,1,2,2,3,9,,,94.5,121
CHICAGO PEL,1,55,28,,20,4,,1,1,2,3,3,5,6,9,,,91.8,121
,2,55,20,,40,6,1,1,2,3,4,6,7,8,10,,,93.6,121
,4,55,29,,100,16,,1,1,2,3,4,7,21,60,,,92.8,121
,,55,77,,100,9,,1,1,2,3,4,6,9,21,,,93.3,121
EAS T ST LOUIS ILL,1,,15,3,590,9,3,4,4,,6,6,9,9,10,,,92.1,122
,2,56,14,,20,4,,1,1,2,4,5,,6,7,,,94.6,122
,,55 56,,,50,7,1,2,3,4,5,5,,7,10,,,92.2,122
EAS T CHICAGO,1,55 56,19,,50,15,1,3,5,8,10,19,20,21,32,,,93.1,122
,2,55 56,26,,50,11,2,2,4,5,7,9,10,20,21,,,92.4,122
,3,55 56,21,,120,15,1,3,4,,9,10,19,20,21,,,92.1,122
,4,52 56,20,,70,ie,,1,,4,5,5,10,20,32,,,91.2,122
,,55 56,86,,120,13,1,2,4,5,7,9,19,20,30,,,94.1,122
CIN CINNATI,1,55,23,,39,9,1,2,4,6,8,9,9,10,20,,,89.7,122
YOU NGSTOWN OHIO,1,57,12,29,75,47,29,33,36,40,44,,52,60,74,,,93.5,122
MIL WAUKEE,1,57,19,,88,29,1,17,19,23,26,28,36,40,44,,,93.1,122
MIN NEAPOLIS MINN,1,54 55,,,7,2,,,1,1,1,2,2,4,6,,,88.7,122
KAN SAS ciry MO,,55 56,18,,ei,5,1,1,2,2,3,3,4,6,10,,,89.0,122
,,,,,,,,,,1,,,,,,,,65.0,122
,,55 56,9,,3,,,,,,1,1,1,1,2,,,92.2,122
,,55. 56,27,,2i,3,,1,1,1,2,2,3,4,6,,,88.5,122
ST LOUIS MO,1,55 56,23,,20,,1,,,2,3,,,,,,,91.3,122
,,,,,,4,,1,2,,,4,4,5,,,,94.0,122
NEW ORLEANS LA,,54 95,24,,9,1,,,,1,1,1,,2,5,,,92.3,122
,,54 35,22,,6,1,,,1,1,1,1,2,2,3,,,91.2,122
,,54 55,46,,9,1,,,,1,1,1,1,2,4,,,93.5,122
FT WORTH TEXAS,1,54 55,24,,3,,,,,,1,1,1,1,1,,,95.5,122
HOU STON TEXAS,1,54,8,2,20,7,2,2,2,5,6,7,10,10,10,,,94.6,122
,1,55,56,,30,4,,1,2,2,2,3,4,6,9,,,93.5,122
,,54 55,6 4,,30,4,,1,2,2,3,3,5,7,9,,,93.5,122
BEL LAIRE TEXAS,1,54,17,,30,7,1,1,2,2,2,3,9,10,10,,,93.5,122
,,,14,,10,,,,,1,1,1,1,1,2,,,91.6,122
,1,54 55,31,,30,4,,,1,1,1,2,2,9,10,,,93.4,122
DEN VER COL,1,54 55,23,,10,2,,1,1,2,2,2,3,3,9,,,94.8,122
SAL T LAKE CITY UTAH,2,54 55,26,,100,21,3,6,9,9,10,10,20,21,32,,,90.4,122
ANC HORAGE ALASKA,1,54 55,13,,20,4,,1,1,1,2,3,4,7,10,,,95.2,122
SAN FRANCISCO CALIF,1,55 56,32,,6,1,,,1,1,1,1,1,2,4,,,94.7,122
PAS ADENA CALIF,1,55 56,20,,6,2,,1,1,1,2,2,3,3,4,,,94.1,122
SAN JOSE CALIF,1,55 56,25,,9,1,,,1,1,1,1,2,2,7,,,93.2,122
SAN LEANDRO CALIF,1,55 56,30,,20,4,1,1,2,2,3,4,5,7,10,,,94.4,122
POR TLAND OREGON,1,54,20,,20,8,1,2,4,5,6,8,10,10,20,,,94.3,122
SEA TTLE WASH,1,57,20,17,59,33,19,22,25,28,30,32,40,49,52,,,91.6,122
