Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTA L,57,130,iz,440,103,43,,58,,,,122,149,,,,91.4,37
MAINE TOTAL,57,1s,is,2 90,98,29,51,55,68,,90,138,149,,,,92.4,37
MASSACHUSETS TOT AL,35 57,293,10,615,91,31,44,58,66,75,B89,109,128,166,,,89.6,37
NEW HAMPSHRE ToT AL,57,17,le,107,52,25,30,33,348,44,51,59,78,97,,,87.0,37
RHODE ISLAND TOT AL,57,27,33,700,111,51,56,65,75,86,97,110,120,159,,,89.1,37
VERMONT TOTAL,57,26,8,45,24,14,16,22,23,24,25,30,32,35,,,94.3,37
DELAWARE TOTAL,57,28,38,410,125,,65,80,88,97,109,129,,232,,,94.9,37
NEW JERSEY TOTAL,55 57,311,16,467,100,43,53,64,76,86,98,114,1353,175,,,90.9,37
NEW YORK TOTAL,95 57,241,17,402,86,33,42,50,61,71,83,102,125,1354,,,90.4,37
PENNSYLVANIA TOT AL,55 57,1249,7,B29,137,49,68,82,100,116,133,156,190,241,,,92.2,37
COLUMBIA TOT AL,55 57,87,9,550,119,36,46,59,87,109,130,152,177,207,,,92.4,37
KENTUCKY TOTAL,55 57,78,15,706,130,52,62,68,85,96,110,138,177,243,,,92.8,37
MARYLAND TOTAL,56 57,53,25,952,167,59,84,92,102,125,138,165,202,371,,,92.0,37
NO CAROLINA TOTA,57,,12,S31,107,33,45,49,54,71,107,126,159,227,,,92.9,37
PUERTO RICO TOTA,57,21,16,118,48,16,22,33,41,49,55,61,64,68,,,92.9,37
VIRGINIA TOTAL,57,51,25,198,84,36,48,54,59,71,87,109,138,1 1,,,93.7,37
wEST VIRGINA TOT AL,55 57,99,24,437,126,44,56,76,92,101,115,134,190,237,,,93.2,37
ALABAMA TOTAL,57,25,9,214,91,41,51,71,78,90,95,102,112,159,,,91.2,37
FLORIDA TOTAL,55 57,11il,,247,71,33,41,48,55,63,70,61,95,120,,,92.0,37
GEORGIA TOTAL,55 57,116,35,803,120,51,66,75,82,88,104,120,145,,,,90.8,37
MISSUESSIEPPI TOTA L,57,24,3,220,53,8,18,19,33,36,41,51,,120,,,86.4,37
so CAROLINA TOTA L,57,,24,350,113,38,46,54,68,78,104,1368,189,255,,,87.5,37
TENNESSEE TOTAL,55 57,172,9,733,142,51,61,72,89,113,132,156,191,271,,,91.7,37
TOTAL,55 57,267,3,618,150,39,61,78,102,124,149,187,236,295,,,92.0,37
TOTAL,55 57,272,19,490,124,44,57,73,87,102,i118,144,177,241,,,92.6,37
MICHIGAN TOTAL,56 57,181,7,417,B81,29,37,50,60,67,79,93,109,143,,,92.9,37
OHIO TOTAL,55 57,297,21,1231,54,43,55,7,80,,,,90,,,,90.5,37
TOTAL,57,46,9,212,71,29,43,49,61,65,71,62,95,120,,,90.9,37
1 OWA TOTAL,57,26,6,183,72,33,41,46,49,55,68,64,104,138,,,89.1,37
KANSAS TOTAL,55 57,69,138,285,62,29,32,36,40,43,590,57,81,132,,,93.4,37
MINNESOTA TOTAL,55 57,166,9,446,85,36,47,,63,71,79,91,118,146,,,94.3,37
MISSOURI TOTAL,57,334,7,745,142,37,66,86,98,113,132,157,200,2u0,,,93.8,37
NEBRASKA TOTAL,57,,24,175,62,33,39,44,47,49,,66,82,101,,,93.6,37
NORTH DAKOTA TOTAL,57,24,17,90,38,16,25,28,34,36,38,43,,68,,,95.2,37
SOUTH DAKOTA TOTAL,57,26,5,75,33,22,24,28,30,38,43,46,,,,,95.1,37
ARKANSAS TOTAL,57,26,24,174,58,27,28,33,40,44,48,50,86,104,,,92.9,37
LOUISIANA TOTAL,55 57,135,16,558,101,34,42,55,,84,97,113,131,2U4,,,91.8,37
NEW MEXICO TOTAL,57,,61,410,180,78,86,99,1386,159,183,211,280,322,,,90.9,37
QKLAHOMA TOTAL,57,20,,67,26,8,17,,23,24,25,28,33,42,,,91.0,37
TEXAS TOTAL,,300,Lez,405,71,3,32,40,47,55,65,79,98,138,,,90.4,37
COLURADO TOTAL,57,92,17,424,,53,70,83,96,110,127,146,176,243,,,93.8,37
TGTAL,57,34,25,237,88,40,46,,59,82,88,112,120,i159,,,89.6,37
MONTANA TOTAL,57,25,,42,21,8,9,16,18,,24,27,29,38,,,93.9,37
UTAH TOTAL,55 57,75,29,467,,47,56,69,77,90,106,138,173,255,,,92.0,37
WYOMING TOTAL,57,27,,96,42,17,2s,27,31,36,40,48,56,84,,,90.2,37
ALASKA TOTAL,57,42,16,332,,33,40,49,68,80,97,127,142,1u3,,,90.9,37
ARIZONA TOTAL,57,26,37,587,164,51,68,78,84,104,159,183,291,312,,,92.4,37
CALIFORNIA TOTAL,55 57,67,3,790,138,31,49,67,BS,105,124,158,206,275,,,92.4,37
HAWAII TOTAL,96 57,62,,107,40,17,ei,25,28,34,43,49,58,67,,,89.1,37
