Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
NEW YORK N OY,2,,28,1,59,25,6,11,15,22,27,30,33,36,41,,,89.3,176
,3,54,,,28,10,1,1,4,9,10,10,11,12,12,,,93.6,176
,,54 55,36,,59,21,4,9,11,14,22,28,30,34,39,,,93.9,176
PHILADELPHIA PA,,54,10,,28,12,1,3,7,8,12,12,13,13,27,,,91.9,176
WASHINGTON ODOC,,54 55,25,,34,15,1,5,9,14,17,18,20,ai,27,,,91.5,176
LOUISVILLE KY,,54,9,3,44,25,3,11,15,17,21,21,36,38,46,,,93.2,176
CHARLESTON W VA,1,54,7,,42,13,1,1,5,5,6,6,,27,27,,,92.9,176
TAMPA FLA,1,54,10,1,18,,1,2,2,3,5,5,,15,17,,,94.0,176
ATLANTA GA,1,54,9,,26,10,1,4,4,8,8,8,,15,26,,,95.3,176
CHICAGO PLL,,54,37,,86,32,2,11,19,28,32,37,41,48,58,,,92.4,176
,,,6,5,44,30,5,5,29,29,30,38,38,43,43,,,94.5,176
,,54 55,43,,86,31,2,15,23,28,32,37,41,45,58,,,95.3,176
DETROIT MICH,1,53 54,29,,71,27,4,11,14,21,23,26,37,43,si,,,91.7,176
CINCINNATI OHIO,1,54 55,73,3,,15,5,8,10,12,14,16,18,22,28,,,93.4,176
,2,54,19,7,53,23,il,13,16,19,22,23,24,27,41,,,93.9,176
,4,54,16,3,36,16,5,6,11,14,,17,21,23,23,,,94.9,176
,5,54,27,3,69,28,9,10,14,17,21,29,34,48,61,,,94.7,176
,,54 55,135,3,69,19,6,9,12,14,16,18,22,26,36,,,95.5,176
MINNEAPQLIS MINA,1,54,14,4,20,,4,5,6,9,11,12,15,16,19,,,91.1,176
KANSAS CITY MO,,54,6,2,,,2,2,3,3,4,4,,,6,,,95.5,176
NEW ORLEANS LA,,54,4,6,22,14,,6,6,9,9,9,19,19,24,,,95.5,176
FT WORTH TEXAS,1,54,6,5,59,20,5,5,7,7,9,11,il,30,30,,,91.7,176
LAKEWORTH TEXAS,1,54,5,,33,17,1,1,9,9,13,13,32,32,34,,,94.9,176
HOUSTON TEXAS,1,54,16,,48,10,,,1,1,6,10,11,19,24,,,94.9,176
SALT LAKE CITY UTAH,2,54,5,14,42,22,14,14,15,15,17,17,24,24,43,,,95.0,176
ANCHORAGE ALASKA,1,54 55,24,,400,28,,1,4,7,9,11,is,19,34,,,91.9,176
LOS ANGELES CALIF,,54,ig,1,40,15,2,4,7,9,11,15,23,27,30,,,93.8,176
PASADENA CALIF,1,54 55,24,,52,22,2,,14,20,22,24,30,32,38,,,94.1,176
BERKELEY CALIF,1,54 55,35,1,3.5,12,5,7,8,10,12,13,15,16,26,,,94.2,176
SAN JOSE CALIF,1,54 55,34,,25,13,1,7,10,14,16,17,18,19,20,,,94.9,176
PORTLAND OREGON,1,54,19,,32,12,1,2,8,10,10,11,13,17,27,,,93.8,176
,2,54,15,,29,16,1,1,16,17,19,21,24,26,29,,,95.1,176
,4,54,10,,36,21,12,13,15,17,18,19,26,27,34,,,95.1,176
,5,54,10,10,23,15,10,11,12,13,15,16,17,19,23,,,94.3,176
,,54,54,,36,15,1,9,11,13,15,17,21,25,29,,,93.3,176
