Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55,,,,,,,,,,,,,,,91.7,202
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,,,3,2,,,95.2,202
MAX MUM,,3,4,5,2,3,2,4,9,5,7,10,8,,,93.7,202
AVERAGE,,1,3,2,2,2,1,3,5,5,4,5,5,,,92.6,202
MIN I MUM,,,3,2,2,2,1,3,3,,2,2,3,,,90.8,202
BOSTON MASS,55,,,,,,,,,,,,,,,96.0,202
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,4,1,2,2,1,,,92.1,202
MAX I MUM,,3,2,20,,1,1,10,2,2,2,2,2,,,92.6,202
AVER AGE,,3,1,5,,1,,5,,2,1,1,2,,,94.0,202
MIN I MUM,,3,1,,,1,,1,,2,1,1,2,,,87.1,202
EV ERETT MASS,535,,,,,,,,,,,,,,,85.5,202
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,91.0,202
MAX I MUM,,3,7,4,1,,2,4,2,2,2,2,3,,,92.6,202
AVERAGE,,2,3,3,1,4,1,2,1,1,2,2,2,,,95.0,202
MIN 1 MUM,,1,,2,1,4,1,1,,1,2,2,2,,,90.1,202
EL N J,55 56,,,,,,,,,,,,,,,89.6,202
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,95.5,202
MAX MUM,,1,,2,2,,,,1,1,,1,,,,95.8,202
AVERAGE,,,,1,1,,,,,1,,1,3,,,95.5,202
MIN I MUM,,,,1,1,,,,,1,,1,1,,,87.9,202
PA ULSBORO N J,55,,,,,,,,,,,,,,,92.0,202
NUMBER OF,,2,4,3,5,2,1,4,1,,2,,1,,,93.4,202
MAX I MUM,,4,4,4,3,2,1,1,1,,3,,,,,92.9,202
AVERAGE,,3,3,2,1,1,1,,1,,1,,,,,94.6,202
MIN MUM,,3,2,2,1,,1,,1,,,,,,,93.2,202
CA MOEN N oJ,55 56,,,,,,,,,,,,,,,77.7,202
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,2,,,94.4,202
MAX I MUM,,2,5,4,5,,1,2,2,2,4,,4,,,91.0,202
AVERAGE,,2,3,3,3,,1,2,1,1,4,,3,,,95.5,202
MIN I MUM,,2,2,3,1,,1,2,1,1,4,,2,,,88.8,202
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,92.3,202
NUMBER OF SAMPLES,,3,1,4,5,,,,2,,2,3,2,,,94.7,202
MAX I MUM,,3,1,2,61,,,,1,,1,4,3,,,90.6,202
AVERAGE,,1,1,1,13,,,,1,,1,1,2,,,94.8,202
MIN J MUM,,,1,1,,,,,1,,1,,1,,,78.1,202
TR ENTON N,55 56,,,,,,,,,,,,,,,94.2,202
NUMBER OF SAMPLES,,3,2,1,1,1,1,2,1,,1,1,3,,,92.7,202
MAX t MUM,,1,4,1,6,,,1,1,,5,1,2,,,90.0,202
AVERAGE,,1,2,1,6,,,1,1,,5,1,1,,,95.7,202
MIN I MUM,,1,1,1,6,,,1,1,,5,1,1,,,87.6,202
JE RSEY city SAMPLES,55 56,,,,,,,,,,,,,,,82.7,202
NUMBER OF,,2,3,4,4,,2,2,2,1,,1,2,,,94.5,202
MAX I MUM,,2,6,9,13,,2,1,3,1,,1,3,,,86.2,202
AVERAGE,,1,3,4,4,,2,,2,1,,1,2,,,94.9,202
MiN I MUM,,1,2,2,1,,2,,1,1,,1,1,,,90.0,202
NEW YORK WN,54 56,,,,,,,,,,,,,,,89.0,202
NUMBER OF SAMPLES,,4,4,4,8,5,10,7,5,6,6,7,7,,,93.8,202
MAX I MUM,,45,3,37,24,41,34,14,4,61,26,57,40,,,91.4,202
AVERAGE,,13,1,19,9,8,4,4,2,24,8,10,12,,,95.2,202
MIN I MUM,,1,1,2,1,,,,,2,2,,,,,87.2,202
A PA,54 56,,,,,,,,,,,,,,,94.0,202
NUMBER OF SAMPLES,,20,16,14,15,19,12,13,13,10,8,8,9,,,93.5,202
MAX MUM,,68,53,3,26,10,5,4,6,8,4,4,9,,,94.7,202
