Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
ONNECT T OTAL,55 56,36,,10,3,1,1,2,2,2,3,3,4,5,,,92.5,200
ASSACH U Ss TS TOTAL,55,49,,20,2,,,1,1,1,1,2,2,,,,89.1,200
Ew JER TO TAL,55 536,130,,61,2,,,1,1,1,,2,3,,,,92.5,200
EW YOR K OTA,54 56,73,,61,9,,1,1,2,3,,5,14,37,,,93.2,200
ENNSYL LA TOTAL,54 56,275,,68,3,,,1,1,1,2,3,3,4,,,88.2,200
i COL U TOTAL,54 56,46,,98,8,,,1,1,2,2,3,5,20,,,89.6,200
ENTUC K OTA,54 55,67,,15,3,,1,1,2,2,3,4,,9,,,93.9,200
ARYLA N OT.A,57,18,2,33,9,3,5,6,7,8,,9,11,12,,,94.2,200
WEST Vv I nan TOTAL,54 95,27,,1 06,19,2,4,5,7,10,14,19,20,30,,,86.8,200
TAL,54 55,28,,9,,,,,,1,,1,1,1,,,92.7,200
0 TAL,54 56,22,1,55,8,1,2,3,3,4,4,6,9,18,,,93.8,200
ENNES SE TOT AL,55 56,32,,11,2,,,1,1,1,,2,3,3,,,93.5,200
LLINO OTA,54 56,147,,62,5,,1,1,1,2,2,3,4,9,,,91.9,200
,,,,,,,1,2,2,3,4,5,7,14,,,90.5,200
A TAL,55 56,66,,30,5,1,,,,,,,,,,,92.1,200
A OTA,53 54,21,1,1 08,40,3,6,7,12,39,52,57,65,1 04,,,90.9,200
H1O T 0,54 57,135,,71,8,,1,1,1,2,3,5,,25,,,91.4,200
ISCONS TOT AL,57,19,4,38,12,4,5,7,9,10,12,13,15,23,,,88.6,200
INNESO TA TOT AL,54 55,35,,72,8,,1,1,1,2,2,3,4,39,,,94.7,200
,,,,,,,,,,,2,,,,,,94.0,200
R T OTA,54 56,61,,60,6,,1,1,1,2,,3,4,30,,,92.5,200
OUI SI ANA TOT AL,54 55,50,,,,,,,,1,1,1,1,1,,,79.4,200
EXAS TOT AL,54 53,143,,518,8,,,1,1,1,1,2,3,11,,,91.8,200
OLORADO T OTA,54 535,26,1,24,,1,2,2,3,3,4,5,,10,,,92.9,200
TAH TOTAL,54 55,31,,66,10,1,5,6,8,9,9,10,10,19,,,92.9,200
LASKA TOT AL,54 55,41,,750,89,1,2,7,18,49,85,119,149,220,,,92.9,200
ALIFORNIA TOTAL,54 56,215,,131,9,,1,1,1,2,3,5,7,28,,,94.2,200
OREGON TOT AL,34 55,74,,66,11,1,2,3,4,5,7,9,14,39,,,92.8,200
WASHINGTON TOTAL,57,20,5,37,14,6,7,8,9,15,16,17,18,20,,,93.4,200
NEW ENGLND TOTAL,55 56,85,,20,2,,1,1,1,2,2,3,3,5,,,89.5,200
Mto ATLNTC TOTAL,54 56,478,,68,3,,,1,1,1,2,3,3,5,,,92.7,200
MID EAST TOTAL,54 57,158,,106,8,,1,1,2,3,5,6,9,19,,,92.1,200
SOUTH EAST TOTAL,54 56,,,55,3,,,,1,1,2,2,3,7,,,94.0,200
MED WEST TOTAL,53 57,408,,108,8,,1,1,2,3,3,5,10,,,,94.2,200
GRT PLAINS TOTAL,54 56,96,,72,7,,1,1,1,2,2,3,4,30,,,92.6,200
GULF SOUTH TOTAL,54 55,193,,518,6,,,,1,1,1,1,2,6,,,92.1,200
ROCKY MNTN TOTAL,54 35,57,,66,8,1,2,3,4,6,8,9,10,19,,,92.2,200
PAC COAST TOTAL,54 57,350,,750,19,,1,,2,4,5,9,20,48,,,93.1,200
GRAND TOTAL,53 57,1907,,750,8,,1,1,1,2,3,4,7,18,,,93.9,200
