Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,94.8,118
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,1,4,3,2,,,93.9,118
MAX I MUM,,2,3,4,7,5,7,10,10,8,10,10,10,,,93.0,118
AVERAGE,,,3,3,3,3,3,7,5,8,5,7,,,,92.5,118
MIN MUM,,,3,2,2,3,2,5,3,8,4,3,8,,,94.5,118
BOSTON MASS,55,,,,,,,,,,,,,,,95.0,118
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,,1,,2,1,,,92.6,118
MAX I MUM,,3,,1,,2,2,2,2,2,2,2,,,,93.2,118
AVERAGE,,3,,,,2,2,1,2,2,2,2,,,,95.4,118
MIN MUM,,3,,,,2,2,,2,2,2,2,,,,94.9,118
EVERETT MASS,55,,,,,,,,,,,,,,,95.7,118
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,95.5,118
MAX MUM,,5,70,5,2,4,40,4,2,3,,20,3,,,95.2,118
AVERAGE,,3,24,2,2,4,16,2,1,2,,20,3,,,95.3,118
MIN t MUM,,,,,2,4,2,,,2,,20,3,,,85.8,118
ELIZABETH N J,55 56,,,,,,,,,,,,,,,90.2,118
NUMBER OF SAMPLES,,3,2,2,5,1,,1,2,1,,1,2,,,95.3,118
MAX MUM,,5,2,3,4,2,,1,5,3,,3,4,,,95.0,118
AVERAGE,,3,2,2,2,2,,1,3,3,,3,3,,,95.3,118
MIN I MUM,,1,2,2,1,2,,1,1,3,,3,3,,,91.5,118
PAULSBORO N SAMPLES,55 56,,,,,,,,,,,,,,,93.8,118
NUMBER OF,,2,4,2,4,2,1,4,1,,2,,1,,,95.1,118
MAX t MUM,,6,3,4,4,2,2,2,,,3,,3,,,94.3,118
AVERAGE,,5,,3,2,2,2,1,,,1,,3,,,94.9,118
MUN 1 MUM,,5,,2,,2,2,,,,,,3,,,90.0,118
CAMDEN N J,55 56,,,,,,,,,,,,,,,92.0,118
NUMBER OF SAMPLES,,2,3,2,1,,1,1,2,3,2,,2,,,95.0,118
MAX I MUM,,6,4,3,2,,2,5,7,3,2,,5,,,91.4,118
AVERAGE,,4,3,2,2,,2,,6,2,2,,3,,,95.9,118
MIN MUM,,3,2,2,2,,2,5,5,2,2,,2,,,95.0,118
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,92.7,118
NUMBER OF SAMPLES,,3,1,3,4,,,1,2,,2,3,2,,,93.8,118
MAX J MUM,,3,2,12,6,,,2,3,,4,9,4,,,93.2,118
AVERAGE,,1,2,5,2,,,2,2,,3,6,3,,,92.5,118
