Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,94.5,219
NUMBER OF,,2,2,3100,5,3,3,3,710,3600,3800,3900,2,,,94.3,219
MAXIMUM,,70,3100,,370,1400,2500,2200,,,,,4400,,,92.0,219
AVERAGE,,60,1765,1765,1356,586,1070,1123,527,3600,1435,2256,3700,,,92.7,219
MIT MUM,,50,430,60,40,160,120,400,300,3600,220,670,3000,,,83.9,219
BOSTON MASS,,,,,,,,,,,,,,,,95.0,219
NUMBER OF SAMPLES,,,2,4,1,1,2,2,4,1,2,2,1,,,95.5,219
MAXIMUM,,46,13,,,6,30,20,30,40,20,40,30,,,95.0,219
AVERAGE,,46,9,,,6,i9,13,15,40,20,35,30,,,91.6,219
MINIMUM,,46,6,,,6,9,7,,40,20,30,30,,,91.9,219
EVERETT WASS,55,,,,,,,,,,,,,,,91.0,219
NUMBER OF -SAMPLES,,3,3,,1,2,3,3,2,2,1,1,2,,,90.9,219
MAXIMUM,,120,1100,110,20,210,290,110,20,110,10,690,100,,,93.9,219
AVERAGE,,56,382,41,20,155,135,46,10,65,10,690,90,,,92.8,219
MINIMUM,,10,6,7,20,100,,10,,20,10,690,80,,,90.7,219
ELIZABETH W Vv,55 56,,,,,,,,,,,,,,,78.8,219
NUMBER OF SAMPLES,,3,2,2,5,1,,1,2,1,,1,2,,,95.3,219
MAXIMUM,,220,10,100,130,20,,7,150,290,,60,87,,,94.3,219
AVERAGE,,86,10,77,73,20,,7,80,290,,60,58,,,91.3,219
MINT MUM,,10,10,,18,20,,7,10,290,,60,30,,,82.4,219
PAULSBORO WN,55 56,,,,,,,,,,,,,,,87.8,219
NUMBER OF SAMPLES,,2,4,2,4,2,1,4,1,,,,1,,,94.9,219
MAXIMUM,,1860,82,140,66,20,23,18,16,,140,,,,,91.4,219
AVERAGE,,160,73,90,36,16,23,13,16,,70,,52,,,93.2,219
MiNi MUM,,140,69,40,17,12,23,,16,,,,52,,,80.7,219
CAMOEN NN JV,55 56,,,,,,,,,,,,,,,60.0,219
NUMBER OF SAMPLES,,2,3,2,1,,1,106,2,3,2,,2,,,92.6,219
MAX1 MUM,,120,140,140,17,,23,,350,58,24,,47,,,93.6,219
AVERAGE,,65,85,90,17,,23,100,290,37,17,,42,,,95.2,219
,,11,47,41,17,,23,100,230,20,11,,37,,,93.8,219
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,85.0,219
NUMBER OF SAMPLES,,3,1,3,4,,,1,2,,2,3,2,,,96.0,219
MAXIMUM,,74,28,2100,140,,,6,38,,60,260,46,,,94.8,219
AVERAGE,,31,28,761,74,,,6,38,,42,110,33,,,92.4,219
MINIMUM,,,28,43,14,,,6,38,,24,32,21,,,89.2,219
TRENTON WN J,56,,,,,,,,,,,,,,,73.8,219
NUMBER OF SAMPLES,,,2,1,,1,1,2,1,,1,1,3,,,94.4,219
MAXIMUM,,38,180,130,,5,44,38,,,70,17,380,,,95.1,219
AVERAGE,,24,98,130,,5,44,36,,,70,17,196,,,95.6,219
MINIMUM,,6,17,130,,5,44,34,,,70,17,ag,,,89.6,219
JERSEY CITY N,55 56,,,,,,,,,,,,,,,89.4,219
NUMBER OF SAMPLES,,2,3,3,4,,2,2,2,1,,1,2,,,95.0,219
MAXIMUM,,34,150,69,699,,130,17,93,19,,16,38,,,95.5,219
AVERAGE,,19,122,50,199,,85,10,990,19,,16,28,,,90.4,219
MINIMUM,,4,87,27,23,,40,3,88,19,,16,18,,,88.4,219
NEW YORK W,54 56,,,,,,,,,,,,,,,83.8,219
NUMBER OF SAMPLES,,,3,1,4,1,4600,4,3600,4500,3,4,5,,,93.8,219
MAXIMUM,,,1900,140,4300,170,,230,,,920,880,220,,,95.2,219
AVERAGE,,,697,140,1210,170,B61,133,981,2289,470,,116,,,93.1,219
MINIMUM,,,21,140,93,170,27,39,16,79,200,37,6,,,91.0,219
PHILADELPHIA PA,55 56,,,,,,,,,,,,,,,82.5,219
NUMBER OF SAMPLES,,17,13,13,13,18,12,13,13,10,8,8,4400,,,94.7,219
MAXIMUM,,210,120,110,120,2800,310,37,130,800,58,85,,,,94.5,219
AVERAGE,,80,46,62,53,217,139,19,60,115,31,37,62353,,,93.9,219
MIME MUM,,3,,7,14,,9,,9,,12,16,19,,,73.7,219
ALTOONA PA,56,,,,,,,,,,,,,,,65.7,219
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,91.2,219
MAXIMUM,,,40,40,30,60,,,70,20,110,20,,,,94.8,219
AVERAGE,,,40,40,25,36,,,70,20,,20,,,,95.6,219
,,,40,40,20,20,,,70,20,,20,,,,95.7,219
Pree oe,55 56,,,,,,,,,,,,,,,56.2,219
SAMPLES,,,1,1,1,2,,2,1,4,2,2,300,,,93.1,219
MAXIMUM,,,28,63,47,13,,66,13,,18,210,,,,91.9,219
AVERAGE,,,28,63,47,6,,42,13,165,15,134,153,,,93.9,219
MinWiMul,,,28,63,47,,,18,13,7,13,58,7,,,84.0,219
CHESTER PA,55 56,,,,,,,,,,,,,,,85.2,219
NUMBER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,1,,,95.3,219
MAXIMUM,,,58,,380,68,250,52,310,390,12,,33,,,92.1,219
AVERAGE,,,58,,210,34,128,35,128,147,12,,33,,,95.0,219
MINIMUM,,,58,,40,,6,18,17,22,132,,33,,,89.8,219
ERIE PA,56,,,,,,,,,,,,,,,94.3,219
NUMBER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,3,,,93.3,219
MAXIMUM,,40,20,100,80,10,40,10,,80,40,60,60,,,93.1,219
AVERAGE,,,20,65,,,40,10,,40,17,,33,,,94.4,219
MUM,,5,20,30,,,40,10,,10,,,9,,,95.5,219
PITTSBURGH SAMPLES,56,,,,,,,,,,,,,,,94.3,219
R OF,,3,3,3,,,3,2,,2,2,2,1,,,95.5,219
MAXI MUM,,110,80,550,,,310,20,,410,240,30,140,,,84.4,219
AVERAGE,,70,46,306,,,146,10,,300,165,30,140,,,95.2,219
MINIMUM,,40,30,60,,,60,,,190,90,30,140,,,88.8,219
WHELLELAMSPORT,55 56,,,,,,,,,,,,,,,65.0,220
NUMBER OF SAMPLES,,,,1,2,3,2,,1,3,2,3,,,,92.4,220
MAXIMUM,,,56,39,44,93,18,62,29,130,30,,19,,,94.4,220
AVERAGE,,,40,39,35,67,11,62,29,86,15,40,17,,,95.3,220
MINIMUM,,,19,39,27,30,5,62,29,58,,21,16,,,89.4,220
WASHINGTON,55 56,,,,,,,,,,,,,,,84.3,220
NUMBER OF SAMPLES,,1,2,,1,3,2,4,,2,1,1,,,,92.9,220
MAXIMUM,,40,60,,50,40,790,40,50,140,50,10,,,,90.8,220
AVERAGE,,40,50,,50,33,50,40,36,85,50,10,,,,93.4,220
MINIMUM,,40,40,,50,20,30,40,20,30,50,10,,,,93.4,220
LOUETSVILLE,54 55,,,,,,,,13,,,1,,,,79.8,220
NUMBER OF SAMPLES,,2,3,1,1,1,3,13,,12,6,,,,,95.2,220
MAXIMUM,,30,100,170,120,54,160,110,140,150,130,30,,,,95.3,220
AVERAGE,,21,63,170,120,54,60,21,41,468,62,30,156,,,93.8,220
MINEMUM,,,28,170,120,54,,,,2,6,30,20,,,89.4,220
BALTIMORE,57,,,,,,,,,,,,,,,94.0,220
NUMBER OF SAMPLES,,1,2,2,3,1,3,2,3,,,,,,,95.3,220
MAXIMUM,,86,50,96,170,,55,53,64,55,,,,,,86.0,220
AVERAGE,,86,25,90,125,,48,48,38,55,,,,,,94.6,220
MINIMUM,,86,,85,65,,43,43,,55,,,,,,90.4,220
CHARLESTON SAMPLES,55,,,,,,,,,,3,2,,,,94.4,220
NUMBER OF,,,1,1,,2,2,2,1,,,,,,,95.2,220
