Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
NEW YORK WN,2,,,,135,6,,,,,1,1,1,1,,,,93.1,155
,3,54,6,,80,44,1,1,30,30,38,54,54,78,78,,,93.9,155
,,54 55,34,,135,13,,,,1,1,1,1,30,54,,,94.8,155
PHILADELPHIA PA,,54,10,,102,32,1,1,2,,38,41,43,46,48,,,91.4,155
WASHINGTON oc,,54,27,,61,5,,,,,1,1,1,,,,,84.1,155
LOUISVILLE KY,,54,7,9,120,67,9,9,34,58,61,61,88,118,118,,,92.7,155
,,54,7,9,120,67,9,9,34,58,61,61,88,118,118,,,93.8,155
CHARLESTON W VA,1,54,4,2,46,25,,2,2,,15,15,38,38,48,,,93.2,155
TAMPA FLA,1,54,9,,56,11,,1,1,7,8,8,8,9,17,,,95.2,155
ATLANTA GA,1,54,6,1,57,18,,,1,1,1,17,17,38,38,,,95.4,155
CHICAGO PLL,,54,35,,65,5,,,,,1,1,1,1,30,,,91.5,155
,,55,6,,25,4,,,,,1,1,1,1,,,,95.1,155
,,54 55,41,,65,5,,,,,1,1,1,1,27,,,94.2,155
DETROIT MICH,1,53 54,23,7,137,59,21,26,30,38,54,61,74,88,Lil,,,91.4,155
CINCINNATI,1,54 55,68,,102,10,,,,1,1,1,1,15,38,,,93.5,155
,2,54,16,,83,26,,1,1,2,18,24,27,61,69,,,95.2,155
,4,54,13,,112,43,,1,12,12,43,61,65,69,88,,,95.3,155
,5,54,18,,118,47,1,11,12,36,43,48,69,83,99,,,93.9,155
,,54 55,115,,118,22,,,,1,1,12,30,46,80,,,95.3,155
MINNEAPOLIS MINN,,54,12,,100,48,1,1,34,38,54,58,61,78,99,,,87.5,155
KANSAS CITY MO,,54,11,,32,16,,1,1,8,22,23,,24,30,,,94.4,155
NEW ORLEANS LA,,54,4,,,,,,,1,1,1,1,1,,,,95.6,155
FT WORTH TEXAS,1,54,4,,420,119,,1,1,1,1,1,61,61,458,,,94.6,155
HOUSTON TEXAS,1,54,18,,85,19,,,,1,1,1,27,48,58,,,94.0,155
BELLAIRE TEXAS,1,54,4,,49,22,,1,1,1,1,1,43,43,54,,,95.7,155
SALT LAKE CITY UTAH,2,54,4,,52,16,,1,1,1,1,1,,11,54,,,95.2,155
ANCHORAGE ALASKA,1,54 55,21,,448,25,,,,,1,1,1,1,24,,,92.7,155
Los ANGELES CALIF,,54,18,,100,29,,1,1,1,17,41,46,48,69,,,94.3,155
PASADENA CALIF,1,54 55,28,,63,7,,,,1,1,1,1,1,21,,,94.8,155
BERKELEY CALIF,1,,34,,60,4,,,,,1,1,1,1,17,,,95.5,155
SAN JOSE CALIF,1,54 55,34,,100,7,,,,1,1,1,1,1,21,,,92.0,155
PORTLAND OREGON,1,54,18,,114,19,,,,1,1,1,8,34,69,,,94.5,155
,2,54,15,,71,8,,,,1,1,1,1,1,48,,,93.8,155
,4,54,10,,,,,,,,1,1,1,,,,,92.3,155
,5,54,10,,,,,,,,1,1,1,1,,,,95.0,155
,,54,53,,114,8,,,,,1,1,1,1,46,,,91.1,155
