Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,95.2,112
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,,1,4,3,2,,,94.6,112
MAXIMUM,,2,2,2,3,3,3,2,2,,3,2,3,,,94.8,112
AVERAGE,,1,2,1,2,1,2,2,,,2,2,3,,,94.7,112
MIN I MUM,,,2,,2,,1,2,,,,2,3,,,85.2,112
Et N J,55 56,,,,,,,,,,,,,,,89.6,112
NUMBER OF SAMPLES,,3,2,2,5,1,,1,2,,,1,2,,,95.3,112
MAX I MUM,,2,2,16,2,2,,,2,1,,2,3,,,88.9,112
AVERAGE,,1,2,9,1,2,,,1,1,,2,1,,,92.8,112
MIN MUM,,,2,3,,2,,,1,1,,2,,,,94.0,112
PA ULSBORO N,55 56,,,,,,,,,,,,,,,92.6,112
NUMBER OF SAMPLES,,2,4,2,4,2,1,4,1,,2,,1,,,95.5,112
MAX I MUM,,6,3,,4,2,2,3,,,2,,3,,,93.4,112
AVERAGE,,4,1,,3,1,2,1,,,1,,3,,,95.3,112
MIN MUN,,3,,,3,,2,,,,,,3,,,91.0,112
CA MDEN N J,55 56,,,,,,,,,,,,,,,90.0,112
NUMBER OF SAMPLES,,2,3,2,1,,1,1,2,3,2,,2,,,95.1,112
MAX I MUM,,2,4,4,2,,2,2,3,3,3,,2,,,90.8,112
AVERAGE,,2,3,4,2,,2,2,2,3,,,2,,,95.8,112
MIN MUM,,2,2,4,2,,2,2,2,3,,,2,,,91.0,112
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,94.0,112
NUMBER OF SAMPLES,,3,1,3,4,,,1,2,,,3,2,,,94.5,112
MAX MUM,,4,2,5,9,,,,,,3,3,5,,,94.4,112
AVERAGE,,3,2,4,3,,,,1,,2,3,2,,,94.9,112
MIN J MUM,,2,2,3,,,,,,,2,3,,,,87.0,112
TRENTON N J,55 56,,,,,,,,,,,,,,,86.2,112
NUMBER OF SAMPLES,,3,2,1,,1,1,2,1,,1,1,3,,,94.6,112
MAX I MUM,,2,5,2,,2,2,2,2,,3,2,7,,,89.9,112
AVERAGE,,,3,2,,2,2,2,2,,3,2,3,,,94.5,112
MIN MUM,,,2,2,,2,2,2,2,,3,2,,,,93.2,112
JERSEY CcIiITy N J,55 56,,,,,,,,,,,,,,,75.8,112
NUMBER OF SAMPLES,,2,3,3,3,,2,2,2,1,,1,2,,,93.5,112
MAX 1 MUM,,19,4,3,3,,2,2,3,2,,2,3,,,90.9,112
AVERAGE,,10,3,3,2,,2,1,1,2,,2,3,,,95.8,112
MIN I MUM,,2,2,3,2,,2,,,2,,2,3,,,91.1,112
NEW YORK N SAMPLES,54 56,,,,,,,,,,,,,,,81.2,112
NUMBER OF,,1,3,1,4,1,7,4,4,2,3,4,5,,,95.7,112
MAX t MUM,,6,3,3,7,3,5,,4,4,6,6,25,,,90.6,112
AVERAGE,,6,2,3,4,3,3,3,2,3,4,5,6,,,95.8,112
MIN MUM,,6,1,3,2,3,2,3,1,2,4,3,,,,95.6,112
PHILADELPHI A PA,56,,,,,,,,,,,,,,,92.8,112
NUMBER OF SAMPLES,,i7,13,13,13,18,12,13,13,10,8,8,9,,,93.3,112
MAX MUM,,6,3,2,3,6,3,4,4,3,3,3,4,,,95.9,112
AVERAGE,,2,1,1,1,2,2,1,2,1,2,2,2,,,93.2,112
MIN t MUM,,,,,,,2,,,,,,2,,,83.2,112
ALTOONA PA,56,,,,,,,,,,,,,,,94.3,112
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,94.7,112
MAX MUM,,,2,2,2,2,,,2,2,2,2,,,,95.7,112
AVERAGE,,,2,2,2,2,,,2,1,2,2,,,,91.2,112
MIN I MUM,,,2,2,2,2,,,2,,2,2,,,,87.4,112
BRISTOL PA,55 56,,,,,,,,,,,,,,,91.5,112
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,2,,,95.4,112
MAX I MUM,,,2,2,,2,,2,1,2,2,2,2,,,89.1,112
AVERAGE,,,2,2,,,,2,1,1,1,2,2,,,93.6,112
MIN I MUM,,,2,2,,,,2,1,,1,2,2,,,89.2,112
CHESTER PA,55 56,,,,,,,,,,,,,,,93.8,112
NUMBER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,1,,,95.7,112
MAX I MUM,,,2,,2,2,2,2,3,4,2,,2,,,92.7,112
AVERAGE,,,2,,2,1,2,2,2,3,2,,2,,,94.8,112
MIN MUM,,,2,,2,,2,2,2,2,2,,2,,,93.8,112
ER IE p ER,56,,,,,,,,,,,,,,,75.6,112
NUMB OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,3,,,93.6,112
MAX I MUM,,2,2,2,3,2,2,1,,2,1,2,1,,,90.3,112
AVERAGE,,2,2,2,2,1,2,1,,1,,1,,,,92.2,112
I MUM,,2,2,2,1,,2,1,,1,,1,,,,87.6,112
Pil TTSBURGH PA,56,,,,,,,,,,,,,,,84.8,112
NUMBER OF SAMPLES,,3,3,3,,,3,2,,2,2,2,1,,,95.5,112
MAX MUM,,2,2,4,,,3,2,,3,3,10,2,,,95.7,112
AVERAGE,,2,1,3,,,2,2,,3,2,6,2,,,95.8,112
MIN MUM,,2,,2,,,2,2,,3,2,2,2,,,93.3,112
wil LLIAMSPORT PA,55 56,,,,,,,,,,,,,,,75.2,112
NUMBER OF SAMPLES,,,3,1,2,3,2,1,1,3,2,3,2,,,95.7,112
MAX I MUM,,,3,3,4,3,3,,2,3,4,3,2,,,93.2,112
AVERAGE,,,2,3,3,2,2,,2,3,2,2,1,,,95.2,112
MIN MUM,,,2,3,2,2,2,,2,3,,2,,,,91.5,112
WA SHINGTON OC,55 56,,,,,,,,,,,,,,,93.2,112
NUMBER OF SAMPLES,,1,2,,1,3,2,1,3,2,1,1,,,,95.2,112
MAX MUM,,2,2,,,2,2,2,2,2,2,2,,,,95.4,112
AVERAGE,,2,1,,,,2,2,,1,2,2,,,,94.0,112
MIN I MUM,,2,,,,,2,2,,,2,2,,,,89.6,112
TAMPA FLA,55,,,,,,,,,,,,,,,94.7,113
NUMBER OF SAMPLES,,2,,1,3,2,1,2,,,,2,1,,,94.6,113
,,2,,2,3,2,,3,,2,,2,,,,92.7,113
AVERAGE,,1,,2,1,2,,2,,,,2,,,,95.1,113
MIN MUN,,,,2,,2,,2,,,,2,,,,90.0,113
CHATTANOOGA TENN,55 56,,,,,,,,,,,,,,,94.8,113
NUMBER OF SAWPLES,,1,,3,,2,,1,4,4,5,3,2,,,94.4,113
MAX t MUM,,2,2,3,2,3,,2,2,3,3,3,3,,,90.8,113
AVERAGE,,2,1,1,2,2,,2,1,2,2,2,2,,,92.2,113
MIN MUM,,2,1,1,2,2,,2,,2,2,,2,,,94.1,113
CHICAGO PEL,55,,,,,,,,,,,,,,,88.0,113
NUMBER OF SAMPLES,,2,3,6,3,,11,9,6,,10,10,5,,,94.4,113
MAX I MUM,,2,5,5,4,,7,3,5,,17,5,6,,,87.3,113
AVERAGE,,1,4,2,2,2,2,1,1,5,4,1,2,,,91.4,113
MIN MUM,,,4,,,,,,,2,,,,,,94.0,113
EAST ST LOUIS ELL,55 56,,,,,,,,,,,,,,,74.3,113
NUMBER OF SAMPLES,,4,2,2,2,2,3,1,4,3,1,,3,,,95.6,113
MAX J MUM,,2,,4,2,,2,2,2,2,,,,,,92.0,113
AVERAGE,,1,,,1,,,2,,,,,,,,93.8,113
MIN MUM,,,,,,,,2,,,,,,,,95.0,113
EAST CHICAGO,55 56,,,,,,,,,,,,,,,91.2,113
NUMBER OF SAMPLES,,6,5,14,7,4,6,10,5,7,6,8,8,,,93.3,113
MAX I MUM,,6,5,5,4,,6,20,5,5,8,6,7,,,92.4,113
AVERAGE,,2,3,,1,,4,4,2,1,4,2,2,,,92.7,113
MIN 1 MUM,,,,,,,,,,,1,,,,,83.2,113
OHIO,55,,,,,,,,,,,,,,,93.0,113
