Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,56,,,,,,,,,,,,,,,94.7,41
NUMBER OF SAMPLES,,174,206,,14s,144,130,,,112,ass,,262,,,85.1,41
MAXIMUM,,,,,,,,,,,,178,,,,90.0,41
AVERAGE,,174,132,144,124,73,97,61,62,80,140,,165,,,94.2,41
MINIMUM,,174,58,83,94,40,48,12,38,49,49,50,,,,92.2,41
HARTFORO CON,57,,,,,,,,,,,,,,,93.3,41
NUMBER OF SAMPLES,,2,2,3,2,2,1,3,2,2,2,3,2,,,94.7,41
MAXIMUM,,118,245,440,73,100,54,59,53,130,89,181,232,,,90.9,41
AVERAGE,,115,,205,67,80,,50,,105,67,108,173,,,95.3,41
MINT MUM,,112,118,60,62,61,54,34,50,81,45,26,115,,,84.6,41
NEW HAVEN CO,57,,,,,,,,,,,,,,,93.5,41
UMBER OF SAMPLES,,2,2,2,2,2,1,3,2,1,3,1,2,,,95.1,41
MAXIMUM,,106,148,107,60,54,61,75,99,148,160,,199,,,94.1,41
AVERAGE,,74,1021,80,49,40,61,58,92,148,95,172,165,,,90.8,41
MUM,,43,54,53,38,27,61,43,85,148,48,172,131,,,95.2,41
STAMFORD CONN,57,,,,,,,,,,,,,,,94.7,41
NUMBER OF SAMPLES,,2,2,2,2,3,2,3,1,3,1,2,3,,,95.9,41
MAXIMUM,,64,167,97,68,83,96,97,64,119,127,50,217,,,90.2,41
AVERAGE,,54,146,57,37,57,76,77,64,78,127,48,122,,,92.2,41
MINIMUM,,44,125,17,46,35,56,59,64,57,127,47,72,,,90.8,41
PORTLAND MAINE,57,,,,,,,2,,,,,,,,94.5,41
NUMBER OF SAMPLES,,,1,2,2,2,2,,,1,1,2,3,,,95.2,41
MAXIMUM,,,126,162,151,52,54,49,,79,290,146,171,,,91.0,41
AVERAGE,,,,120,112,33,40,44,,79,290,130,104,,,94.6,41
MIN MUM,,,126,79,74,15,26,39,,79,290,114,64,,,93.6,41
BOSTON MASS,55 57,,,,,,,,,,,10,,,,91.2,41
NUMBER OF SAMPLES,,6,6,6,6,6,7,12,11,10,1i,,7,,,90.0,41
MAXIMUM,,615,173,225,310,228,110,112,162,124,231,,202,,,88.4,41
AVERAGE,,222,128,155,139,126,78,72,94,91,161,127,146,,,95.2,41
,,86,86,70,54,71,48,35,62,53,119,81,94,,,93.4,41
Pl TTSFIELD MASS,55 56,,,,,,,,,,,,,,,77.8,41
NUMBER OF SAMPLES,,1,2,2,2,2,2,2,2,3,3,2,2,,,95.7,41
MAXIMUM,,40,50,47,33,39,31,40,27,117,61,26,,,,93.8,41
AVERAGE,,40,40,44,27,35,26,40,18,85,30,21,51,,,93.5,41
MINIMUM,,40,31,41,21,32,22,40,10,70,11,16,35,,,93.0,41
EVERETT MASS,56,,,,,,,,,,,,,,,95.3,41
NUMBER OF SAMPLES,,4,5,4,4,5,4,9,9,8,8,5,4,,,94.8,41
MAXUMUM,,265,95,291,83,153,111,146,318,190,283,236,103,,,87.8,41
AVERAGE,,167,74,162,72,71,82,68,114,111,129,107,75,,,91.1,41
MINE MUM,,68,45,94,61,36,53,38,46,,48,62,24,,,87.5,41
LAWRENCE MASS,57,,,,,,,,,,,,,,,95.3,41
NUMBER OF SAMPLES,,2,2,3,1,3,2,2,2,3,2,,2,,,95.5,41
,,17,70,61,19,41,39,60,89,117,29,123,70,,,93.5,41
AVERAGE,,i7,48,39,19,35,35,39,64,75S,25,94,51,,,88.5,41
MINIMUM,,17,27,20,19,29,32,,39,29,22,66,33,,,92.9,41
LYNN MASS,57,,,,,,,,,,,,,,,94.7,41
NUMBER OF SAMPLES,,,1,1,2,3,2,2,1,2,3,2,2,,,95.8,41
MAXIMUM,,,68,74,240,71,187,126,134,68,333,53,80,,,88.8,41
AVERAGE,,,68,74,147,45,133,,134,54,187,43,75,,,94.8,41
MINIMUM,,,68,74,54,21,80,119,134,41,76,33,70,,,93.3,41
SOMERVILLE MASS,57,,,,,,,,,,,,,,,87.0,41
NUMBER OF SAMPLES,,2,2,3,2,1,2,3,2,3,2,2,2,,,95.7,41
MAXIMUM,,73,65,94,120,59,75,47,91,76,48,65,77,,,94.4,41
AVERAGE,,45,58,59,93,59,58,37,75,57,41,62,54,,,92.0,41
MINIMUM,,17,52,33,66,59,41,24,60,48,34,59,32,,,90.8,41
WORCESTER MASS,57,,,,,,,,,,,,,,,92.0,41
NUMBER OF SAMPLES,,3,2,3,1,2,3,3,2,3,2,1,3,,,93.4,41
MUM,,,110,,92,82,79,67,59,78,62,137,87,,,94.2,41
AVERAGE,,106,B89,76,92,51,71,50,41,60,54,137,49,,,91.4,41
MIN MUM,,91,69,66,92,20,57,33,24,34,46,137,24,,,92.5,41
MANCHESTER NH,57,,,,,,,,,,,,,,,75.0,41
NUMBER OF SAMPLES,,,1,2,2,2,1,1,2,1,2,1,2,,,94.7,41
MAXUMUM,,,73,,99,49,33,33,56,68,107,24,101,,,86.3,41
AVERAGE,,,73,47,57,45,33,33,43,68,72,24,69,,,94.3,41
MINEMUM,,,73,39,16,42,33,33,31,68,37,a4,37,,,88.2,41
PROVIOENCE R I,57,,,,,,,,,,,,,,,76.0,41
NUMBER OF SAMPLES,,2,2,2,1,1,3,2,3,1,6,1,3,,,93.3,41
MAXIMUM,,101,700,L2i,62,70,52,85,78,47,172,146,167,,,85.6,41
AVERAGE,,92,400,118,62,70,44,79,70,47,113,146,91,,,93.8,41
MINIMUM,,a3,101,115,62,70,33,73,65,47,83,146,52,,,88.3,41
BURLINGTORN,57,,,,,,,,,,,,,,,49.5,41
UM R OF SAMPLES,,2,3,1,2,2,3,2,2,2,2,3,2,,,93.5,41
MAXIMUM,,34,45,31,32,24,25,34,33,32,34,24,33,,,94.2,41
AVERAGE,,24,30,31,28,24,19,21,24,24,28,18,29,,,95.2,41
MINIMUM,,14,22,31,24,24,15,8,15,16,,8,26,,,87.2,41
wi LMINGTON,57,,,,,,,,,,,,,,,75.3,41
NUMBER OF SAMPLES,,2,2,2,2,3,3,2,3,1,2,5,1,,,95.5,41
MAXIMUM,,215,136,235,107,118,145,87,1 086,67,96,332,410,,,89.5,41
AVERAGE,,141,88,gol,98,96,91,72,82,67,81,170,410,,,91.6,41
MINIMUM,,68,41,167,90,79,38,,52,67,67,79,410,,,93.4,41
ELIZABETH N SAMPLES,56,,,,,,,,,,,,,,,92.0,42
NUMBER OF,,98,109,126,68,,,122,132,275,63,,249,,,91.1,42
MAXIMUM,,,,,,,,,,,,,,,,59.0,42
AVERAGE,,61,77,85,54,,,86,108,150,63,222,104,,,92.3,42
MINIMUM,,35,46,45,42,,,65,62,86,63,161,27,,,87.5,42
PA ULSBORO WN J,55 56,,,,,,,,,,,,,,,88.0,42
NUMBER OF SAMPLES,,4,4,3,4,4,,4,3,4,4,,4,,,95.8,42
MAXIMUM,,134,183,82,57,61,,117,107,160,105,142,75,,,94.0,42
AVERAGE,,103,129,73,48,47,,92,69,52 93,64,107,59,,,92.5,42
MINIMUM,,70,98,62,41,39,,73,23,,39,85,50,,,91.3,42
CA MODEN N J,55 57,,,,,,,,,,,,,,,82.3,42
NUMBER OF SAMPLES,,6,6,5,6,6,2,5,6,6,4,7,6,,,94.3,42
MAXIMUM,,155,213,245,189,161,105,138,113,163,100,,2i4,,,91.2,42
AVERAGE,,112,114,153,112,121,92,91,93,79,78,160,134,,,92.5,42
MINIMUM,,,44,8 4,55,77,80,66,59,30,57,91,54,,,85.2,42
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,93.0,42
NUMBER OF SAMPLES,,5,3,3,3,3,,4,3,3,,3,4,,,94.8,42
MAXIMUM,,194,115,95,80,150,,106,119,54,105,161,184,,,91.8,42
AVERAGE,,88,84,77,56,102,,B81,77,48,76,104,130,,,91.0,42
MINIMUM,,29,59,56,43,77,,61,46,45,47,47,67,,,94.5,42
TRENTON N J,55 56,,,,,,,,,,,,,,,88.4,42
NUMBER OF SAMPLES,,4,4,3,3,4,,2,2,,3,3,,,,90.3,42
MAXIMUM,,68,302,67,133,53,,B1,56,,80,191,318,,,92.3,42
AVERAGE,,50,150,64,77,47,,58,46,,46,123,133,,,95.4,42
MINIMUM,,41,,60,29,43,,36,36,,18,53,51,,,92.1,42
JERSEY CITY J,55 57,,,,,,,,,,,,,,,90.2,42
NUMBER OF SAMPLES,,5,6,5,6,6,2,7,6,5,7,5,5,,,90.9,42
MAXIMUM,,467,199,197,130,103,125,176,238,160,140,225,220,,,93.8,42
AVERAGE,,190,125,119,B85,80,101,110,118,102,92,146,168,,,90.8,42
MINIMUM,,63,86,49,48,59,79,67,74,67,63,109,104,,,93.6,42
EAST ORANGE,57,,,,,,,,,,,,,,,72.3,42
NUMBER OF SAMPLES,,3,2,3,1,2,1,2,2,2,,,2,,,95.3,42
,,31,201,26,151,86,145,75,92,173,,24,354,,,90.9,42
AVERAGE,,22,121,20,151,,145,53,B80,130,,24,253,,,91.5,42
MINIMUM,,18,41,16,151,25,145,31,69,88,,24,148,,,90.7,42
NEWARK N J,57,,,,,,,,,,,,,,,93.0,42
NUMBER OF SAMPLES,,2,2,2,3,1,2,1,1,2,2,,,,,95.2,42
MAXIMUM,,105,102,300,378,,83,47,63,S1,74,,,,,91.5,42
AVERAGE,,89,85,185,192,52,77,47,63,50,67,,,,,86.9,42
MINIMUM,,74,68,70,74,52,71,47,63,49,61,,,,,90.0,42
NEW YORK WN Y,55 57,,,,,,,,,,,,,,,85.5,42
NUMBER OF SAMPLES,,6,9,9,7,9,7,15,15,16,14,7,,,,94.0,42
MAXIMUM,,239,344,186,159,165,127,104,is9,130,402,272,1748,,,88.2,42
AVERAGE,,124,151,122,118,91,82,55,79,83,142,125,90,,,91.8,42
MINIMUM,,33,54,71,62,36,17,18,23,44,58,59,24,,,92.6,42
BINGHAMTON N Y,57,,,,,,,,,,,,,,,64.0,42
NUMBER OF SAMPLES,,2,2,3,1,3,2,2,2,2,3,2,2,,,94.8,42
MAXIMUM,,160,82,173,108,96,49,34,68,50,75,81,71,,,93.2,42
AVERAGE,,100,74,97,108,69,40,33,65,47,60,74,66,,,94.5,42
MINIMUM,,41,66,48,108,41,32,33,63,44,44,67,62,,,94.8,42
BUFF ALA N Y,57,,,,,,,,,,,,,,,65.2,42
NUMBER OF SAMPLES,,2,2,2,2,2,3,2,1,2,1,1,1,,,95.1,42
MAXIMUM,,35,46,123,3453,i2e2,181,88,70,106,79,114,50,,,89.4,42
AVERAGE,,28,36,96,196,78,144,83,70,105,79,114,50,,,91.6,42
MINEMUM,,22,26,70,50,34,114,79,70,105,79,114,50,,,93.5,42
SCHENECTADY NY,57,,,,,,,,,,,,,,,76.3,42
NUMBER OF SAMPLES,,1,2,3,2,2,1,2,2,2,2,2,1,,,93.3,42
MAXIMUM,,48,82,51,26,53,42,36,35,54,236,57,37,,,93.8,42
AVERAGE,,48,57,36,25,50,42,32,27,44,132,52,37,,,93.7,42
MINIMUM,,48,33,25,25,47,42,28,19,35,29,47,37,,,93.4,42
SYRACUSE NY,57,,,,,,,,,,,,,,,75.0,42
NUMBER OF SAMPLES,,2,3,2,,3,1,3,2,2,2,3,2,,,94.8,42
MAXIMUM,,38,i18,137,47,93,109,96,86,71,112,283,137,,,89.9,42
AVERAGE,,34,67,101,47,72,109,62,74,69,90,130,92,,,93.2,42
MINIMUM,,30,38,65,47,47,109,46,63,68,68,44,48,,,94.5,42
UTICA N,57,,,,,,,,,,,,,,,91.7,42
NUMBER OF SAMPLES,,2,2,2,2,2,1,3,1,3,2,2,,,,94.3,42
MAXIMUM,,102,139,84,91,36,44,50,83,120,112,125,69,,,93.7,42
AVERAGE,,80,95,70,71,31,44,40,83,72,69,80,55,,,93.2,42
MINIMUM,,58,51,56,52,26,44,34,83,48,,35,42,,,88.6,42
PHILADELPHIA,57,,,,,,,,,,,,,,,88.0,42
NUMBER OF SAMPLES,,,61,66,61,78,66,99,79,89,77,93,76,,,91.9,42
MAXIMUM,,730,T2i,400,829,522,281,383,303,343,340,616,738,,,85.4,42
AVERAGE,,174,185,161,177,145,1353,106,111,125,137,180,220,,,89.1,42
Mini MUM,,43,32,,34,48,53,23,34,24,16,42,44,,,80.7,42
ALTOONA PA,55 56,,,,,,,,,,,,,,,95.5,42
