Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Avg_Confidence,Page_Num
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,,103,129,73,48,47,,92,69,52 93,64,107,59,,,,,,,,92.5,42
MINIMUM,,70,98,62,41,39,,73,23,,39,85,50,,,,,,,,91.3,42
CA MODEN N J,55 57,,,,,,,,,,,,,,,,,,,,82.3,42
NUMBER OF SAMPLES,,6,6,5,6,6,2,5,6,6,4,7,6,,,,,,,,94.3,42
MAXIMUM,,155,213,245,189,161,105,138,113,163,100,,2i4,,,,,,,,91.2,42
AVERAGE,,112,114,153,112,121,92,91,93,79,78,160,134,,,,,,,,92.5,42
MINIMUM,,,44,8 4,55,77,80,66,59,30,57,91,54,,,,,,,,85.2,42
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,,,,,,93.0,42
NUMBER OF SAMPLES,,5,3,3,3,3,,4,3,3,,3,4,,,,,,,,94.8,42
MAXIMUM,,194,115,95,80,150,,106,119,54,105,161,184,,,,,,,,91.8,42
AVERAGE,,88,84,77,56,102,,B81,77,48,76,104,130,,,,,,,,91.0,42
MINIMUM,,29,59,56,43,77,,61,46,45,47,47,67,,,,,,,,94.5,42
TRENTON N J,55 56,,,,,,,,,,,,,,,,,,,,88.4,42
NUMBER OF SAMPLES,,4,4,3,3,4,,2,2,,3,3,,,,,,,,,90.3,42
MAXIMUM,,68,302,67,133,53,,B1,56,,80,191,318,,,,,,,,92.3,42
AVERAGE,,50,150,64,77,47,,58,46,,46,123,133,,,,,,,,95.4,42
MINIMUM,,41,,60,29,43,,36,36,,18,53,51,,,,,,,,92.1,42
JERSEY CITY J,55 57,,,,,,,,,,,,,,,,,,,,90.2,42
NUMBER OF SAMPLES,,5,6,5,6,6,2,7,6,5,7,5,5,,,,,,,,90.9,42
MAXIMUM,,467,199,197,130,103,125,176,238,160,140,225,220,,,,,,,,93.8,42
AVERAGE,,190,125,119,B85,80,101,110,118,102,92,146,168,,,,,,,,90.8,42
MINIMUM,,63,86,49,48,59,79,67,74,67,63,109,104,,,,,,,,93.6,42
EAST ORANGE,57,,,,,,,,,,,,,,,,,,,,72.3,42
NUMBER OF SAMPLES,,3,2,3,1,2,1,2,2,2,,,2,,,,,,,,95.3,42
,,31,201,26,151,86,145,75,92,173,,24,354,,,,,,,,90.9,42
AVERAGE,,22,121,20,151,,145,53,B80,130,,24,253,,,,,,,,91.5,42
MINIMUM,,18,41,16,151,25,145,31,69,88,,24,148,,,,,,,,90.7,42
NEWARK N J,57,,,,,,,,,,,,,,,,,,,,93.0,42
NUMBER OF SAMPLES,,2,2,2,3,1,2,1,1,2,2,,,,,,,,,,95.2,42
MAXIMUM,,105,102,300,378,,83,47,63,S1,74,,,,,,,,,,91.5,42
AVERAGE,,89,85,185,192,52,77,47,63,50,67,,,,,,,,,,86.9,42
MINIMUM,,74,68,70,74,52,71,47,63,49,61,,,,,,,,,,90.0,42
NEW YORK WN Y,55 57,,,,,,,,,,,,,,,,,,,,85.5,42
NUMBER OF SAMPLES,,6,9,9,7,9,7,15,15,16,14,7,,,,,,,,,94.0,42
MAXIMUM,,239,344,186,159,165,127,104,is9,130,402,272,1748,,,,,,,,88.2,42
AVERAGE,,124,151,122,118,91,82,55,79,83,142,125,90,,,,,,,,91.8,42
MINIMUM,,33,54,71,62,36,17,18,23,44,58,59,24,,,,,,,,92.6,42
BINGHAMTON N Y,57,,,,,,,,,,,,,,,,,,,,64.0,42
NUMBER OF SAMPLES,,2,2,3,1,3,2,2,2,2,3,2,2,,,,,,,,94.8,42
MAXIMUM,,160,82,173,108,96,49,34,68,50,75,81,71,,,,,,,,93.2,42
AVERAGE,,100,74,97,108,69,40,33,65,47,60,74,66,,,,,,,,94.5,42
MINIMUM,,41,66,48,108,41,32,33,63,44,44,67,62,,,,,,,,94.8,42
BUFF ALA N Y,57,,,,,,,,,,,,,,,,,,,,65.2,42
NUMBER OF SAMPLES,,2,2,2,2,2,3,2,1,2,1,1,1,,,,,,,,95.1,42
MAXIMUM,,35,46,123,3453,i2e2,181,88,70,106,79,114,50,,,,,,,,89.4,42
AVERAGE,,28,36,96,196,78,144,83,70,105,79,114,50,,,,,,,,91.6,42
MINEMUM,,22,26,70,50,34,114,79,70,105,79,114,50,,,,,,,,93.5,42
SCHENECTADY NY,57,,,,,,,,,,,,,,,,,,,,76.3,42
NUMBER OF SAMPLES,,1,2,3,2,2,1,2,2,2,2,2,1,,,,,,,,93.3,42
MAXIMUM,,48,82,51,26,53,42,36,35,54,236,57,37,,,,,,,,93.8,42
AVERAGE,,48,57,36,25,50,42,32,27,44,132,52,37,,,,,,,,93.7,42
MINIMUM,,48,33,25,25,47,42,28,19,35,29,47,37,,,,,,,,93.4,42
SYRACUSE NY,57,,,,,,,,,,,,,,,,,,,,75.0,42
NUMBER OF SAMPLES,,2,3,2,,3,1,3,2,2,2,3,2,,,,,,,,94.8,42
MAXIMUM,,38,i18,137,47,93,109,96,86,71,112,283,137,,,,,,,,89.9,42
AVERAGE,,34,67,101,47,72,109,62,74,69,90,130,92,,,,,,,,93.2,42
MINIMUM,,30,38,65,47,47,109,46,63,68,68,44,48,,,,,,,,94.5,42
UTICA N,57,,,,,,,,,,,,,,,,,,,,91.7,42
NUMBER OF SAMPLES,,2,2,2,2,2,1,3,1,3,2,2,,,,,,,,,94.3,42
MAXIMUM,,102,139,84,91,36,44,50,83,120,112,125,69,,,,,,,,93.7,42
AVERAGE,,80,95,70,71,31,44,40,83,72,69,80,55,,,,,,,,93.2,42
MINIMUM,,58,51,56,52,26,44,34,83,48,,35,42,,,,,,,,88.6,42
PHILADELPHIA,57,,,,,,,,,,,,,,,,,,,,88.0,42
NUMBER OF SAMPLES,,,61,66,61,78,66,99,79,89,77,93,76,,,,,,,,91.9,42
MAXIMUM,,730,T2i,400,829,522,281,383,303,343,340,616,738,,,,,,,,85.4,42
AVERAGE,,174,185,161,177,145,1353,106,111,125,137,180,220,,,,,,,,89.1,42
Mini MUM,,43,32,,34,48,53,23,34,24,16,42,44,,,,,,,,80.7,42
ALTOONA PA,55 56,,,,,,,,,,,,,,,,,,,,95.5,42
NUMBER OF SAMPLES,,,1,1,2,3,3,,3,3,5,3,3,,,,,,,,95.6,42
MAXIMUM,,,173,230,74,188,,,110,89,490,200,179,,,,,,,,94.4,42
AVERAGE,,,173,230,63,139,40,,63,74,171,142,,,,,,,,,91.0,42
MINIMUM,,,173,230,,98,35,,40,63,50,83,,,,,,,,,93.0,42
BRISTOL PA,53 56,,,,,,,,,,,,,,,,,,,,92.5,43
NUMBER OF SAMPLES,,,3,3,3,3,,4,3,4,,3,4,,,,,,,,95.9,43
MAXt MUM,,,71,224,55,790,,109,90,101,,126,156,,,,,,,,86.3,43
AVERAGE,,,59,106,37,,,65,56,76,38,92,89,,,,,,,,92.6,43
,,,53,35,18,36,,40,25,52,,49,16,,,,,,,,89.6,43
CHESTEK PA,56,,,,,,,,,,,,,,,,,,,,92.7,43
NUMBER OF SAMPLES,,,4,1,4,4,,4,4,4,5,2,4,,,,,,,,93.1,43
MAX MUM,,,209,73,92,100,,130,94,110,120,350,183,,,,,,,,88.2,43
AVERAGE,,,124,73,,68,,79,68,71,60,278,93,,,,,,,,91.3,43
MINIMUM,,,60,73,24,23,,51,43,34,40,207,53,,,,,,,,84.0,43
ERtE PA,55 56,,,,,,,,,,,,,,,,,,,,93.2,43
NUMBER OF SAMPLES,,4,5,3,4,4,4,4,4,4,5,3,5,,,,,,,,94.5,43
MAXIMUM,,86,106,84,85,54,73,43,48,62,66,49,90,,,,,,,,88.0,43
AVERAGE,,69,63,74,,47,48,35,30,39,33,37,39,,,,,,,,95.6,43
MINEMUM,,60,33,64,41,41,24,31,24,15,,20,20,,,,,,,,89.4,43
Pl TTSBURGH PA,55 57,,,,,,,,,,,,,,,,,,,,87.4,43
NUMBER OF SAMPLES,,4,147,5,309,6,7,19,16,6,,6,,,,,,,,,95.3,43
MAX IMUM,,100,,200,,224,239,98,223,230,361,322,,,,,,,,,88.3,43
AVERAGE,,75,121,136,147,146,140,61,124,113,134,128,,,,,,,,,94.9,43
MINIMUM,,44,63,T2,47,94,2i,10,69,41,32,26,,,,,,,,,91.2,43
wi LLIAMSPORT PA,55 56,,,,,,,,,,,,,,,,,,,,89.4,43
NUMBER OF SAMPLES,,,3,4,3,4,4,4,5,4,5,7,3,,,,,,,,93.8,43
MAXIMUM,,,240,1453,209,197,190,1987,154,140,315,414,310,,,,,,,,90.2,43
AVERAGE,,,173,140,153,128,,,118,128,,236,215,,,,,,,,95.0,43
,,,58,133,117,87,99,44,97,114,107,74,i41,,,,,,,,92.4,43
ALLENTOWN PA,57,,,,,,,,,,,,,,,,,,,,95.3,43
NUMBER OF SAMPLES,,,,,1,2,2,2,3,,3,1,3,,,,,,,,95.1,43
MAXIMUM,,,,72,65,68,87,65,97,42,76,42,87,,,,,,,,92.1,43
AVERAGE,,,,72,65,56,69,64,77,42,41,42,60,,,,,,,,92.1,43
MINS MUM,,,,72,65,45,Si,63,56,42,21,42,45,,,,,,,,80.4,43
JOHNSTOWN PA,57,,,,,,,,,,,,,,,,,,,,93.3,43
NUMBER OF SAMPLES,,,,,1,1,3,1,2,1,1,1,,,,,,,,,93.4,43
MAXIMUM,,,,,235,106,69,,160,147,198,73,,,,,,,,,87.1,43
AVERAGE,,,,,235,106,44,73,106,147,198,73,,,,,,,,,94.1,43
MINIMUM,,,,,235,106,18,73,53,147,198,73,,,,,,,,,91.4,43
LANCASTER PA,57,,,,,,,,,,,,,,,,,,,,95.0,43
NUMBER OF SAMPLES,,,,,1,1,2,2,2,2,1,,,,,,,,,,93.5,43
MAXIMUM,,,,,233,TT,70,62,72,43,89,,,,,,,,,,89.5,43
AVERAGE,,,,,2353,77,69,60,69,43,89,,,,,,,,,,92.4,43
MINT MUM,,,,,233,77,69,59,66,43,89,,,,,,,,,,81.0,43
SCRANTON PA,57,,,,,,,,,,,,,,,,,,,,93.0,43
NUMBER OF SAMPLES,,2,2,3,2,2,2,2,2,2,3,2,2,,,,,,,,95.2,43
MAXIMUM,,S2,295,163,45,118,125,58,114,81,301,2253,240d,,,,,,,,86.3,43
AVERAGE,,42,221,99,41,87,86,41,78,78,222,219,224,,,,,,,,94.0,43
MINT MUM,,32,147,63,37,56,49,24,43,75,78,216,200,,,,,,,,88.5,43
WASHINGTON OC,55 57,,,,,,,,,,,,,,,,,,,,93.5,43
NUMBER OF SAMPLES,,5,5,6,6,7,6,8,12,,10,8,6,,,,,,,,94.9,43
MAXIMUM,,189,365,210,550,169,229,157,140,148,365,233,193,,,,,,,,94.6,43
AVERAGE,,113,184,110,i155,70,103,88,62,,172,161,144,,,,,,,,93.2,43
,,40,87,48,31,31,9,28,19,so,35,36,47,,,,,,,,92.8,43
LOUISVILLE,55 57,,,,,,,,,,,,,,,,,,,,90.0,43
NUMBER OF SAMPLES,,6,5,4,3,3,3,8,12,14,5,7,7,,,,,,,,95.5,43
MAXIMUM,,160,198,95,132,268,100,105,276,229,529,706,175,,,,,,,,94.7,43
AVERAGE,,122,125,76,91,138,78,78,99,103,206,340,105,,,,,,,,94.5,43
MINIMUM,,90,58,67,57,48,67,55,30,29,15,170,44,,,,,,,,89.5,43
BALTIMORE MO,56,,,,,,,,,,,,,,,,,,,,93.7,43
NUMBER OF SAMPLES,,2,2,2,3,2,6,5,8,6,5,7,5,,,,,,,,93.0,43
MAXIMUM,,208,103,140,336,124,202,160,177,146,,375,952,,,,,,,,95.2,43
AVERAGE,,157,102,i113,177,74,97,116,102,119,235,217,410,,,,,,,,93.5,43
MINIMUM,,106,102,87,65,25,52,86,S51,85,86,115,104,,,,,,,,90.3,43
CHARLOTTE NC,57,,,,,,,,,,,,,,,,,,,,84.7,43
NUMBER OF SAMPLES,,2,2,2,2,2,3,2,2,2,1,2,3,,,,,,,,95.5,43
MAXIMUM,,170,158,128,121,53,42,72,49,255,170,109,531,,,,,,,,94.2,43
AVERAGE,,166,117,124,118,50,32,61,46,152,170,105,364,,,,,,,,94.2,43
MINE MUM,,163,76,120,116,47,23,51,43,49,170,1012,222,,,,,,,,82.1,43
WINSTON SALEM NC,,,,,,,,,,,,,,,,,,,,,87.7,43
NUMBER OF SAMPLES,,2,2,2,3,2,2,2,3,1,3,2,2,,,,,,,,95.5,43
MAXIMUM,,217,298,144,55,59,37,52,67,20,70,167,134,,,,,,,,91.8,43
AVERAGE,,185,173,124,52,52,37,52,48,20,590,112,127,,,,,,,,90.4,43
MINIMUM,,155,49,105,50,45,37,,22,20,12,57,116,,,,,,,,85.1,43
SAN JUAN PUERTO RICO,,,,,,,,,,,,,,,,,,,,,93.8,43
NUMBER OF SAMPLES,,3,,2,1,,2,2,2,2,3,2,1,,,,,,,,94.8,43
MAXIMUM,,62,27,6 3,52,,118,42,68,69,49,49,16,,,,,,,,91.1,43
AVERAGE,,57,27,42,52,,,29,686,86,32,41,16,,,,,,,,92.9,43
MiENTMUM,,50,27,21,52,,53,17,68,44,16,34,16,,,,,,,,89.5,43
NORFOLK VA,57,,,,,,,,,,,,,,,,,,,,91.3,43
NUMBER OF SAMPLES,,,2,3,1,2,2,3,2,2,1,3,2,,,,,,,,94.6,43
MAX IMUM,,148,145,98,84,115,38,63,84,144,90,74,163,,,,,,,,89.9,43
AVERAGE,,146,125,71,84,83,35,S2,69,106,90,63,139,,,,,,,,91.3,43
MINIMUM,,145,106,55,64,51,33,34,,68,90,57,116,,,,,,,,86.3,43
RICHMOND VA,,,,,,,,,,,,,,,,,,,,,93.0,44
NUMBER OF SAMPLES,,2,196,140,,,37,48,48,53,439,,150,,,,,,,,85.0,44
MAX MUM,,115,,,,,,,,,,,,,,,,,,,93.7,44
AVERAGE,,1053,168,130,67,45,31,41,36,53,96,,,,,,,,,,92.0,44
MINIMUM,,92,139,120,56,43,25,37,28,53,75,58,107,,,,,,,,93.9,44
CHARLESTON W VA,55,,,,,,,,,,,,,,,,,,,,91.2,44
NUMBER OF SAMPLES,,4,4,1,3,6,4,8,8,8,,5,5,,,,,,,,95.1,44
MAXIMUM,,308,366,38,,138,227,128,119,196,213,261,367,,,,,,,,94.2,44
AVERAGE,,162,165,38,81,91,133,81,83,111,115,91,171,,,,,,,,90.2,44
MINIMUM,,52,39,38,24,,50,25,42,46,26,27,49,,,,,,,,94.8,44
WHEELUNG W VA,S7,,,,,,,,,,,,,,,,,,,,70.0,44
NUMBER OF SAMPLES,,2,2,2,3,1,2,6,4,4,5,3,2,,,,,,,,95.6,44
MAXIMUM,,437,342,218,208,99,103,113,124,100,300,215,405,,,,,,,,95.2,44
AVERAGE,,282,269,150,191,99,97,85,87,74,195,176,270,,,,,,,,93.8,44
MINIMUM,,127,196,82,168,99,91,69,53,45,102,107,136,,,,,,,,93.3,44
BIRMINGHAM A,57,,,,,,,,,,,,,,,,,,,,92.3,44
NUMBER OF SAMPLES,,2,3,1,2,3,2,2,1,2,3,2,2,,,,,,,,95.5,44
MAXIMUM,,,155,85,79,214,,98,108,96,208,100,134,,,,,,,,94.4,44
AVERAGE,,106,96,85,60,89,50,97,108,68,112,99,ile,,,,,,,,92.2,44
MINIMUM,,101,64,85,42,9,28,96,108,40,61,99,90,,,,,,,,92.0,44
TAMPA FLA,55 57,,,,,,,,,,,,,,,,,,,,90.0,44
NUMBER OF SAMPLES,,6,5,5,,7,6,10,10,9,10,7,6,,,,,,,,94.2,44
,,152,205,95,81,124,122,83,99,124,108,247,192,,,,,,,,93.9,44
AVERAGE,,77,120,67,58,76,73,,64,64,63,134,79,,,,,,,,93.4,44
MINIMUM,,40,70,44,44,47,32,37,9,7,37,51,,,,,,,,,92.5,44
Ml AMI FLA,57,,,,,,,,,,,,,,,,,,,,74.8,44
NUMBER OF SAMPLES,,2,2,,2,3,1,3,2,2,2,3,2,,,,,,,,95.7,44
MUM,,98,62,111,53,47,31,74,33,49,80,93,79,,,,,,,,90.0,44
AVERAGE,,96,61,111,45,39,31,48,32,44,71,53,56,,,,,,,,95.3,44
MINIMUM,,94,61,111,38,31,31,31,31,40,63,31,33,,,,,,,,93.5,44
ATLANTA GA,55 57,,,,,,,,,,,,,,,,,,,,95.0,44
NUMBER OF SAMPLES,,6,6,5,6,5,5,14,14,8,9,4,7,,,,,,,,93.1,44
MAXIMUM,,354,311,525,2105,137,142,298,136,169,803,185,385,,,,,,,,87.2,44
AVERAGE,,145,155,197,80,93,106,106,98,98,249,121,165,,,,,,,,93.8,44
MINIMUM,,81,58,60,63,55,80,57,41,62,75,84,80,,,,,,,,88.2,44
COLUMBUS GA,57,,,,,,,,,,,,,,,,,,,,95.3,44
NUMBER OF SAMPLES,,3,2,3,1,3,2,2,2,2,3,2,2,,,,,,,,94.4,44
MAXIMUM,,60,151,92,108,82,40,69,80,59,177,114,221,,,,,,,,93.8,44
AVERAGE,,47,140,73,108,52,39,54,75,50,123,97,133,,,,,,,,89.8,44
MINIMUM,,41,129,43,108,35,39,39,70,42,36,81,45,,,,,,,,94.4,44
JACKSON MISS,27,,,,,,,,,,,,,,,,,,,,91.0,44
NUMBER OF SAMPLES,,2,2,2,2,2,1,3,3,1,3,2,1,,,,,,,,93.8,44
MAXIMUM,,43,18,220,19,106,,69,99,40,69,67,38,,,,,,,,94.8,44
AVERAGE,,40,13,,14,57,18,48,59,40,40,47,38,,,,,,,,95.2,44
MINIMUM,,35,8,i77,9,8,18,32,30,40,14,27,38,,,,,,,,93.0,44
COLUMBIA SC,57,,,,,,,,,,,,,,,,,,,,94.3,44
NUMBER OF SAMPLES,,2,2,2,1,2,3,2,3,1,2,3,1,,,,,,,,95.1,44
MAXIMUM,,211,,350,55,59,79,60,107,,227,196,185,,,,,,,,94.1,44
AVERAGE,,140,184,257,55,41,,,88,Si,139,149,185,,,,,,,,92.1,44
,,69,94,164,55,24,33,453,,51,,65,185,,,,,,,,88.7,44
GREENVILLE SC,57,,,,,,,,,,,,,,,,,,,,90.3,44
NUMBER OF SAMPLES,,2,2,2,2,4,3,3,2,3,2,2,2,,,,,,,,95.7,44
MAXIMUM,,149,290,77,246,95,103,41,106,152,248,292,111,,,,,,,,92.9,44
AVERAGE,,113,232,62,146,73,61,34,78,,170,,93,,,,,,,,93.3,44
Mi NtMUM,,77,175,4a,47,49,38,31,50,60,93,195,75,,,,,,,,79.5,44
CHATTANOOGA TENN,55 57,,,,,,,,,,,,,,,,,,,,91.8,44
NUMBER OF SAMPLES,,6,5,,10,6,4,1s,15,17,9,9,7,,,,,,,,92.5,44
MAX MUM,,204,597,540,367,227,173,160,334,245,497,478,733,,,,,,,,94.4,44
AVERAGE,,134,259,175,142,115,111,85S,112,117,200,191,3038,,,,,,,,90.6,44
MIiNEMUM,,65,113,37,29,45,60,9,31,29,57,67,56,,,,,,,,90.5,44
KNOXVILLE TENN,,,,,,,,,,,,,,,,,,,,,94.5,44
NUMBER OF SAMPLES,,2,2,2,3,1,3,2,2,3,,2,3,,,,,,,,95.7,44
,,194,213,126,209,74,74,68,136,140,180,186,337,,,,,,,,94.4,44
AVERAGE,,163,184,116,115,74,63,60,103,107,180,173,266,,,,,,,,95.2,44
MiNI MUM,,132,155,106,52,74,54,53,71,75,180,160,129,,,,,,,,89.7,44
NASHVILLE TENN,57,,,,,,,,,,,,,,,,,,,,84.7,44
NUMBER OF SAMPLES,,4,2,2,2,3,2,2,2,3,2,2,2,,,,,,,,94.8,44
MAXIMUM,,197,86,87,198,72,126,B84,1753,91,560,78,59,,,,,,,,88.0,44
AVERAGE,,137,74,,126,47,94,69,144,74,322,,55,,,,,,,,94.1,44
MINIMUM,,112,63,84,54,35,63,54,115,54,84,67,51,,,,,,,,92.7,44
CHICAGO ILL,55 57,,,,,,,,,,,,,,,,,,,,89.2,44
NUMBER OF SAMPLES,,i2,15,3,4,6,1,13,22,17,19,22,i4,,,,,,,,92.0,44
MUM,,324,403,65,575,237,54,256,241,2886,328,500,460,,,,,,,,84.8,44
AVERAGE,,175,243,,229,122,54,103,114,106,160,1753,270,,,,,,,,89.8,44
MI N MUM,,21,31,52,76,75,54,8,20,24,46,54,108,,,,,,,,81.9,44
EAST ST LOUIS ILL,55 56,,,,,,,,,,,,,,,,,,,,86.0,44
UMBER OF SAMPLES,,8,7,8,8,9,6,8,14,8,8,7,8,,,,,,,,90.6,44
MAXIMUM,,267,414,293,341,191,151,166,252,333,618,426,381,,,,,,,,87.8,44
AVERAGE,,169,144,131,122,81,80,92,133,156,234,214,188,,,,,,,,92.9,44
MINIMUM,,70,52,21,38,25,21,41,43,60,33,68,26,,,,,,,,91.2,44
SPRINGFIELD PEL,57,,,,,,,,,,,,,,,,,,,,86.3,45
NUMBER OF SAMPLES,,,,2,3,2,1,3,1,2,2,1,3,,,,,,,,93.6,45
MAXIMUM,,,,160,83,35,32,108,72,71,115,212,,,,,,,,,89.0,45
AVERAGE,,,,103,59,33,32,79,72,61,74,212,63,,,,,,,,93.4,45
MINIMUM,,,,47,38,32,32,64,72,51,34,212,iy,,,,,,,,90.5,45
EAST CHICAGO INO,25 57,,,,,,,,,,,,,,,,,,,,88.0,45
NUMBER OF SAMPLES,,7,14,20,13,20,6,21,13,19,25,20,15,,,,,,,,92.9,45
MAXIMUM,,216,223,448,363,190,154,227,313,293,490,249,339,,,,,,,,91.6,45
AVERAGE,,137,124,173,177,85,96,84,132,154,185,123,131,,,,,,,,90.2,45
MINIMUM,,63,32,59,sg,26,54,29,65,49,53,39,,,,,,,,,91.8,45
EVANSVILLE,,,,,,,,,,,,,,,,,,,,,95.0,45
NUMBER OF SAMPLES,,2,2,3,1,3,2,2,2,2,2,1,3,,,,,,,,93.3,45
MAXIMUM,,B87,98,74,77,53,58,43,47,,,19,190,,,,,,,,91.0,45
AVERAGE,,67,87,57,77,40,40,42,43,62,53,19,103,,,,,,,,95.0,45
MINIMUM,,48,77,39,77,31,23,42,40,40,53,19,34,,,,,,,,91.2,45
FORT WAYNE IND,,,,,,,,,,,,,,,,,,,,,77.0,45
NUMBER OF SAMPLES,,2,3,,2,2,,3,1,2,4,3,2,,,,,,,,95.2,45
MAXIMUM,,145,247,90,130,57,"43,",56,70,107,282,93,113,,,,,,,,94.5,45
AVERAGE,,120,173,80,97,57,38,50,70,69,201,63,10%,,,,,,,,90.2,45
MINUEMUM,,96,87,71,64,57,34,42,70,32,127,33,103,,,,,,,,87.3,45
s 1NO,o7,,,,,,,,,,,,,,,,,,,,50.0,45
NUMBER OF SAMPLES,,1,2,1,2,3,2,2,3,2,4,2,2,,,,,,,,95.6,45
MAXIMUM,,,B84,120,161,133,99,74,1 83,155,178,102,348,,,,,,,,91.3,45
AVERAGE,,,84,i120,138,108,80,49,1 48,100,138,90,207,,,,,,,,93.2,45
MINEMUM,,,84,120,115,72,61,25,87,46,101,Tb,67,,,,,,,,89.9,45
OETROIT MIC,96 57,,,,,,,,,,,,,,,,,,,,80.2,45
NUMBER OF SAMPLES,,1,2,171,ii,12,11,4,9,10,6,7,4,,,,,,,,91.0,45
MAXIMUM,,,175,,118,i114,211,111,1 14,165,417,195,132,,,,,,,,92.2,45
AVERAGE,,yo,i4i1,92,73,69,117,B2,76,86,210,84,113,,,,,,,,90.7,45
MINIMUM,,86,107,26,26,13,27,43,28,27,25,15,Be,,,,,,,,88.0,45
GRAND RAPIOS MICH,57,,,,,,,,,,,,,,,,,,,,87.8,45
NUMBER OF SAMPLES,,2,2,2,,2,3,,3,1,1,,,,,,,,,,94.6,45
MAXIMUM,,108,154,73,73,153,136,,63,221,153,,,,,,,,,,92.2,45
AVERAGE,,85,128,67,69,110,80,,S57,221,153,,,,,,,,,,90.7,45
MINIMUM,,63,103,62,66,68,52,,51,221,153,,,,,,,,,,85.8,45
KALAMAZ00 MICH,57,,,,,,,,,,,,,,,,,,,,79.0,45
NUMBER OF SAMPLES,,,3,1,3,2,2,2,2,2,1,3,2,,,,,,,,95.3,45
MAXIMUM,,52,76,30,38,35,,29,65,86,29,60,101,,,,,,,,93.5,45
AVERAGE,,43,63,30,27,33,21,23,41,68,29,46,85,,,,,,,,94.7,45
MINIMUM,,35,38,30,7,32,,17,17,50,29,38,69,,,,,,,,94.8,45
LANSING MIC H,57,,,,,,,,,,,,,,,,,,,,92.0,45
NUMBER OF SAMPLES,,2,2,1,4,3,,2,3,1,2,2,2,,,,,,,,93.8,45
MAXIMUM,,61,92,66,75,34,67,60,1 O1,36,52,63,64,,,,,,,,91.9,45
AVERAGE,,48,62,66,68,31,530,59,61,36,44,55,54,,,,,,,,89.3,45
MiNEMUM,,35,32,66,50,25,34,58,33,36,36,47,44,,,,,,,,93.3,45
FLINT MICH,,,,,,,,,,,,,,,,,,,,,95.0,45
NUMBER OF SAMPLES,,2,3,,3,1,2,3,2,2,3,2,2,,,,,,,,94.5,45
MAXIMUM,,,190,62,83,141,132,87,79,108,200,108,46,,,,,,,,87.3,45
AVERAGE,,77,126,62,73,141,93,69,57,100,116,84,41,,,,,,,,94.1,45
MINtMUM,,73,65,62,61,141,54,,35,92,70,61,37,,,,,,,,88.6,45
Ci NCINNATI OHIO,95,,,,,,,,,,,,,,,,,,,,73.0,45
NUMBER OF SAMPLES,,6,5,7,6,6,5,10,10,,7,7,11,,,,,,,,91.0,45
MAXIMUM,,,194,299,108,213,319,190,208,545,235,175,233,,,,,,,,92.5,45
AVERAGE,,140,119,141,75,85,127,80,102,136,150,109,149,,,,,,,,94.5,45
MINIMUM,,47,35,47,46,22,26,33,21,24,84,59,as,,,,,,,,93.5,45
YOUNGSTOWN OHIO,,,,,,,,,,,,,,,,,,,,,92.0,45
NUMBER OF SAMPLES,,2,2,2,,2,1,7,8,8,2,5,4,,,,,,,,93.9,45
MAXIMUM,,137,180,125,173,89,532,145,180,276,423,490,206,,,,,,,,82.1,45
AVERAGE,,,,91,103,77,52,B81,126,170,350,244,104,,,,,,,,91.2,45
MINIMUM,,,134,58,35,65,,45,55,36,277,,46,,,,,,,,91.1,45
CANTON OHIO,27,,,,,,,,,,,,,,,,,,,,81.3,45
NUMBER OF SAMPLES,,2,2,2,2,3,1,3,3,1,2,,3,,,,,,,,91.9,45
MAXIMUM,,183,270,220,173,314,49,125,131,132,265,242,,,,,,,,,94.7,45
AVERAGE,,144,192,215,125,176,49,99,105,132,210,193,97,,,,,,,,94.8,45
MINIMUM,,106,115,211,77,97,49,66,85,132,156,145,59,,,,,,,,93.6,45
CLEVELAND OHIO,37,,,,,,,,,,,,,,,,,,,,82.0,45
NUMBER OF SAMPLES,,2,3,2,1,3,2,2,2,2,2,3,2,,,,,,,,94.5,45
MAXIMUM,,175,248,62,150,89,111,109,291,90,141,187,159,,,,,,,,93.5,45
AVERAGE,,124,166,56,150,75,74,93,218,81,99,157,133,,,,,,,,93.3,45
MiENIEMUM,,73,119,50,150,66,38,78,146,73,57,106,198,,,,,,,,87.5,45
COLUMBUS OHIO,,,,,,,,,,,,,,,,,,,,,90.5,45
NUMBER OF SAMPLES,,2,2,3,,2,123,2,2,3,4,3,2,,,,,,,,94.4,45
MAXIMUM,,167,116,,,62,,61,97,123,193,307,110,,,,,,,,87.2,45
AVERAGE,,166,115,,70,S1,89,56,86,111,129,,108,,,,,,,,90.8,45
MINIMUM,,166,115,40,40,40,56,52,76,95,26,70,107,,,,,,,,88.4,45
TOLEDO OHIO,,,,,,,,,,,,,,,,,,,,,88.5,45
NUMBER OF SAMPLES,,2,2,2,3,2,2,2,2,3,2,2,2,,,,,,,,95.1,45
,,64,250,,77,54,65,,52,234,184,61,160,,,,,,,,93.8,45
