Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Avg_Confidence,Page_Num
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
JERSEY cITy N J,1,54,,232,329,267,,2 36,236,236,278,278,278,278,335,,,,,,90.4,1
,1,95,34,71,314,169,94,1,119,145,161,179,206,221,257,,,,,,93.3,1
,1,56,1b,80,343,176,105,134,140,154,171,183,195,201,236,,,,,,92.5,1
,1,57,26,99,3112,166,111,123,132,139,,171,183,201,,,,,,,87.3,1
,,54 57,81,71,343,173,100,1198,132,145,165,182,199,221,261,,,,,,89.5,1
EAST ORANGE WN J,1,57,20,,366,,29,,,,123,145,,166,201,,,,,,91.8,2
NEWARK N J,1,57,18,55,340,139,65,89,94,105,114,123,158,,201,,,,,,94.2,2
NEW YORK N Y,1,57,25,94,330,197,105,138,155,166,186,201,227,278,315,,,,,,94.3,2
,2,53,3,184,642,371,,201,201,201,327,327,327,327,737,,,,,,94.5,2
,2,54,30,145,399,241,171,194,208,219,229,243,264,290,327,,,,,,94.7,2
,2,55,40,93,466,236,123,14121,171,195,227,254,278,334,363,,,,,,92.1,2
,2,56,32,120,346,223,134,179,204,211,219,226,234,268,327,,,,,,93.2,2
,2,53,105,93,642,237,136,173,195,210,224,238,263,303,349,,,,,,95.2,2
,3,53,3,87,146,110,,,89,89,105,105,105,105,"1,71",,,,,,94.2,2
,3,54,36,79,350,180,97,112,130,151,162,171,195,264,298,,,,,,93.7,2
,3,55,38,44,335,161,83,97,105,145,160,176,196,219,257,,,,,,92.7,2
,3,56,26,71,379,192,89,100,145,154,67,186,250,278,356,,,,,,92.8,2
,3,53 56,103,44,379,174,87,101,126,150,161,173,196,249,299,,,,,,93.8,2
,4,54,2,162,164,163,,,158,158,158,158,158,171,171,,,,,,95.2,2
,4,55,24,44,238,136,68,76,105,123,134,145,165,,219,,,,,,95.3,2
,4,54 55,26,44,238,138,71,76,111,123,140,154,162,181,2014,,,,,,93.2,2
,,,6,87,642,241,,89,105,105,171,201,201,327,327,,,,,,94.9,2
,,54,68,79,399,205,112,145,159,174,198,217,241,273,311,,,,,,92.9,2
,,55,102,44,466,185,89,105,131,151,169,190,219,257,327,,,,,,95.1,2
,,56,58,71,379,209,105,138,162,191,210,222,236,272,335,,,,,,92.3,2
,,57,25,94,330,197,105,138,155,166,186,201,227,278,315,,,,,,95.5,2
,,53 57,259,44,642,198,97,127,149,166,187,209,232,266,320,,,,,,93.2,2
BINGHAMTON N Y,1,57,26,54,224,94,58,65,72,76,89,99,105,119,130,,,,,,92.3,2
BUFFALO N Y,1,57,6,70,388,166,71,71,76,76,105,171,171,236,236,,,,,,92.9,2
,2,57,15,80,607,241,123,130,145,158,181,191,278,327,580,,,,,,92.4,2
,,57,21,70,607,220,76,105,130,145,171,191,236,327,453,,,,,,94.2,2
SCHENECTADY N,1,57,22,38,143,7.7,47,51,58,65,76,85,92,102,123,,,,,,92.6,2
SYRACUSE N Y,1,57,26,40,347,119,47,65,80,89,105,125,134,158,186,,,,,,91.0,2
UTICA N Y,1,57,24,44,228,120,60,69,74,100,114,130,,179,,,,,,,94.1,2
PHILADELPHIA PA,1,53,8,92,414,265,105,201,201,236,257,278,385,385,419,,,,,,93.5,2
,1,54,75,37,760,202,87,108,130,153,174,198,226,257,766,,,,,,94.7,2
,,55,289,56,576,210,117,144,157,170,196,217,241,279,319,,,,,,94.7,2
,1,56,307,66,761,220,128,148,167,184,200,217,234,271,325,,,,,,95.3,2
,1,53 56,679,37,761,214,116,143,159,176,197,216,236,274,325,,,,,,93.1,2
,2,54,6,339,696,533,385,385,533,533,564,596,596,627,627,,,,,,93.5,2
,2,,19,158,550,345,236,264,286,303,319,327,408,453,506,,,,,,92.7,2
,2,54 55,25,158,696,390,250,278,303,319,3865,430,493,533,604,,,,,,93.1,2
,3,53,6,71,376,170,71,71,76,76,112,219,219,236,236,,,,,,91.3,2
,3,54,26,29,382,123,67,71,76,89,,127,136,158,201,,,,,,92.1,2
,3,55,14,94,238,145,93,101,105,117,123,154,171,181,201,,,,,,95.3,2
,3,53 55,46,29,382,138,69,75,92,102,117,136,155,186,224,,,,,,93.7,2
,4,55,27,,,311,194,207,,247,278,303,356,430,480,,,,,,92.6,2
,4,,23%,,1,286,135,167,193,218,243,266,3021,370,,,,,,,89.8,2
,4,57,25,86,323,203,134,145,165,1861,207,219,236,257,294,,,,,,93.5,2
,4,55 S57,285,51,1 o11,281,140,168,195,217,240,264,298,361,499,,,,,,90.7,2
,5,55,24,44,327,127,,78,83,89,97,105,130,145,278,,,,,,92.9,2
,,36,41,66,2963,178,80,By,112,129,152,167,208,236,311,,,,,,87.9,2
,5,55 56,65,44,563,159,77,84,94,110,129,149,181,224,298,,,,,,94.7,2
,6,55,12,84,271,177,89,134,154,162,1721,201,210,227,236,,,,,,92.4,2
,6,56,42,91,581,192,125,131,140,149,167,181,194,222,303,,,,,,91.6,2
,6,55 56,54,84,281,189,124,133,141,154,168,1853,201,220,278,,,,,,91.0,2
,7,55,6,135,316,240,145,145,201,2,236,294,294,,311,,,,,,94.2,2
,7,56,38,76,910,229,94,132,145,162,191,216,236,268,385,,,,,,93.7,2
,7,55 36,44,76,910,230,94,134,149,171,201,219,247,288,385,,,,,,93.2,2
,,,14,71,414,224,71,89,105,213,224,236,278,356,419,,,,,,92.8,2
,,54,107,29,760,203,76,94,116,137,160,186,220,,385,,,,,,95.4,2
,,55,391,44,621,215,107,137,156,172,200,223,252,290,331,,,,,,94.4,2
,,56,661,,1,239,123,146,166,186,207,228,256,298,401,,,,,,93.0,2
,,57,25,86,323,203,134,145,165,181,207,219,236,257,294,,,,,,94.1,2
,,53 57,1198,29,1,227,,138,158,178,202,223,251,292,373,,,,,,92.3,2
ALTOONA PA,1,55,3,82,125,,,89,89,89,105,105,105,105,145,,,,,,92.1,2
,1,96,24,61,411,,71,80,83,89,117,127,141,158,191,,,,,,89.6,2
,1,55 56,27,61,411,125,76,79,84,89,117,127,1368,158,181,,,,,,88.5,2
BRISTOL PA,1,55,31,27,229,96,47,65,73,81,92,100,108,117,145,,,,,,92.6,2
,1,56,12,52,177,107,55,65,89,97,105,114,123,145,,,,,,,92.6,2
,1,55 56,43,27,229,99,51,68,78,85,95,103,112,121,158,,,,,,93.5,2
CHE 3 TER PA,1,55,31,40,273,134,76,94,102,123,136,145,158,171,194,,,,,,93.8,2
,1,56,13,38,323,136,40,65,76,97,123,158,171,186,236,,,,,,93.1,2
,1,55,44,38,323,135,65,91,99,117,132,145,161,176,201,,,,,,93.5,2
ERIE PA,1,55,1,90,90,90,,,,,105,105,105,105,105,,,,,,93.5,2
,1,56,49,25,550,80,36,42,46,53,63,70,77,B5,97,,,,,,93.9,2
,1,55 56,50,25,550,80,36,42,46,53,63,71,79,86,99,,,,,,94.2,2
PITTSBURGH PA,1,,,43,,134,,83,95,104,121,134,150,164,222,,,,,,93.2,3
