Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,36,,,12,5,6,7,8,9,1,,19,,,,95.3,131
TOTAL,55,49,10,550,123,34,45,52,66,82,94,117,162,315,,,95.1,131
NEW JERSEY TOTAL,56,130,,1500,B82,18,26,30,38,44,55,65,83,119,,,90.4,131
NEw YORK TOTAL,54 56,74,,102,20,2,7,9,10,13,18,2,29,42,,,94.1,131
PENNSYLVANIA TOTAL,54 56,275,,2400,95,1,2,4,5,7,14,29,60,224,,,95.0,131
DIS COLUMBIA TOTAL,54 56,43,,12,1,,,1,1,1,1,,3,5,,,94.5,131
KENTUCKY TOTAL,54 55,69,,79,9,1,1,2,4,5,5,10,16,24,,,93.9,131
MARYLAND TOTAL,57,18,4,13,6,4,5,5,6,6,7,,7,8,,,89.7,131
WEST VIRGINA TOTAL,54 55,22,,27,8,4,4,5,6,6,7,9,11,20,,,94.5,131
FLORIDA TOTAL,54,28,,39,6,1,2,2,3,3,4,4,4,6,,,95.7,131
GEORGIA TOTAL,54 56,22,,30,6,,1,4,4,4,5,,7,11,,,95.3,131
TENNESSEE TOTAL,55 56,32,,20,4,,1,1,2,3,4,5,7,9,,,95.5,131
TOTAL,54 56,149,,300,11,,1,4,5,6,9,10,12,19,,,93.1,131
TOTAL,55 56,86,,170,17,1,4,6,7,9,10,16,21,31,,,92.8,131
MICHIGAN TOTAL,53 54,32,,396,66,6,15,26,37,41,45,49,62,123,,,95.1,131
OHIO TOTAL,54,163,,467,15,,1,1,2,4,,8,11,26,,,93.2,131
WISCONSIN TOTAL,57,19,4,80,19,4,5,6,8,11,13,18,31,44,,,93.8,131
MINNESOTA TOTAL,54 55,31,,46,7,1,2,3,4,5,6,8,10,17,,,95.0,131
MISSOURI TOTAL,54 56,58,,50,7,1,2,3,4,5,6,9,10,19,,,94.6,131
LOUISIANA TOTAL,54 55,50,,20,2,,,,,1,1,,3,4,,,90.9,131
TEXAS TOTAL,54 55,147,,114,12,,1,1,,5,,14,21,29,,,95.2,131
COLORADO TOTAL,54 55,26,,40,9,1,2,4,,6,9,10,19,20,,,95.5,131
UTAH TOTAL,54 55,31,,30,7,1,2,3,4,6,,,10,19,,,95.5,131
ALASKA TOTAL,54 55,34,,53,3,,,,,1,1,,1,3,,,94.4,131
CALIFORNIA TOTAL,54 56,222,,61,5,,1,1,,,,,,17,,,95.2,131
OREGON TOTAL,54 55,72,,40,4,,1,1,,2,,,5,8,,,91.6,131
WASHINGTON TOTAL,57,20,,42,8,3,4,5,,6,,,,13,,,93.6,131
NEW ENGLND TOT AL,55 56,85,,550,76,6,9,it,2,42,5,,104,,,,89.1,131
MIO ATLNTC TOT AL,54 56,479,,2400,80,1,4,6,10,1,2,42,65,123,,,91.7,131
MID EAST TOTAL,54,152,,79,7,,1,,,,,,10,17,,,95.1,131
SOUTH EAST TOT AL,54 56,B2,,39,5,,1,2,,,,,6,10,,,92.4,131
WEST TOTAL,53 57,449,,467,18,,1,3,,,,1,1,38,,,94.8,131
GRT PLAINS TOT AL,54 56,89,,50,7,1,2,,,,,,1,18,,,93.8,131
GULF SOUTH TOT AL,54 55,197,,114,9,,1,1,,,,,1,25,,,95.1,131
ROCKY MNTN TOTAL,54 55,57,,40,8,1,2,,,,,,1,20,,,93.7,131
PAC COAST TOTAL,54 57,348,,61,5,,,,,,,,,15,,,95.3,131
GRAND TOTAL,53 57,1938,,2400,31,,1,,,,,1,2,52,,,92.7,131
