Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,36,,,6,,1,1,2,3,6,7,9,10,,,91.0,123
MASSACHUSETS TOTAL,535,49,,10,1,,,,1,1,1,1,,4,,,90.2,123
NEW JERSEY TOTAL,55 56,120,,70,2,,,,1,1,1,4,2,5,,,89.9,123
NEw YORK TOTAL,54 56,39,,30,5,,,1,2,2,4,5,9,13,,,94.9,123
PENNSYLVANIA TOTAL,56,265,,200,4,,,1,1,1,,3,5,7,,,92.9,123
DIS COLUMBIA TOTAL,55 56,17,,10,4,1,1,2,2,3,3,6,8,,,,94.8,123
KENTUCKY TOTAL,54 55,61,,150,7,,1,2,2,3,3,6,9,10,,,94.7,123
MARYLAND TOTAL,57,18,23,290,71,25,28,29,35,40,44,60,112,146,,,93.9,123
WEST VERGINA TOTAL,55,16,,40,8,,1,1,1,4,9,9,10,20,,,91.7,123
FLORIDA TOTAL,55,21,,10,1,,,,1,1,1,2,4,6,,,91.6,123
GEORGIA TOTAL,55 56,16,,20,5,1,1,2,2,3,5,6,9,10,,,94.4,123
TENNESSEE TOTAL,55 56,32,,30,3,,1,1,1,1,,,3,9,,,94.4,123
TOTAL,55 56,106,,100,8,1,1,2,3,4,5,6,9,20,,,92.0,123
INDIANA TOTAL,55 56,86,,120,13,1,2,4,5,7,9,19,20,30,,,92.4,123
OHIO TOTAL,55 57,35,,75,22,2,4,8,,10,20,35,40,54,,,91.9,123
WISCONSIN TOTAL,57,19,,88,29,1,17,19,23,26,283,36,40,44,,,93.9,123
MINNESOTA TOTAL,54 25,,,,,,,,,,,,4,,,,92.0,123
,,ei,,7,2,,,1,1,1,2,2,,6,,,91.3,123
MISSOURI TOTAL,55 56,50,,21,3,,1,1,2,2,3,4,5,8,,,91.8,123
LOUISIANA TOTAL,54 55,46,,9,1,,,,1,1,1,1,2,4,,,88.7,123
TEXAS TOTAL,54 55,119,,30,3,,1,1,1,2,2,3,5,9,,,94.2,123
COLORADO TOTAL,54 55,23,,10,2,,1,1,2,2,2,3,3,9,,,93.4,123
UTAH TOTAL,54 55,26,,100,21,3,6,9,9,10,10,20,,32,,,93.7,123
ALASKA TOTAL,54 55,13,,20,4,,1,1,1,2,3,4,7,10,,,93.9,123
CALIFORNIA TOTAL,55 56,107,,20,2,,,1,1,1,2,3,4,6,,,93.8,123
OREGON TOTAL,54 55,20,,20,8,1,2,4,5,6,8,10,10,20,,,93.9,123
WASHINGTON TOTAL,57,20,17,59,33,19,22,25,28,30,32,40,49,52,,,92.2,123
NEW ENGLAND TOT AL,55 56,85,,40,3,,,1,1,1,2,3,6,9,,,91.5,123
MIO ATLNTC TOT AL,54 56,424,,200,4,,,1,1,1,1,2,5,8,,,92.9,123
MID EAST TOTAL,54 57,,,290,17,,1,2,3,4,7,9,21,38,,,92.7,123
SOUTH EAST TOT AL,35 56,69,,30,3,,,1,1,1,2,3,5,9,,,92.8,123
MIO WEST TOTAL,5.5 57,246,,120,13,1,2,3,4,6,9,10,ei,38,,,92.4,123
GRT PLAINS TOT AL,54 56,71,,,3,,1,1,1,2,2,3,5,7,,,93.9,123
GULF SOUTH TOT AL,54 55,165,,30,2,,,1,1,1,2,3,4,9,,,92.4,123
ROCKY MNTN TOT AL,54 55,49,,100,12,1,2,2,3,6,9,10,10,21,,,93.7,123
PAC COAST TOTAL,54 57,160,,59,7,,1,1,1,2,3,5,9,22,,,94.4,123
GRAND TOTAL,54 37,1381,,290,7,,1,1,1,2,3,5,8,20,,,92.6,123
