Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,36,,3,1,,,1,1,1,2,2,2,3,,,95.9,110
MASSACHUSETS TOTAL,55,49,,4,,,,,,1,1,1,1,1,,,91.6,110
NEW JERSEY TOTAL,55 56,120,,19,2,,1,1,1,2,2,2,3,3,,,95.2,110
NEW YORK TOTAL,56,39,,25,3,1,2,2,2,3,3,4,5,6,,,95.1,110
PENNSYLVANIA TOTAL,55 56,265,,10,1,,1,1,1,2,2,2,2,3,,,94.7,110
DtS COLUMBIA TOTAL,55 56,17,,,1,,,1,1,1,1,2,2,2,,,90.1,110
KENTUCKY TOTAL,54 55,62,,5,,,,,,1,1,1,1,1,,,92.9,110
MARYLAND TOTAL,57,18,,,,,,,,1,1,1,1,1,,,92.6,110
WEST VIRGINA TOTAL,55,16,,,,,,,,1,1,1,1,1,,,92.1,110
FLORIDA TOTAL,55,21,,,1,,,1,1,1,1,2,2,2,,,86.8,110
GEORGIA TOTAL,55 56,16,,,,,,,1,1,1,,1,2,,,94.6,110
TENNESSEE TOTAL,55 56,32,,,2,1,1,1,1,2,2,2,2,3,,,92.7,110
ILLINOIS TOTAL,55 56,106,,17,2,,,1,1,1,2,2,3,5,,,90.9,110
INDEANA TOTAL,s5 56,86,,20,2,,,1,1,2,2,3,4,5,,,86.7,110
OHIO TOTAL,ss 57,35,,9,1,,,1,1,1,1,2,2,3,,,89.7,110
WISCONSIN TOTAL,57,,,,,,,,,1,1,1,1,1,,,90.6,110
MINNESOTA TOTAL,54 55,,,2,,,,,,1,1,4,1,,,,92.2,110
MISSOURI TOTAL,56,50,,3,,,,1,1,,1,1,2,2,,,92.3,110
LOUISIANA TOTAL,54 55,46,,1,,,,,,1,1,1,1,1,,,92.4,110
TEXAS TOTAL,54 55,119,,40,,,,,,1,1,1,1,1,,,94.5,110
COLORADO TOTAL,54 55,23,,3,,,,,,1,1,1,1,1,,,94.7,110
UTAH TOTAL,54 55,26,,4,,,,,,1,1,1,1,1,,,93.9,110
ALASKA TOTAL,54 55,13,,3,,,,,,1,1,1,1,3,,,93.7,110
CALtFORNIA TOTAL,55 56,107,,3,,,,,1,1,1,1,1,2,,,90.9,110
OREGON TOTAL,54 35,20,,2,,,,,,1,1,1,1,1,,,91.6,110
WASHINGTON TOTAL,57,20,,11,,,,,1,1,1,1,1,2,,,94.4,110
Ew ENGLND TOTAL,55 56,85,,4,,,,,1,1,1,1,2,2,,,89.4,110
MID ATLNTC TOTAL,54 56,424,,25,2,,1,1,1,2,2,,3,3,,,92.1,110
MIiO0 EAST TOTAL,54 57,113,,5,,,,,,1,1,,1,1,,,84.1,110
SOUTH EAST TOTAL,55 56,69,,3,1,,1,1,1,1,1,2,2,2,,,95.6,110
MID WEST TOTAL,55 57,246,,20,1,,,1,1,1,2,2,3,5,,,95.3,110
GRT PLAINS TOTAL,54 56,71,,3,,,,,1,1,1,1,1,2,,,91.9,110
GULF SOUTH TOTAL,54 55,165,,40,,,,,,1,1,4,1,1,,,92.0,110
ROCKY MNTN TOTAL,54 55,49,,4,,,,,,1,1,1,1,1,,,94.2,110
PAC COAST TOTAL,54 57,160,,11,,,,,1,1,1,1,1,2,,,94.5,110
GRAND TOTAL,54 57,1382,,40,1,,,1,1,1,1,2,2,3,,,93.4,110
