Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
NEW JERSEY TOTAL,55,10,11,30,18,11,14,15,16,17,18,19,21,27,,,94.8,177
NEW YORK TOTAL,54 55,36,,59,21,4,9,11,14,22,28,30,34,39,,,95.1,177
PENNSYLVANIA TOTAL,54,10,,28,,1,3,7,8,,12,13,13,27,,,94.7,177
COLUMBIA TOTAL,54 35,25,,34,,1,5,9,14,17,18,20,21,27,,,91.7,177
KENTUCKY TOTAL,54,9,3,44,25,3,11,15,17,21,21,36,38,46,,,94.2,177
WEST VIRGINA TOTAL,54,7,,42,13,1,1,5,5,6,6,,27,27,,,93.3,177
FLORIDA TOTAL,54,10,1,is,,1,2,2,3,5,5,11,15,17,,,93.9,177
GEORGIA TOTAL,54,9,,26,10,1,4,4,8,8,8,,15,26,,,94.9,177
PLLINOIS TOTAL,54 55,43,,86,31,2,15,23,28,32,37,41,45,58,,,90.8,177
MICHIGAN TOTAL,53 54,33,,71,24,4,8,13,14,22,24,35,41,51,,,95.0,177
OHIO TOTAL,54 55,135,3,69,19,6,9,12,14,16,18,22,26,36,,,94.2,177
MINNESOTA TOTAL,54,14,4,20,,4,5,6,9,11,12,15,16,19,,,94.3,177
MISSOURI TOTAL,54,6,2,,4,2,2,3,,4,4,,,6,,,95.4,177
LOUISIANA TOTAL,54,4,6,22,14,,6,6,9,9,,19,19,24,,,91.2,177
TEXAS TOTAL,54,29,,59,13,,1,1,6,9,10,13,24,32,,,93.4,177
COLORADO TOTAL,54,3,4,11,6,,4,4,4,4,4,,,11,,,95.2,177
UTAH TOTAL,54,5,14,42,22,14,14,15,15,17,17,24,24,43,,,94.9,177
ALASKA TOTAL,54 55,24,,400,28,,1,4,7,9,11,15,19,34,,,93.9,177
TOTAL,54 55,113,,52,15,2,7,9,12,14,17,19,23,30,,,93.4,177
OREGON TOTAL,54,54,,36,15,1,9,11,13,15,17,,25,29,,,94.6,177
MIO ATLNTC TOTAL,54 55,56,,59,19,4,9,11,13,17,22,27,30,36,,,90.1,177
MiOD EAST TOTAL,54 55,41,,44,17,1,5,6,14,16,19,20,26,36,,,90.2,177
SOUTH EAST TOT AL,54,19,,26,9,1,2,4,5,8,8,11,15,19,,,94.8,177
MID WEST TOTAL,55,211,,86,22,5,9,12,15,18,22,27,35,46,,,91.9,177
GRT PLAINS TOT AL,54,20,2,20,9,3,4,4,6,8,9,12,15,17,,,94.2,177
GULF SOUTH TOT AL,54,33,,59,13,,1,5,6,9,10,15,23,32,,,94.6,177
ROCKY MNTN TOT AL,54,8,4,42,16,4,4,4,11,14,is,17,17,24,,,93.3,177
PAC COAST TOTA,54 55,191,,400,17,1,6,9,11,14,17,19,24,30,,,93.2,177
GRAND TOTAL,53 55,579,,400,18,3,6,9,12,15,18,22,28,37,,,92.8,177
