Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,,,,,,1,1,2,2,3,4,6,9,,,94.7,72
MASSACHUSETS TOTAL,55,49,,34,3,,1,1,2,2,3,3,4,4,,,95.1,72
NEw JERSEY TOTAL,55 56,130,,16,1,,,,1,1,,1,2,3,,,94.8,72
NEW YORK TOTAL,54 56,60,,92,12,1,1,2,3,4,8,10,17,32,,,93.9,72
PENNSYLVANIA TOTAL,54 36,465,,30,3,,1,1,2,2,2,3,4,6,,,93.9,72
DIS COLUMBIA TOTAL,54 56,36,,20,5,,,1,1,2,5,7,10,15,,,93.5,72
KENTUCKY TOTAL,54 55,62,,50,12,1,2,3,5,7,9,17,21,29,,,94.9,72
WEST VIRGINA TOTAL,55,16,,17,3,1,1,2,2,2,3,3,4,6,,,94.6,72
FLORIDA TOTAL,55,21,,21,6,2,2,3,3,5,,8,10,12,,,90.0,72
GEORGIA TOTAL,55 56,16,,35,3,,,1,1,1,1,1,2,6,,,95.1,72
,,32,,19,3,,1,1,1,,2,3,5,7,,,92.7,72
TENNESSEE TOTAL,55 56,,,,,,,,,2,,,,,,,94.8,72
PLLINOIS TOTAL,54 56,37,,215,15,1,2,3,4,5,,10,16,41,,,91.1,72
,,,,,,,,,,,7,,,,,,94.0,72
INDIANA TOTAL,55 56,86,,50,9,1,2,4,,6,,9,14,19,,,94.1,72
OHIO TOTAL,54 595,63,,72,15,2,4,6,9,13,15,17,,37,,,88.7,72
MINNESOTA TOTAL,55,21,,20,3,,,1,1,1,2,2,4,10,,,93.3,72
MISSOURI TOTAL,55 56,,,23,4,1,1,2,2,3,3,4,,8,,,92.9,72
LOUISIANA TOTAL,54 595,45,,39,7,,2,3,3,5,6,8,10,14,,,88.3,72
TEXAS TOTAL,54 55,139,,31,6,1,2,3,4,5,6,8,10,14,,,92.2,72
COLORADO TOTAL,54 35,26,,13,4,1,2,3,3,4,4,,6,7,,,91.7,72
UTAH TOTAL,54 55,26,,33,4,1,1,1,2,2,3,3,5,9,,,93.9,72
ALASKA TOTAL,54 55,37,,23,3,,,1,1,2,3,3,6,9,,,94.6,72
CALIFORNIA TOTAL,54 56,199,,32,22,,2,4,5,7,10,13,22,59,,,94.4,72
OREGON TOTAL,54,60,,43,,1,2,,6,8,9,15,23,35,,,95.0,72
NEW ENGLND TOT AL,55 56,85,,34,3,,1,1,2,2,3,3,4,8,,,93.1,72
MID ATLNTC TOT AL,54 56,655,,92,3,,1,1,1,2,2,3,4,6,,,94.5,72
MID EAST TOTAL,54 56,114,,50,8,,1,2,3,4,7,10,17,24,,,94.4,72
SOUTH EAST TOT AL,55 56,69,,35,4,,1,1,2,2,3,4,,10,,,94.7,72
MID WEST TOTAL,54 36,286,,215,13,1,2,4,5,6,8,13,17,32,,,92.8,72
GRT PLAINS TOT AL,54 56,73,,253,3,,1,1,2,2,3,4,,9,,,93.2,72
GULF SOUTH TOT AL,54 55,184,,39,7,1,2,3,4,,6,8,10,14,,,94.1,72
ROCKY MNTN TOT AL,54 55,52,,33,4,1,1,2,2,3,3,4,6,9,,,94.9,72
PAC COAST TOTAL,54 56,296,,432,18,1,2,3,5,6,9,12,20,35,,,94.2,72
GRAND TOTAL,54 56,1814,,432,8,,1,2,2,3,4,6,9,17,,,94.9,72
