Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,96.0,111
MIODLESEX CNTY MASS,,55,,,,,,,,,,1,1,1,1,,,88.9,111
LAKEHURST N J,,55 36,17,,,,,,,,,1,1,2,2,,,89.3,111
KANAWHA co W VA,,55,17,,,,,,,,1,1,1,1,1,,,84.5,111
OENVER COUNTY COLO,,54 55,10,,,,,,,,1,1,1,1,1,,,90.7,111
GRAND TOTAL,,54 56,67,,,,,,,,1,1,1,1,1,,,94.7,111
NONURBAN,,,,,,,,,,,,,,,,,,91.0,111
PT WORONZOF ALASKA,,95 56,le,,,,,,,,,,,,,,,85.5,111
