Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,88.5,125
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,1,4,3,2,,,95.6,125
MAXIMUM,,,2,9,6,20,7,10,8,10,10,30,40,,,93.9,125
AVERAGE,,,1,3,1,8,4,9,4,10,6,13,23,,,93.4,125
MI NI MUM,,,,2,,,,,,,,,,,,43.8,125
,,,,,,2,,7,2,10,,2,6,,,94.0,125
BOSTON MASS,55,,,,,,,,,,,,,,,95.0,125
NUMBER OF SAMPLES,,,,,,,,,,,,,,,,94.0,125
,,1,2,4,1,1,2,2,4,1,2,2,1,,,95.9,125
AVERAGE,,3,,,,,5,,,6,2,,,,,95.8,125
MINIMUM,,3,,,,,2,,,6,1,,,,,93.4,125
,,3,,,,,,,,6,,,,,,96.0,125
EVERETT MASS,55,,,,,,,,,,,,,,,94.0,125
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,95.4,125
MAXIMUM,,2,10,3,2,7,4,3,1,,2,2,2,,,91.4,125
AVERAGE,,1,4,1,2,4,1,1,,,2,2,2,,,96.0,125
MINIMUM,,,,,2,2,,,,,2,2,2,,,91.0,125
ELIZABETH N,55 56,,,,,,,,,,,,,,,93.2,125
NUMBER OF SAMPLES,,3,2,2,5,1,,1,2,1,,1,2,,,94.9,125
MAXIMUM,,2,,2,2,,,,2,,,4,,,,95.5,125
AVERAGE,,,,1,,,,,1,,,4,,,,94.0,125
,,,,,,,,,,,,4,,,,96.0,125
CAMDEN WN J,55 56,,,,,,,,,,,,,,,79.8,125
NUMBER OF SAMPLES,,2,3,2,1,,1,1,2,3,2,,2,,,94.9,125
MAXIMUM,,4,3,,,,,,8,,,,,,,86.0,125
AVERAGE,,2,1,,,,,,4,,,,,,,93.2,125
MINIMUM,,,,,,,,,1,,,,,,,87.0,125
TRENTON N J,55 56,,,,,,,,,,,,,,,91.0,125
NUMBER OF SAMPLES,,3,2,1,,1,1,2,1,,1,,3,,,95.4,125
MUM,,,4,3,,,,,,,2,2,2,,,85.2,125
AVERAGE,,,2,3,,,,,,,2,2,1,,,95.7,125
,,,,3,,,,,,,2,2,,,,96.0,125
JERSEY CITY N J,56,,,,,,,,,,,,,,,87.4,125
NUMBER OF SAMPLES,,2,3,3,3,,2,2,2,1,,1,2,,,94.9,125
MAXIMUM,,5,47,23,4,,8,2,70,4,,3,14,,,93.9,125
AVERAGE,,3,27,16,2,,6,1,38,4,,3,12,,,93.3,125
MINIMUM,,2,13,,2,,4,,6,4,,3,11,,,92.0,125
NEW YORK N,54 56,,,,,,,,,,,,,,,93.0,125
NUMBER OF SAMPLES,,1,3,1,4,1,7,4,4,2,3,4,5,,,95.5,125
MAXIMUM,,10,5,5,16,5,4,30,7,4,13,30,19,,,94.1,125
AVERAGE,,10,3,5,5,5,1,10,2,3,8,12,,,,94.9,125
MINIMUM,,10,2,5,2,5,,,,2,2,,,,,86.5,125
A PA,55 56,,,,,,,,,,,,,,,94.5,125
NUMBER OF SAMPLES,,17,13,13,13,18,12,i3,13,10,8,8,,,,92.2,125
MAX MUM,,31,7,3,12,49,9,9,8,7,,3,10,,,91.2,125
AVERAGE,,4,1,,1,4,3,1,3,2,,,4,,,96.0,125
MiNtEMUM,,,,,,,,,,,,,,,,34.0,125
ALTOONA PA,56,,,,,,,,,,,,,,,95.3,125
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,94.9,125
MAXIMUM,,,2,2,2,4,,,6,2,2,,,,,93.2,125
AVERAGE,,,2,2,1,1,,,6,1,1,,,,,95.2,125
MINIMUM,,,2,2,,,,,6,1,,,,,,95.0,125
CHESTER PA,56,,,,,,,,,,,,,,,91.3,125
NUMBER OF SAMPLES,,,,,2,2,2,2,3,4,1,,,,,95.6,125
MAXIMUM,,,,,8,,3,5,3,7,,,,,,94.7,125
AVERAGE,,,,,4,,1,2,2,2,,,,,,90.2,125
MiNIMUM,,,,,,,,,,,,,,,,47.0,125
ER IE PA,56,,,,,,,,,,,,,,,79.8,125
NUMBER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,3,,,95.5,125
MAX,,2,1,1,2,1,,,,2,1,5,5,,,90.2,125
AVERAGE,,,1,,,,,,,1,,3,1,,,94.6,125
MINIMUM,,,1,,,,,,,,,1,,,,87.3,125
Pt TTSBURGH PA,56,,,,,,,,,,,,,,,87.5,125
NUMBER OF SAMPLES,,3,3,3,,,3,2,,2,2,2,1,,,95.9,125
MAXIMUM,,20,190,80,,,20,,,60,30,200,10,,,92.0,125
AVERAGE,,11,6,50,,,12,,,50,25,102,10,,,94.0,125
MiNIMUM,,5,3,20,,,7,,,40,20,4,10,,,92.7,125
wi LLIAMSPORT PA,55 56,,,,,,,,,,,,,,,79.6,125
NUMBER OF SAMPLES,,,3,1,2,3,2,1,1,3,2,3,2,,,95.1,125
MAXIMUM,,,9,7,8,7,,3,2,7,,7,5,,,87.5,125
AVERAGE,,,6,7,6,5,,3,2,5,,3,3,,,94.8,125
MUM,,,3,7,5,2,,3,2,2,,2,2,,,94.7,125
WA SHINGTON oc,55 56,,,,,,,,,,,,,,,89.0,125
NUMBER OF SAMPLES,,1,2,,1,3,2,1,3,2,1,1,,,,93.8,125
MUM,,8,8,,2,9,10,2,3,4,6,2,,,,92.7,125
AVERAGE,,8,5,,2,3,8,2,2,3,6,2,,,,95.7,125
MINIMUM,,8,3,,2,,6,2,,2,6,2,,,,94.8,125
LO UISVILLE KY,54 55,,,,,,,,,,,,,,,89.2,125
