Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
NUMBER OF SAMPLES,,1,3,1,1,1,3,13,13,12,6,1,6,,,93.9,125
MAXIMUM,,2,3,10,3,,20,30,150,10,,,20,,,94.8,125
AVERAGE,,2,3,10,3,5,10,5,18,2,2,,6,,,95.1,125
MINIMUM,,2,3,10,3,5,,,,,,,,,,88.3,125
BALTIMORE MD,57,,,,,,,,,,,,,,,92.7,126
NUMBER OF SAMPLES,,1,2,110,3,1,3,2,3,1,,,,,,94.2,126
MAXEMUM,,29,33,,290,150,49,56,140,42,,,,,,92.2,126
AVERAGE,,29,28,77,148,150,37,45,68,42,,,,,,95.0,126
,,29,23,44,25,i150,28,35,26,42,,,,,,93.1,126
CHARLESTON W VA,55,,,,,,,,,,,,,,,92.5,126
NUMBER OF SAMPLES,,,1,1,,2,2,2,1,,3,2,1,,,93.3,126
MAXIMUM,,,9,,,10,20,3,10,10,20,,40,,,95.0,126
AVERAGE,,,9,,,8,10,1,10,10,8,,40,,,95.3,126
MINIMUM,,,9,,,7,,,10,10,1,,40,,,92.3,126
TAMPA FLA,55,,,,,,,,,,,,,,,94.0,126
NUMBER OF SAMPLES,,2,1,1,3,2,1,2,2,3,1,2,1,,,93.5,126
MAXIMUM,,,5,,1,,,,10,7,2,,,,,94.7,126
AVERAGE,,,5,,,,,,7,5,2,,,,,93.6,126
MINIMUM,,,5,,,,,,4,3,2,,,,,92.0,126
ATLANTA GA,55 56,,,,,,,,,,,,,,,93.0,126
NUMBER OF SAMPLES,,1,1,3,2,1,1,3,1,,1,1,1,,,94.1,126
MAXIMUM,,10,6,10,5,2,2,20,3,,10,7,5,,,95.0,126
AVERAGE,,10,6,4,2,2,2,6,3,,10,,5,,,95.4,126
MINIMUM,,10,6,2,,2,2,,3,,10,7,5,,,89.9,126
CHATTANOOGA TENN,55 56,,,,,,,,,,,,,,,94.0,126
NUMBER OF SAMPLES,,1,5,3,2,2,,1,4,,5,3,2,,,95.5,126
MAX1MUM,,,3,2,2,10,,2,3,20,9,2,30,,,92.8,126
AVERAGE,,,1,1,1,6,,2,1,6,4,,15,,,94.3,126
MINIMUM,,,,,,2,,2,,,,,,,,95.3,126
CHICAGO MLL,55,,,,,,,,,,,,,,,77.0,126
NUMBER OF SAMPLES,,2,3,6,3,8,11,9,6,4,10,10,5,,,95.4,126
MAXIMUM,,,100,9,10,60,70,8,8,80,40,20,9,,,94.3,126
AVERAGE,,,36,4,6,14,16,1,2,25,7,4,5,,,94.9,126
MINIMUM,,,3,,,,2,,,4,,,,,,94.0,126
EAST ST LOU 1s PEL,55 56,,,,,,,,,,,,,,,80.6,126
NUMBER OF SAMPLES,,4,2,2,2,2,3,1,4,3,1,2,3,,,95.9,126
MAXIMUM,,9,6,50,10,20,6,10,10,6,2,7,7,,,94.2,126
AVERAGE,,5,3,27,7,11,3,10,5,4,2,6,5,,,94.8,126
MINIMUM,,,,4,5,2,2,10,4,,2,5,4,,,87.7,126
EA ST CHICAGO mm,55 56,,,,,,,,,,,,,,,76.5,126
NUMBER OF SAMPLES,,6,5,14,7,4,6,10,5,7,6,8,8,,,94.1,126
MAXIMUM,,10,10,120,70,30,20,10,20,30,50,50,40,,,94.9,126
AVERAGE,,6,4,23,21,20,9,5,8,11,22,9,11,,,94.0,126
MiNi MUM,,3,,,4,10,,,1,2,6,,,,,81.8,126
cl NC INNATI OHIO,55,,,,,,,,,,,,,,,33.4,126
NUMBER OF SAMPLES,,2,,2,2,2,2,2,3,2,2,2,2,,,95.3,126
MAXIMUM,,10,,20,9,9,9,,20,8,39,9,20,,,95.3,126
AVERAGE,,5,,1i,7,5,6,8,,4,,,14,,,94.6,126
MINIMUM,,,,2,6,2,3,7,5,,4,,8,,,95.6,126
YOUNGSTOWN OHIO,57,,,,,,,,,,,,,,,77.3,126
NUMBER OF SAMPLES,,,,1,2,1,,2,2,1,2,,,,,95.5,126
MAX MUM,,,,39,68,54,29,42,52,35,75,,,,,95.2,126
AVERAGE,,,,39,S1,54,29,38,52,35,67,,,,,93.0,126
MINIMUM,,,,39,34,54,29,34,52,35,60,,,,,86.6,126
Mt LWAUKEE wiS,57,,,,,,,,,,,,,,,75.5,126
NUMBER OF SAMPLES,,2,2,2,3,2,1,2,2,2,1,,,,,95.7,126
MUM,,41,88,35,70,41,,25,21,37,22,,,,,94.8,126
AVERAGE,,40,44,17,38,34,,22,19,30,22,,,,,95.4,126
MINIMUM,,39,,,17,27,,19,18,24,22,,,,,94.1,126
Mt NNEAPOLIS MINN,54 55,,,,,,,,,,,,,,,87.4,126
NUMBER OF SAMPLES,,1,1,1,1,,2,,5,4,3,2,1,,,92.9,126
MAXIMUM,,,2,7,2,,2,,4,2,5,6,2,,,95.1,126
AVERAGE,,6,2,7,2,,1,,1,1,1,3,2,,,94.8,126
MINIMUM,,6,2,7,2,,,,,,,,2,,,86.5,126
KA NSAS CITY MO,55 56,,,,,,,,,,,,,,,90.8,126
NUMBER OF SAMPLES,,4,2,3,3,3,2,2,4,1,1,1,1,,,94.0,126
MAXIMUM,,4,21,20,2,2,6,1,6,3,2,,10,,,92.7,126
AVERAGE,,2,12,8,,,4,,3,3,2,,10,,,95.2,126
MINIMUM,,,3,2,,,3,,,3,2,,10,,,86.1,126
LOUIS MO,55 56,,,,,,,,,,,,,,,85.5,126
NUMBER OF SAMPLES,,2,,,2,3,2,2,3,1,1,3,2,,,93.5,126
MAXIMUM,,4,5,,4,2,3,8,10,5,3,3,20,,,93.8,126
AVERAGE,,3,5,,2,1,2,4,5,5,3,1,14,,,95.2,126
MiNITMUM,,2,5,,,,2,,2,5,3,,8,,,88.5,126
NEW ORLEANS LA,54 55,,,,,,,,,,,,,,,94.6,126
NUMBER OF SAMPLES,,2,3,3,4,4,4,6,4,4,4,5,3,,,95.7,126
MAXIMUM,,,2,,,,3,7,2,9,5,2,2,,,90.9,126
AVERAGE,,,,,,,,1,1,4,3,1,,,,95.3,126
MINIMUM,,,,,,,,,,,1,,,,,87.0,126
HOUSTON TEXAS,54 55,,,,,,,,,,,,,,,92.8,126
NUMBER OF SAMPLES,,,5,6,4,5,6,7,3,6,6,9,7,,,93.4,126
MAX1 MUM,,,10,,3,8,10,10,10,30,9,5,20,,,92.9,126
AVERAGE,,,3,4,2,4,5,4,5,10,2,2,5,,,94.3,126
MINIMUM,,,,,,2,,,3,,,,2,,,90.5,126
BELLA IRE TEXAS,,,,,,,,,,,,,,,,49.7,127
NUMBER OF SAMPLES,,3,2,3,2,2,2,2,3,3,4,2,3,,,95.6,127
MAX I MUM,,10,2,1,,,,10,30,9,4,2,3,,,92.0,127
AVERAGE,,3,1,,,,,10,23,4,2,1,2,,,95.8,127
MIN 1 MUM,,,,,,,,10,9,2,2,,2,,,90.9,127
DENVER COL,54 55,,,,,,,,,,,,,,,94.5,127
NUMBER OF SAMPLES,,2,2,2,2,2,2,2,2,2,2,1,2,,,94.3,127
MAX MUM,,10,10,3,3,3,3,10,3,,3,3,,,,94.9,127
AVERAGE,,5,6,3,1,3,1,6,1,,3,3,,,,95.7,127
MIN I MUM,,,2,3,,3,,3,,,3,3,,,,88.4,127
SA LT LAKE CITY UTAH,54 55,,,,,,,,,,,,,,,93.3,127
NUMBER OF SAMPLES,,,2,2,2,2,2,2,2,2,2,2,3,,,95.2,127
MAX MUM,,100,90,20,7,20,20,10,20,10,10,100,10,,,94.6,127
AVERAGE,,46,60,,5,11,10,8,15,10,,60,10,,,94.6,127
MIN 1 MUM,,10,30,3,4,3,,7,10,10,6,20,10,,,88.2,127
AN CHORAGE ALASKA,54 55,,,,,,,,,,,,,,,92.8,127
NUMBER OF SAMPLES,,,1,2,2,,4,,1,,,1,1,,,94.7,127
MAX I MUM,,,,,7,,20,,10,,,,,,,86.7,127
AVERAGE,,,,,4,,8,,10,,,,,,,95.8,127
MIN I MUM,,,,,2,,3,,10,,,,,,,86.5,127
SA N FR NC ISCO CALIF,55 96,,,,,,,,,,,,,,,68.6,127
NUMBER OF SAMPLES,,3,2,2,1,3,2,5,2,3,3,,1,,,95.1,127
MAX I MUM,,2,3,2,5,5,6,4,2,3,,2,,,,90.7,127
AVERAGE,,1,1,1,5,2,3,1,1,1,,,,,,93.7,127
MIN 1 MUM,,,,,5,1,,1,,,,,,,,81.3,127
PA SAD ENA CALIF,55 56,,,,,,,,,,,,,,,92.5,127
NUMBER OF SAMPLES,,2,2,1,3,3,2,3,,2,2,,,,,94.0,127
MAX I MUM,,5,4,2,6,3,,3,,4,3,,,,,87.5,127
AVERAGE,,4,2,2,3,1,,2,,,2,,,,,95.9,127
MIAN MUM,,3,,2,2,,,1,,3,1,,,,,87.5,127
SA N J OSE CALIF,55 56,,,,,,,,,,,,,,,93.0,127
NUMBER OF SAMPLES,,1,2,2,,3,3,3,3,2,1,2,3,,,95.0,127
MAX t MUM,,1,,,,2,2,2,7,9,2,,2,,,92.5,127
AVERAGE,,,,,,1,,1,4,8,2,,,,,95.5,127
MIN J MUM,,1,,,,,,,3,8,2,,,,,85.9,127
SAN L,55,,,,,,,,,,,,,,,68.7,127
NUMBER OF SAMPLES,,3,1,2,1,1,2,4,4,1,3,7,1,,,94.5,127
MAX I MUM,,2,2,3,2,5,20,8,20,5,10,8,,,,89.0,127
AVERAGE,,2,2,2,2,,15,4,8,5,6,3,,,,95.5,127
MIN I MUM,,2,2,2,2,5,10,,4,5,2,1,,,,89.8,127
PORTLAND OREGON,54 55,,,,,,,,,,,,,,,94.2,127
NUMBER OF SAMPLES,,1,,3,1,,,2,7,5,1,,,,,94.3,127
MAX MUM,,10,,8,,,,10,20,10,20,,,,,95.2,127
AVERAGE,,10,,3,,,,7,12,4,20,,,,,93.9,127
MIN MUM,,10,,,,,,5,4,1,20,,,,,89.7,127
SE ATTLE WASH,57,,,,,,,,,,,,,,,92.2,127
NUMBER OF SAMPLES,,2,2,1,2,3,2,2,2,3,1,,,,,94.5,127
MAX MUM,,52,52,51,30,45,30,27,22,59,26,,,,,91.7,127
AVERAGE,,48,41,51,29,35,26,24,19,39,26,,,,,90.4,127
MIN I MUM,,45,30,51,29,26,22,,17,19,26,,,,,88.9,127
SUBURBAN,,,,,,,,,,,,,,,,95.0,127
M1 ODLESEX CNTY MASS,55,,,,,,,,,,,,,,,82.2,127
NUMBER OF SAMPLES,,2,1,2,,1,3,2,3,3,1,2,3,,,93.6,127
MAX I MUM,,,1,5,,,2,,,2,2,2,2,,,90.5,127
AVERAGE,,,,3,,,,,,,2,1,,,,95.2,127
MIN J MUM,,,1,1,,,,,,,2,,,,,82.0,127
LA KEHURST N J,55,,,,,,,,,,,,,,,93.4,127
NUMBER OF SAMPLES,,2,1,2,2,2,1,1,,2,1,2,1,,,94.9,127
MAX 1 MUM,,,,,,,,,,,,,,,,78.7,127
AVERAGE,,,,,,,,,,,,,,,,95.0,127
MIN l MUM,,,,,,,,,,,,,,,,59.7,127
KA NAWHA co W VA,55,,,,,,,,,,,,,,,80.3,127
NUMBER OF SAMPLES,,1,3,2,,2,1,3,1,,2,1,1,,,93.7,127
MAX I MUM,,,8,2,,10,,,2,,3,,,,,83.1,127
AVERAGE,,,2,1,,6,,,2,,1,,,,,92.2,127
MIN t MUM,,,,1,,2,,,2,,,,,,,85.2,127
DENVER COUNTY COLO,54 55,,,,,,,,,,,,,,,86.6,127
NUMBER OF SAMPLES,,,1,1,1,,,1,,2,2,1,1,,,94.0,127
MAX MUM,,,1,,,,,,,1,2,2,2,,,95.4,127
AVERAGE,,,1,,,,,,,,1,2,2,,,88.6,127
MIN I MUM,,,1,,,,,,,,,2,2,,,83.8,127
