Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,83.5,96
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,,,3,2,,,94.2,96
MAXIMUM,,262,268,279,383,324,111,183,151,183,272,290,300,,,93.4,96
AVERAGE,,184,241,214,240,200,94,156,116,183,206,256,290,,,92.2,96
MINIMUM,,107,215,162,145,111,TT,129,T4,185,134,222,260,,,87.2,96
BOSTON MASS,,,,,,,,,,,,,,,,86.5,96
NUMBER OF SAMPLES,,120,2,5,1,1,2,2,4,1,,2,1,,,93.4,96
MAXIMUM,,,139,150,59,64,87,,144,38,122,159,153,,,94.3,96
AVERAGE,,77,126,106,59,64,69,80,105,38,107,143,153,,,91.8,96
MUM,,35,114,65,59,64,52,80,60,38,92,127,153,,,94.5,96
EVERETT MASS,55,,,,,,,,,,,,,,,82.3,96
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,90.5,96
MAXIMUM,,173,115,109,35,225,98,65,88,85,80,130,,,,94.2,96
AVERAGE,,101,82,732,35,145,60,49,82,76,80,130,170,,,92.4,96
MINIMUM,,,62,50,35,65,32,35,76,68,80,130,130,,,87.6,96
MANCHESTER WN H,57,,,,,,,,,,,,,,,84.5,96
NUMBER OF SAMPLES,,,1,2,2,2,1,1,2,1,2,1,2,,,93.9,96
MAXI MUM,,,59,99,104,135,98,31,124,85,273,90,113,,,85.2,96
AVERAGE,,,59,96,88,99,98,31,109,85,234,90,67,,,95.0,96
MiNi MUM,,,59,94,72,64,98,31,94,85,195,90,22,,,78.5,96
ELIZABETH W J,55 56,,,,,,,,,,,,,,,88.4,96
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,95.8,96
MAXIMUM,,120,1321,291,330,125,,115,119,101,,186,258,,,91.5,96
AVERAGE,,101,101,163,189,125,,115,106,101,,186,208,,,94.9,96
MINIMUM,,90,61,9,123,125,,115,93,101,,186,159,,,87.3,96
PAULSBORO N J,55 56,,,,,,,,,,,,,,,91.8,96
NUMBER OF SAMPLES,,2,4,3,5,2,1,4,1,,,,1,,,93.2,96
MAXIMUM,,294,404,434,255,133,226,201,99,,175,,93,,,94.5,96
AVERAGE,,247,269,237,185,109,,161,99,,172,,93,,,94.0,96
Mtn MUM,,201,167,56,7,8s,226,120,99,,169,,93,,,83.3,96
CAMDEN N J,55 56,,,,,,,,,,,,,,,87.2,96
NUMBER OF SAMPLES,,3,3,3,2,,1,1,2,3,2,,2,,,93.3,96
MAXIMUM,,297,327,269,131,,81,129,139,189,168,,225,,,92.5,96
AVERAGE,,260,275,204,122,,81,129,75,134,125,,196,,,92.0,96
MINIMUM,,223,1953,85,114,,81,129,11,79,79,,167,,,83.5,96
PERTH AMBOY SAMPLES,55 56,,,,,,,,,,,,,,,73.8,96
NUMBER OF,,3,1,4,5,,,1,2,,2,3,2,,,95.2,96
MAXIMUM,,189,91,277,298,,,100,99,,169,249,147,,,94.2,96
AVERAGE,,119,91,154,147,,,100,86,,154,166,122,,,94.6,96
MINIT MUM,,as,91,5,48,,,100,73,,139,120,98,,,75.5,96
TRENTON W J,55 56,,,,,,,,,,,,,,,91.8,96
NUMBER OF SAMPLES,,3,2,1,1,1,1,2,1,,1,1,3,,,95.5,96
MAXIMUM,,187,380,90,64,64,84,180,108,,249,276,324,,,93.9,96
AVERAGE,,163,246,90,64,64,84,175,108,,249,276,180,,,93.7,96
,,151,112,90,64,64,B84,171,108,,249,276,94,,,90.5,96
JERSEY CITY Wood,56,,,,,,,,,,,,,,,80.8,96
NUMBER OF SAMPLES,,2,25 3,4,4,,2,2,2,1,,1,2,,,93.2,96
MAXIMUM,,200,,366,180,,,197,208,159,,270,318,,,89.2,96
AVERAGE,,160,233,248,144,,144,194,172,159,,270,265,,,94.1,96
,,121,205,167,114,,132,191,136,159,,270,212,,,93.1,96
NEW YORK WN Y,54 57,,,,,,,,,,,,,,,86.7,96
NUMBER OF SAMPLES,,5,7,8,8,5,9,7,5,6,510,7,7,,,92.7,96
MAXI MUM,,465,308,406,348,237,340,361,260,370,,4as,383,,,87.1,96
AVERAGE,,299,2453,215,170,169,228,305,177,250,339,303,266,,,90.5,96
