Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,,22,60,440011544,,,459,550,724,,,,2793,4009,,,87.4,215
,1,,,,3900,4355,,,22,42,,,,3070,3567,,,93.0,215
,1,55 56,36,40,,429,63,186,40,550,,,,2977,3512,,,93.4,215
BOSTON MASS,1,55,23,,46,16,,1,,,13,20,22,29,41,,,90.6,215
EVERETT MASS,1,55,26,,1100,128,,9,10,20,41,96,108,124,223,,,94.9,215
ELIZABETH WN J,1,55 56,20,7,290,72,9,10,18,29,44,63,90,,155,,,91.3,215
PAULSBORO N J,1,55 56,23,,180,54,9,15,17,22,37,53,69,75,146,,,93.5,215
CAMDEN N J,1,55 536,19,it,350,80,13,22,26,37,49,53,,129,iss,,,91.3,215
PERTH AMBOY N J,1,55 56,21,,2100,iss,6,20,26,34,41,44,63,129,iss,,,90.4,215
TRENTON N oJ,1,55 56,16,,380,74,5,,18,29,37,42,44,155,171,,,88.6,215
JERSEY CITY N od,1,55 56,22,3,699,82,4,17,26,31,41,53,75,108,146,,,90.0,215
NEW YORK N Y,2,55 56,20,16,4600,998,41,85,108,171,205,223,,,4009,,,91.2,215
,3,54 55,18,6,4300,371,22,31,34,63,129,198,223,245,320,,,94.7,215
,,54 56,38,6,4600,693,29,37,83,129,186,208,267,867,1946,,,94.8,215
PHELADELPHIA PA,1,55,94,,370,57,12,16,23,28,32,39,,86,129,,,91.1,215
,1,56,1i,14,180,73,15,31,37,44,75,83,,108,i29,,,90.9,215
,1,55 56,105,,370,58,13,17,25,29,34,46,68,90,129,,,91.2,215
,4,56,11,3,2800,430,3,16,17,18,53,75,32,659,945,,,93.6,215
,5,56,9,,260,71,1,22,26,34,37,37,53,119,,,,93.9,215
,6,,11,,160,65,1,,22,49,63,75,,119,129,,,91.1,215
,7,56,11,,4400,466,1,26,31,44,53,83,,155,267,,,94.9,215
,,55,94,,370,57,12,16,23,28a,32,39,,86,129,,,93.3,215
,,56,53,,4400,227,9,22,33,44,53,75,,125,267,,,94.2,215
,,56,147,,4400,118,12,17,25,31,38,Si,74,108,150,,,93.6,215
ALTOONA PA,1,56,13,,110,36,1,20,20,21,29,31,41,44,75,,,95.1,215
BRISTOL PA,1,55 56,i8,,580,84,7,11,12,16,,53,,63,223,,,91.3,215
CHESTER PA,1,55 56,18,,390,105,6,17,18,31,44,58,75,155,320,,,94.3,215
ERIE PA,1,56,25,,100,32,1,,10,19,28,31,44,58,83,,,91.5,215
PITTSBURGH PA,1,56,21,,5950,136,22,29,31,56,75,90,155,267,320,,,90.9,215
WILLEAMSPORT PA,1,55 56,23,,130,43,5,19,22,29,41,47,53,60,90,,,94.3,215
WASHINGTON OC,2,55 56,17,10,140,45,20,22,31,39,42,43,47,53,63,,,93.8,215
,,,,,,,,1,,,,,,,,,,87.0,215
LOUISVELLE KY,1,54,17,,540,60,,,,,,22,31,90,142,,,90.6,215
,1,55,21,12,170,66,13,22,29,31,58,63,75,119,155,,,94.5,215
,1,54 55,38,,540,63,1,,13,27,30,56,69,90,146,,,95.0,215
,2,54,13,,180,42,1,6,,10,26,29,31,53,155,,,94.1,215
,2,55,10,6,100,50,6,20,22,31,44,63,75,83,90,,,93.5,215
,2,54 55,23,,180,46,1,6,19,22,29,44,58,75,108,,,92.2,215
,,54,31,,540,51,,1,,,20,27,31,63,146,,,90.0,215
,,55,31,6,170,61,13,21,28,31,,63,75,90,129,,,93.5,215
,,54 55,62,,540,56,1,6,15,26,29,49,61,86,142,,,93.1,215
BALTIMORE MD,1,57,18,,170,61,1,41,44,49,53,63,75,83,108,,,92.1,215
CHARLESTON W VA,4,55,16,,40,13,1,7,,,,10,19,21,22,,,94.1,215
TAMPA FLA,1,55,21,,70,16,,1,,,10,13,20,22,31,,,93.9,215
ATLANTA GA,1,55 56,16,4,3200,374,,22,44,58,69,90,186,459,659,,,92.1,215
CHATTANOOGA TENN,3,55,14,,68,27,1,,,19,21,22,44,49,63,,,93.6,215
,,55,17,10,170,56,10,19,22,31,42,44,,119,129,,,93.3,215
,4,55 56,,4,170,53,10,19,21,29,39,44,5,63,129,,,93.5,215
,,55,31,,170,43,6,10,19,21,31,42,49,58,119,,,95.1,215
,,55 56,32,,170,42,4,,19,21,29,41,46,58,119,,,95.0,215
CHICAGO ILL,1,55,28,10,1900,246,21,42,58,75,108,155,178,285,550,,,90.6,215
,,,,,,,,3,,,,,,,,,,77.0,215
,2,5.5,20,30,4900,,44,5,90,129,238,267,383,,52011624,,,92.3,215
,4,55,29,7,4700,838,10,38,43,90,155,267,,1356,3 346,,,94.1,215
,,55,77,7,4900,558,21,41,58,90,145,223,309,,1785,,,92.5,215
,,55,77,7,4900,558,21,41,58,90,145,223,309,,1785,,,94.8,215
EAST ST LOUIS PEL,1,55 56,15,70,3500,687,90,108,129,142,186,294,383,945,,,,88.6,215
,,55 56,14,20,710,152,22,29,31,83,90,119,142,i55,459,,,93.1,215
,,55 56,29,20,3500,429,29,75,90,119,136,149,186,383,945,,,94.9,215
EAST CHICAGO,1,55 56,19,7,4300,629,20,67,75,119,171,186,2253,,,,,93.2,216
,2,55 536,26,7,1300,244,15,31,90,108,163,186,245,302,,,,92.1,216
,3,55 56,21,9,1470,211,15,44,66,72,83,90,122,155,5590,,,93.2,216
,4,55 56,20,7,5000,336,22,31,55,59,63,83,108,171,223,,,89.9,216
,,55 56,86,7,5000,343,21,44,66,77,104,142,182,294,659,,,92.2,216
CINCINNATI,1,55,22,6,2400,576,15,63,129,186,320,408,,,,,,92.7,216
YOUNGSTOWN OHIO,1,57,i2,53,320,128,53,58,90,108,115,122,129,205,223,,,93.1,216
MILWAUKEE WIs,1,,19,,140,45,,,1,1,53,56,63,83,129,,,91.3,216
MINNEAPOLIS MIEANN,1,54 55,21,,90,30,9,10,10,,29,31,40,43,53,,,90.8,216
KANSAS CITY MO,2,55 56,18,25,2900,238,31,39,432,53,63,75,90,99,223,,,93.1,216
,4,55 56,9,,140,24,1,3,5,9,10,10,10,20,22,,,94.9,216
,,55 56,27,,2900,167,5,10,22,37,44,58,75,99,155,,,95.6,216
ST LOUIS MO,1,55 56,23,io,420,144,44,63,79,86,108,142,198,223,294,,,90.7,216
NEW ORLEANS LA,1,54 55,24,,100,14,,1,1,2,3,6,7,10,63,,,95.0,216
,2,54 35,22,,430,30,,,1,,5,9,10,29,44,,,92.9,216
,,54,46,,430,22,,,1,1,5,7,10,21,44,,,95.8,216
FT WORTH TEXAS,1,55,24,,40,8,,,1,1,,5,9,10,31,,,94.5,216
HOUSTON TEXAS,1,54,8,,110,32,1,1,1,5,6,6,22,22,119,,,95.6,216
,1,55,56,,300,52,,10,20,24,31,49,54,62,129,,,90.1,216
,1,54 55,64,,300,49,5,8,13,22,29,46,54,62,129,,,94.1,216
BELLAIRE TEXAS,1,54 55,31,,94,25,1,3,6,,12,13,22,44,85,,,93.5,216
OENVER COL,1,54 55,23,6,290,79,10,29,31,s0,58,63,,115,155,,,92.0,216
SALT LAKE CIETY UTAH,2,54 55,30,8,260,66,9,,29,42,53,61,69,119,146,,,93.8,216
ANCHORAGE ALASKA,1,54 55,21,,642,72,1,1,9,10,19,22,44,63,186,,,92.2,216
SAWN FRANCISCO CALIF,1,55,17,,30,5,,,,1,1,1,3,10,20,,,93.3,216
,1,56,15,,60,11,1,1,3,4,5,6,9,10,44,,,94.3,216
,1,55 56,32,,60,8,,,1,1,3,4,7,10,22,,,95.3,216
PASADENA CALIF,1,55 56,20,,70,33,7,10,27,28,30,31,44,50,63,,,92.0,216
SAN JOSE CALIF,1,54 56,26,,690,67,7,9,19,22,37,44,49,63,90,,,95.2,216
SAN LEANDRO CALIF,1,55 56,30,10,950,160,39,49,57,63,79,90,129,155,489,,,92.6,216
PORTLAND OREGON,1,54,1,760,760,760,,,,,789,789,789,789,789,,,94.5,216
,1,55,19,10,890,243,22,44,63,90,155,186,302,383,605,,,95.2,216
,1,54 s5,20,10,B90,269,22,44,63,90,,,320,,659,,,87.6,216
SEATTLE WASH,1,57,20,46,170,78,,58,61,66,72,78,84,90,119,,,93.7,216
