Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,90.0,133
NUMBER OF SAMPLES,,,2,4,,3,3,3,4,1,,3,2,,,95.7,133
MAXIMUM,,10,10,10,70,20,9,20,10,10,20,30,20,,,94.7,133
AVERAGE,,5,7,8,22,11,7,13,6,10,,19,20,,,92.2,133
MiN MUM,,,5,6,5,7,6,10,1,10,7,8,20,,,88.5,133
BOSTON MASS,55,,,,,,,,,,,,,,,94.7,133
NUMBER OF SAMPLES,,1,2,4,,1,150,2,4,1,2,2,1,,,95.8,133
MAXIMUM,,53,34,60,240,180,,450,300,110,90,130,120,,,93.8,133
AVERAGE,,53,34,47,240,180,125,305,157,110,85,105,120,,,95.1,133
MINItTMUM,,53,34,40,240,180,100,160,60,110,80,80,120,,,89.9,133
EVERETT WAS,55,,,,,,,,,,,,,,,90.7,133
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,,1,2,,,94.4,133
MAXIMUM,,50,80,590,550,380,160,90,310,100,50,150,,,,87.2,133
AVERAGE,,26,53,40,550,235,93,80,185,85,50,150,295,,,93.7,133
MINIMUM,,10,30,30,550,90,50,70,60,70,50,150,80,,,92.9,133
EL N J,55 56,,,,,,,,,,,,,,,92.0,133
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,95.3,133
MAXIMUM,,40,30,216,90,510,,40,9,5,,30,35,,,89.0,133
AVERAGE,,21,20,105,68,510,,40,4,5,,30,32,,,95.3,133
,,10,10,40,46,510,,40,,5,,30,30,,,94.7,133
PA ULSBORO WN J,55 56,,,,,,,,,,2,,,,,88.7,133
NUMBER OF SAMPLES,,2,4,3,5,2,1,4,1,,,,,,,94.9,133
MAXIMUM,,19,140,82,168,70,38,77,55,,97,,75,,,90.1,133
AVERAGE,,17,59,48,87,56,38,47,55,,64,,75,,,82.7,133
MINIMUM,,16,7,25,45,43,38,21,55,,32,,75,,,92.5,133
CA MOEN N J,65 56,,,,,,,,,,,,7,,,84.6,133
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,,,,93.8,133
MAXIMUM,,40,1500,93,89,,67,30,47,55,60,,27,,,94.7,133
AVERAGE,,30,557,60,68,,67,30,45,40,39,,24,,,93.8,133
MINIMUM,,21,13,42,47,,67,30,43,29,18,,22,,,91.9,133
PE RTH AMBOY NJ,55 56,,,,,,,,,,,,,,,86.2,133
NUMBER OF SAMPLES,,3,,4,5,,,1,2,,2,,,,,92.6,133
MAXIMUM,,27,88,120,120,,,31,60,,94,72,63,,,91.1,133
AVERAGE,,22,88,88,80,,,31,45,,78,45,45,,,93.9,133
MINIMUM,,17,88,33,53,,,31,31,,62,24,28,,,92.6,133
TR ENTON AW J,55 56,,,,,,,,,,,,,,,90.2,133
NUMBER OF SAMPLES,,3,,1,1,1,1,2,1,,1,1,3,,,92.5,133
MAXIMUM,,32,54,38,115,70,31,49,28,,,40,68,,,94.6,133
AVERAGE,,26,45,38,115,70,31,43,28,,550,40,42,,,92.8,133
MINIMUM,,18,36,38,115,70,31,37,28,,,40,24,,,91.1,133
JERSEY CITY N OJ,35 56,,,,,,,,,,,1,,,,80.7,133
NUMBER OF SAMPLES,,2,3,4,4,,2,2,160,1,,,,,,95.5,133
MAXIMUM,,55,1200,220,74,,130,38,,32,,19,30,,,94.5,133
AVERAGE,,46,481,91,50,,100,26,95,32,,19,26,,,93.9,133
,,38,73,29,25,,70,14,30,32,,19,22,,,95.5,133
NEW YORK N,54 56,,,,,,,,,,,,,,,93.2,133
NUMBER OF SAMPLES,,4,5,4,8,5,10,,5,6,6,7,7,,,95.0,133
MAXIMUM,,39,23,31,94,76,39,20,20,35,69,30,102,,,93.0,133
AVERAGE,,26,15,22,40,20,,9,11,15,24,13,24,,,95.3,133
MINIMUM,,16,4,10,6,,7,,1,7,1,,7,,,89.3,133
PHILADELPHI A PA,54 56,,,,,,,,,,,,,,,90.0,133
NUMBER OF SAMPLES,,20,16,14,15,19,12,13,13,10,8,8,9,,,95.3,133
MAXIMUM,,242,321,i73,67,110,58,31,34,37,2,5,70,,,93.8,133
AVERAGE,,21,39,17,11,10,11,5,7,7,,1,8,,,93.8,133
MINIMUM,,,,2,,2,3,,,,,,,,,90.8,133
ALTOONA PA,56,,,,,,,,,,,,,,,95.7,133
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,95.1,133
MAXIMUM,,,1100,630,1900,640,,,510,250,,2300,,,,92.8,133
AVERAGE,,,1100,630,1450,463,,,510,225,325,2300,,,,95.1,133
