Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,,,,,10,,1,1,6,7,8,,,22,,,93.2,188
,1,56,22,,10,3,,,1,1,1,3,4,7,9,,,94.7,188
,1,55 56,36,,40,5,,,1,1,3,6,7,9,10,,,91.9,188
BOSTON MASS,1,55,23,,30,2,,,,1,1,1,,1,7,,,93.6,188
EVERETT MASS,1,55,26,,100,21,,1,1,1,5,9,10,22,100,,,92.7,188
ELIZABETH N J,1,56,21,,3,,,,,1,1,1,,1,2,,,91.6,188
PAULSBORO N J,1,55 56,25,,3,,,,,,1,1,,1,1,,,93.9,188
CAMDEN N J,1,55 56,21,,11,1,,,,,1,1,1,1,2,,,91.1,188
PERTH AMBOY N J,1,55 56,23,,18,2,,,,1,1,1,1,2,8,,,94.7,188
TRENTON N J,1,55 56,17,,2,,,,,1,1,1,1,1,1,,,91.3,188
JERSEY CITY N J,,55 56,23,,22,2,,,,1,1,1,1,1,7,,,94.2,188
NEW YORK WN Y,2,54 56,50,,340,17,1,1,2,3,,9,16,21,27,,,94.1,188
,3,54 55,25,,17,3,,1,1,1,2,3,4,6,8,,,94.8,188
,,54 56,76,,340,12,1,1,2,2,3,6,9,16,24,,,94.9,188
PA,1,54,,,84,17,,,1,1,1,7,7,10,10,,,93.5,188
,1,55,94,,99,8,,1,3,4,5,6,8,13,20,,,95.5,188
,1,56,11,,18,7,1,1,4,5,6,8,9,14,15,,,95.5,188
,1,54 56,111,,99,8,,1,3,4,5,6,9,14,19,,,95.4,188
,3,54,,,48,12,,,,1,1,1,1,1,52,,,95.4,188
,4,56,11,,510,62,1,1,5,5,10,10,25,59,67,,,93.5,188
,5,56,,,20,5,,1,1,1,5,,6,6,8,,,95.1,188
,,36,11,,130,16,,1,1,1,6,7,7,15,17,,,92.2,188
,,56,11,,67,9,,,1,1,6,6,7,9,9,,,91.0,188
,,54,10,,84,15,,,1,1,1,1,7,10,52,,,91.1,188
,,55,94,,99,8,,1,3,4,5,6,8,13,20,,,95.8,188
,,56,53,,510,20,,1,1,5,6,7,8,14,25,,,92.8,188
,,54 56,157,,510,13,,1,1,4,5,6,8,14,21,,,94.7,188
ALTOONA PA,1,56,13,,6,,,,,,1,1,1,1,4,,,95.2,188
BRISTOL PA,1,55 56,18,,23,3,,,,1,1,1,4,4,8,,,94.8,188
CHESTER PA,1,55 56,18,,23,4,,,1,1,1,3,5,7,12,,,95.2,188
ERIE PA,1,56,25,,20,3,,,1,1,1,3,4,5,8,,,95.4,188
PITTSBURGH PA,1,56,21,,80,13,1,1,3,4,5,7,20,22,31,,,92.0,188
WILLIAMSPORT PA,1,55 56,23,,10,2,,,1,1,1,3,4,4,7,,,91.3,188
WASHINGTON OC,1,54,26,,16,3,,,1,1,1,3,4,6,6,,,95.3,188
,2,55 56,20,,30,5,,,1,1,2,5,6,9,10,,,94.7,188
,,54 56,46,,30,4,,,,1,1,3,5,6,9,,,94.7,188
LOUISVILLE KY,1,54,22,,29,10,1,2,6,6,7,10,13,20,21,,,94.6,188
,1,55,21,,20,6,,1,1,1,6,6,10,12,15,,,94.3,188
,1,54 55,43,,29,8,,1,5,5,6,9,12,14,21,,,95.4,188
,2,54,13,,30,9,4,,5,5,8,8,9,10,22,,,95.4,188
,2,55,10,,30,8,,1,1,1,7,9,9,17,19,,,94.2,188
,2,54 55,23,,30,9,1,4,5,5,8,9,9,10,22,,,94.2,188
,3,54,,,50,10,,,1,1,1,1,2,2,52,,,93.1,188
,,54,40,,50,10,1,2,5,5,7,9,10,20,22,,,92.2,188
,,55,31,,30,7,,1,1,1,6,7,10,15,19,,,91.8,188
,,54 55,71,,50,8,,1,4,5,6,8,10,15,21,,,92.3,188
BALTIMORE MOD,1,57,18,,10,5,3,3,4,4,4,,,6,7,,,92.6,188
CHARLESTON W VA,1,54,11,,3,,,,,1,1,1,1,2,2,,,94.1,188
,4,55,16,,100,6,,,,,1,1,1,1,1,,,95.3,188
,,54 55,27,,100,4,,,,,1,,1,1,2,,,93.6,188
TAMPA FLA,1,54 55,31,,9,1,,,,1,1,1,1,3,4,,,94.5,188
ATLANTA GA,1,54 56,26,,100,15,,1,1,3,6,8,10,22,41,,,95.1,188
CHATTANOOGA TENN,3,55,14,,25,6,,1,1,3,4,4,8,10,19,,,94.5,188
,4,55 56,18,,30,6,1,1,2,3,5,6,8,8,10,,,95.3,188
,,55,32,,30,6,,1,2,3,4,5,7,10,19,,,93.3,188
CHICAGO PEL,,,,,,1,,,,1,1,1,1,1,3,,,90.4,189
,,55,28,,100,16,1,5,8,9,9,10,20,21,22,,,93.0,189
,,54 55,32,,100,14,1,1,,8,9,10,19,21,22,,,95.1,189
,,,,,,,,,,,,,9,,,,,90.0,189
,2,54,30,1,40,8,3,4,4,5,6,,,10,17,,,95.8,189
,2,55,26,,100,18,4,6,8,9,10,15,20,22,25,,,95.6,189
,2,54 55,36,,100,13,3,4,6,7,9,10,10,20,22,,,89.8,189
,3,54,3,,1,,,,,,1,1,,1,1,,,93.9,189
,4,35,29,,100,22,1,5,7,9,10,21,30,32,52,,,91.9,189
,,54,37,,40,7,1,1,3,4,5,6,,10,15,,,94.3,189
,,55,83,,100,19,1,6,7,9,10,19,21,25,41,,,94.9,189
,,54,120,,100,15,1,4,5,7,9,10,19,ei,32,,,92.2,189
EAST ST LOUIS PEL,1,55 56,15,,40,1i,4,4,5,5,8,9,10,21,32,,,91.6,189
,2,55 56,14,,10,2,,,1,1,1,3,4,4,9,,,92.2,189
,,56,29,,40,7,,1,3,4,4,5,8,9,21,,,95.1,189
EAST CHICAGO IND,1,55 56,19,,200,24,3,4,5,7,10,20,,29,32,,,92.9,189
,2,55 56,26,,60,22,5,7,9,10,20,22,30,38,41,,,95.0,189
,3,55 56,21,,20,10,1,3,4,5,8,10,19,20,,,,95.1,189
,4,55 56,20,,80,17,,1,3,4,,9,20,22,67,,,95.7,189
,,55 56,86,,200,18,1,4,5,7,10,20,21,29,39,,,92.8,189
DETROIT MICH,1,53 54,32,,80,4,,,1,1,1,2,3,5,8,,,90.5,189
CINCINNATI OHIO,1,54,73,,115,7,,1,1,2,3,4,5,6,17,,,94.9,189
,1,55,27,,120,31,1,1,,9,21,28,44,67,76,,,95.0,189
,1,55,100,,120,14,,1,1,3,4,5,8,21,46,,,95.5,189
,2,54,20,,43,5,,,1,1,2,3,3,4,6,,,95.7,189
,4,54,22,,12,1,,,,1,1,1,1,2,3,,,93.0,189
,5,54,28,,26,2,,,,1,1,1,2,3,4,,,95.3,189
,,54,1 43,,115,5,,,1,1,1,2,3,5,10,,,93.8,189
,,55,27,,120,31,1,1,5,9,21,28,44,67,76,,,93.7,189
,,54 55,1 70,,120,9,,,1,1,2,3,5,9,29,,,94.0,189
YOUNGSTOWN OHIO,1,57,,4,10,6,4,4,,5,6,6,6,7,9,,,93.1,189
MILWAUKEE WIS,1,57,19,3,11,6,3,4,4,5,5,6,7,8,9,,,93.1,189
MINNEAPOLIS MINN,1,54 55,36,,30,3,,,,1,1,1,1,5,9,,,94.7,189
KANSAS CITY MO,2,54 56,25,,60,4,,,,1,1,1,1,4,7,,,93.7,189
,3,54,6,,,,,,,,1,1,1,1,1,,,95.6,189
,4,55 56,9,,,,,,,,1,1,1,1,1,,,94.2,189
,,54 56,40,,60,2,,,,,1,1,1,1,5,,,95.0,189
ST LoUuIS MO,1,56,23,,80,15,1,6,7,8,9,10,1 0,,39,,,88.5,189
NEW ORLEANS LA,1,54 s5,26,,10,1,,,1,1,1,1,2,3,5,,,93.6,189
,2,54,24,,4,,,,,1,1,1,1,3,3,,,95.9,189
,,54 55,50,,10,1,,,,1,1,1,2,3,4,,,95.5,189
FT WORTH TEXAS,1,54 55,32,,10,,,,,,1,1,1,1,4,,,94.5,189
LAKEWORTH TEXAS,1,54,6,,3,,,,,,1,1,1,1,1,,,95.1,189
HOUSTON TEXAS,1,54,26,,35,4,,,1,1,1,3,4,5,9,,,95.0,189
,1,55,56,,90,12,,1,1,2,5,7,10,21,41,,,93.2,189
,1,54 55,82,,90,10,,,1,1,3,5,8,15,32,,,93.8,189
BELLAIRE TEXAS,1,54,ei,,20,5,,1,2,4,4,5,5,9,10,,,92.2,189
,1,,,,10,1,,,,1,1,1,3,3,5,,,94.1,189
,1,54 55,35,,20,3,,1,1,1,3,4,5,5,10,,,95.0,189
DENVER COL,1,54 55,23,,50,,1,9,9,10,10,20,20,21,22,,,94.4,189
,3,54,3,2,3,2,,2,2,2,3,3,3,3,3,,,95.5,189
,,54 55,26,,50,13,2,3,9,9,10,19,20,21,22,,,93.4,189
SALT LAKE city UTAH,2,54 55,31,,70,10,,1,3,5,6,8,9,20,21,,,92.4,189
ANCHORAGE ALASKA,1,54 55,42,,7,1,,,,1,1,1,1,2,5,,,95.1,189
Los ANGELES CALIF,,54,19,,17,2,,,,1,1,1,1,6,8,,,93.5,189
SAN FRANCISCO CALIF,1,55 56,32,,60,2,,,,1,1,1,1,1,3,,,94.4,189
PASADENA CALIF,,25,a7,,,1,,,,1,4,1,1,2,4,,,86.5,190
,1,,,,,2,,,1,1,2,3,3,4,5,,,95.8,190
,1,56,,,10,6,,1,1,6,6,6,8,8,10,,,95.2,190
,1,54 56,48,,14,2,,,1,1,,2,3,4,5,,,88.0,190
BERKELEY CALIF,1,54 55,35,,,2,,,1,1,2,3,4,5,6,,,94.8,190
SAN JOSE CALIF,1,54,27,,,,,,,,1,1,1,1,,,,94.9,190
,1,55,12,,11,3,,1,1,2,2,2,3,5,5,,,94.5,190
,1,56,20,,13,2,,,,1,1,1,3,4,6,,,92.6,190
,1,54 56,59,,13,1,,,,1,1,,1,,5,,,91.5,190
SAN LEANDRO CALIF,1,55,,,50,14,1,,7,8,9,10,10,10,22,,,93.3,190
,1,56,22,,30,11,1,5,7,9,9,10,10,2i,22,,,93.2,190
,1,45 56,30,,50,12,1,5,7,9,9,10,10,,22,,,94.8,190
PORTLAND OREGON,1,54,20,,10,2,,,1,1,1,2,3,5,9,,,94.7,190
,1,55,19,,30,5,,1,1,3,4,4,5,7,9,,,94.8,190
,1,54 55,39,,30,3,,,1,1,2,3,5,7,9,,,95.5,190
,2,54,15,,16,2,,,1,1,1,1,2,2,12,,,94.8,190
,5,54,10,,20,9,1,3,4,6,9,10,10,12,21,,,94.6,190
,4,54,10,,14,4,1,1,3,3,4,4,6,6,7,,,96.0,190
,,,35,,20,4,,1,1,1,2,3,6,8,,,,92.7,190
,,55,19,,30,5,,1,1,3,4,4,5,7,9,,,92.9,190
,,54 55,74,,30,4,,1,1,1,2,4,,8,10,,,95.0,190
SEATTLE WASH,1,57,20,,,4,2,3,3,4,4,4,5,6,7,,,95.4,190
