Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,96.0,201
MIDOLESEX CNTY MASS,1,55,23,,,,,,,,1,1,1,1,,,,91.7,201
LAKEHURST N J,1,55 56,19,,,,,,,,1,1,1,1,,,,90.6,201
KANAWHA co W VA,1,54 55,23,,17,3,,,1,1,1,2,4,5,,,,89.6,201
HILLSBOROUGH co FLA,1,54,,5,20,1i,,5,5,8,8,8,14,14,20,,,90.8,201
FULTON co GEORGIA,1,54,,10,40,19,,10,10,12,12,12,18,18,45,,,91.9,201
HAMILTON COUNTY OHIO,1,54 55,29,,26,2,,,,1,1,1,1,2,,,,93.8,201
TONKA BAY MINN,1,54,,,22,2,,,,1,1,,1,1,,,,92.6,201
DENVER COUNTY COLa,1,54 55,10,1,,2,1,1,1,1,2,2,2,4,,,,90.1,201
SALT LAKE co UTAH,1,54,,,61,,,,,1,1,1,1,1,69,,,95.2,201
MULTNOMAH CNTY ORE,6,54,,,,3,,,1,1,2,3,3,6,,,,93.1,201
GRAND- TOTAL,,54 56,137,,61,3,,,,1,1,1,1,,,,,94.4,201
NONURBAN,,,,,,,,,,,,,,,,,,91.0,201
PT WORONZOF ALASKA,1,55 56,,1,10,3,1,1,1,,3,3,4,5,,,,94.1,201
