Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
NEW YORK N Y,,,,,,6,,,1,1,2,4,6,9,18,,,91.8,184
PHILADELPHIA PA,,54,10,,49,11,,1,1,1,4,5,8,20,33,,,92.1,184
WASHINGTON oc,,54 55,29,,61,12,3,4,5,7,10,11,13,16,20,,,93.1,184
LOUISVILLE KY,,54,5,,,,,,,,1,1,1,1,1,,,89.9,184
CHARLESTON W VA,1,54,6,,36,13,1,1,1,,5,6,6,33,33,,,91.4,184
TAMPA FLA,1,54,7,,11,6,1,1,3,5,7,7,8,10,10,,,93.8,184
ATLANTA GA,1,54,5,3,14,6,3,3,3,3,4,4,7,,14,,,95.7,184
CHICAGO PEL,1,54,3,5,8,6,,5,5,5,7,7,7,7,8,,,87.5,184
,2,54 55,35,,13,3,,,1,1,1,2,5,6,10,,,92.9,184
,3,54,3,,11,6,,1,1,1,8,8,8,8,11,,,92.0,184
,,54 55,41,,13,3,,,1,1,2,4,6,8,10,,,92.1,184
DETROIT MicH,1,53,20,1,57,33,13,24,28,29,32,35,41,43,45,,,90.7,184
,1,54,9,4,31,17,4,11,13,13,16,16,18,22,27,,,95.6,184
,1,53 54,29,1,,28,11,13,18,27,29,30,33,41,44,,,94.3,184
CINCINNATI OHIO,1,54,69,,30,2,,,,1,1,1,1,3,8,,,93.7,184
,1,55,4,5,19,,,5,5,9,9,9,11,,20,,,91.3,184
,1,54 55,73,,30,2,,,,1,1,1,1,5,il,,,90.8,184
,,54,13,,24,8,,1,1,2,11,12,12,13,14,,,95.2,184
,4,54,13,,23,10,,1,6,9,12,12,16,17,18,,,92.5,184
,,54,17,,34,12,1,2,5,6,11,13,,22,24,,,93.0,184
,,54,112,,34,5,,,1,4,1,3,8,12,16,,,93.2,184
,,55,4,5,19,11,,,5,9,9,9,11,11,20,,,94.7,184
,,54 35,116,,34,5,,,1,1,1,5,9,12,16,,,91.6,184
MINNEAPOLIS MINN,1,54,15,,18,4,,,1,1,1,2,5,6,16,,,90.9,184
KANSAS CITY MO,,54,11,,50,18,,1,2,3,21,22,24,27,48,,,87.8,184
NEW ORLEANS LA,,54,4,,,,,,,1,1,1,1,1,,,,93.7,184
FT WORTH TEXAS,1,54,6,,22,5,,,1,1,1,,5,7,7,,,95.4,184
LAKEWORTH TEXAS,1,54,2,2,,3,,,2,2,2,2,2,5,5,,,94.1,184
HOUSTON TEXAS,1,54,17,,59,24,2,5,10,11,29,30,32,33,50,,,93.4,184
BELLAIRE TEXAS,1,54,4,10,45,29,,10,10,30,30,30,37,37,45,,,95.4,184
OENVER COL,1,54,3,1,4,,,1,1,1,3,3,3,3,,,,92.9,184
SALT LAKE city UTAH,2,54,5,,22,4,,,1,1,1,1,1,1,22,,,91.2,184
ANCHORAGE ALASKA,1,54 55,25,,64,23,1,1,7,20,23,25,33,39,,,,94.1,184
Los ANGELES CALIF,,54,17,,108,19,3,4,5,6,8,17,20,35,37,,,92.5,184
PASADENA CALIF,1,54 55,28,,61,12,,,1,1,1,8,18,20,30,,,93.4,184
BERKELEY CALIF,1,54 55,33,,16,2,,,,1,1,1,2,3,5,,,94.7,184
SAN JOSE CALIF,1,54 55,33,,16,2,,,1,1,1,2,2,3,5,,,94.2,184
PORTLAND OREGON,1,,19,,20,2,,,,1,1,1,1,1,9,,,95.2,184
,2,54,,,5,,,,,,1,1,1,1,4,,,94.4,184
,4,54,10,1,9,6,1,3,5,6,6,6,7,8,8,,,93.9,184
,5,54,10,,7,2,,1,1,2,2,3,3,4,4,,,95.2,184
,,54,54,,20,2,,,,1,1,1,3,5,8,,,93.4,184
