Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,36,,10,4,1,2,2,3,3,4,,7,9,,,94.5,116
MASSACHUSETS TOTAL,55,49,,70,4,,1,1,1,2,2,2,3,5,,,94.9,116
NEW JERSEY TOTAL,55 56,,,12,2,,1,1,2,2,2,3,4,5,,,95.5,116
NEW YORK TOTAL,54 56,39,,43,6,1,2,2,3,3,4,5,6,14,,,95.2,116
PENNSYLVANIA TOTAL,55 56,265,,140,3,1,1,1,2,2,2,3,4,6,,,95.2,116
COLUMBIA TOTAL,55 56,17,,5,2,1,1,1,1,,2,2,3,3,,,95.5,116
KENTUCKY TOTAL,54 55,62,,38,6,1,1,2,3,3,4,5,7,17,,,93.8,116
MARYLAND TOTAL,57,18,,34,3,,,,,1,1,1,1,1,,,94.7,116
WEST VIRGINA FOTAL,55,16,,3,1,1,1,1,1,2,2,2,2,3,,,90.1,116
FLORIOQA TOTAL,55,21,,6,2,1,1,1,1,2,2,2,2,3,,,89.1,116
GEORGIA TOTAL,55 56,16,,30,6,1,1,2,2,3,5,6,8,21,,,94.1,116
TENNESSEE TOTAL,55 56,32,,7,2,1,1,1,1,2,2,2,3,5,,,93.8,116
PLLINOTS TOTAL,55 56,106,,199,12,1,2,3,4,5,7,9,10,22,,,93.5,116
INDIANA TOTAL,,86,,30,6,1,2,2,3,4,5,7,10,20,,,95.1,116
OHIO TOTAL,57,35,,140,13,1,2,3,3,4,,10,20,28,,,87.4,116
WISCONSIN TOTAL,57,19,,43,4,,,,1,1,1,1,1,22,,,95.0,116
MINNESOTA TOTAL,54 55,21,,4,1,1,1,1,1,2,2,2,2,3,,,94.1,116
MISSOURI TOTAL,55 56,50,,30,5,1,1,2,2,3,4,5,6,9,,,93.8,116
LOUISIANA TOTAL,54 55,46,,10,1,,,,1,1,1,1,1,2,,,93.9,116
TEXAS TOTAL,54 55,119,,599,7,,1,1,1,1,2,2,3,4,,,95.1,116
COLORADO TOTAL,54 35,23,,70,11,,1,3,3,6,8,10,10,30,,,94.7,116
UTAH TOTAL,54 55,26,,20,3,,,1,1,1,3,4,5,5,,,93.3,116
ALASKA TOTAL,54 55,13,,,,,,,,1,1,1,1,1,,,94.0,116
CALIFORNIA TOTAL,55 56,107,,7,1,,1,1,1,2,2,2,3,4,,,90.1,116
OREGON TOTAL,54,20,,20,6,1,2,3,4,4,5,7,8,10,,,94.7,116
WASHINGTON TOTAL,57,20,,10,,,,,,1,1,1,1,1,,,92.5,116
NEW ENGLND TOT AL,55 56,85,,70,4,1,1,1,2,2,3,4,5,8,,,92.7,116
MIO ATLANTC TOT AL,54 56,424,,140,3,1,1,2,2,2,3,3,4,6,,,93.3,116
MID EAST TOTAL,54 57,113,,38,4,,1,1,2,2,3,4,5,8,,,95.4,116
SOUTH EAST TOT AL,55 56,69,,30,3,1,1,1,1,2,2,2,4,6,,,89.2,116
MID WEST TOTAL,55 57,246,,199,9,1,2,2,3,4,6,9,10,21,,,90.6,116
GRT PLAINS TOT AL,54 56,71,,30,4,,1,1,2,2,3,4,5,8,,,92.2,116
GULF SOUTH TOT AL,54 55,165,,S99,5,,,1,1,1,2,,2,4,,,89.2,116
ROCKY MNTN TOT AL,54 55,49,,70,6,,1,1,2,3,4,5,9,20,,,93.9,116
PAC COAST TOTAL,54 57,160,,20,2,,,1,1,1,2,2,3,5,,,94.7,116
GRAND TOTAL,54 57,1382,,599,5,,1,1,2,2,3,3,5,9,,,93.8,116
