Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
ONNECTICUT TOTAL,56,,,300,,2,47,,,,,,,103,,,93.9,209
ASSACHUSETS TOTAL,55,49,,300,90,7,29,40,60,72,91,97,102,204,,,93.6,209
Ew JERSEY TOTAL,55 56,130,,600,53,,10,15,22,34,44,55,82,131,,,90.8,209
Ew YORK TOTAL,54 56,76,,998,257,20,74,137,182,235,281,315,414,S31,,,91.9,209
ENNSYLVANIA TOTAL,54 56,275,,465,38,1,2,4,9,18,29,39,55,96,,,91.6,209
1s COLUMBIA TOTAL,54 56,44,,200,33,,,1,1,10,21,50,82,95,,,90.6,209
ENTUCKY TOTAL,54 35,70,,25,4,,1,1,2,2,3,3,6,8,,,92.9,209
ARYLANODO TOTAL,57,18,42,430,133,50,67,77,89,98,137,166,174,210,,,92.2,209
WEST VIRGINA TO TAL,54 55,23,,60,8,,1,2,4,6,8,9,10,20,,,94.3,209
FLORILDA TOTAL,54 35,27,,94,6,1,1,1,1,2,2,3,4,5,,,89.1,209
GEORGIA TOTAL,54 56,19,,380,22,,1,1,1,2,2,,3,6,,,94.8,209
TENNESSEE TOTAL,55 56,32,,40,2,,1,1,1,1,1,2,2,3,,,93.1,209
TOTAL,54 56,149,,90,7,,1,1,2,3,5,7,9,20,,,93.8,209
INDIANA TOTAL,55 56,86,,140,18,1,2,5,7,9,10,19,30,44,,,92.5,209
MiECHIGAN TOTAL,53 54,,,210,28,1,1,1,2,3,4,10,15,119,,,86.5,209
OHIO TOTAL,54 57,125,,154,3,,,1,1,1,1,2,3,7,,,92.3,209
WiSCONSIN TOTAL,57,19,5,48,20,6,8,9,10,13,18,,39,43,,,94.7,209
MINNESOTA TOTAL,54 55,33,,30,5,,1,1,1,2,4,6,7,10,,,92.4,209
MISSOURI TOTAL,54 56,53,,40,,1,1,1,2,2,3,5,9,10,,,92.6,209
LOUISIANA TOTAL,54 55,30,,,1,,,1,1,1,,2,3,6,,,90.2,209
TEXAS TOTAL,54 55,143,,39,2,,,1,1,1,2,3,4,5,,,94.3,209
COLORADO TOTAL,54 535,26,,,2,,1,,2,2,3,3,4,5,,,93.6,209
UTAH TOTAL,54,31,,40,6,1,2,3,4,5,6,7,8,10,,,93.3,209
ALASKA TOTAL,54 55,40,,6 3,6,,1,1,1,2,3,,10,12,,,92.8,209
CALIFORNIA TOTAL,56,,,110,5,,,1,1,2,3,,6,9,,,95.0,209
OREGON TOTAL,54 55,74,,80,16,1,,5,9,11,14,19,24,39,,,94.1,209
WASHINGTON TOTAL,5.7,20,8,130,47,11,,28,35,43,4a,63,72,33,,,92.7,209
NEW ENGLND TOTAL,55 56,85,2,300,89,21,32,49,66,75,91,96,101,200,,,92.1,209
MIO ATLNTC TOTAL,54 56,481,,998,77,1,4,10,18,30,43,63,109,231,,,93.8,209
MIO EAST TOTAL,54 57,155,,430,28,,1,1,2,4,6,16,47,93,,,94.6,209
SOUTH EAST TOTAL,54 56,78,,380,8,,1,1,1,1,2,2,3,5,,,93.8,209
Mio WEST TOTAL,53 57,404,,210,10,,1,1,2,3,5,8,10,29,,,90.7,209
GRT PLAINS TOTAL,54 56,91,,40,5,,1,1,2,2,3,6,9,10,,,93.2,209
GULF SOUTH TOTAL,54 55,193,,39,2,,,1,1,1,2,2,3,5,,,94.3,209
ROCKY MNTN TOTAL,54 55,57,,40,4,1,1,2,3,3,4,5,6,8,,,92.9,209
PAC COAST TOTAL,54 57,345,,130,9,,1,1,2,4,5,8,12,28,,,93.8,209
GRAND TOTAL,33 57,1889,,998,31,,1,1,3,5,8,16,37,84,,,88.5,209
