Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
NEW JERSEY TOTAL,,10,,,,,,,,1,1,,,,,,95.3,156
NEW YORK TOTAL,54 55,34,,135,13,,,,1,1,1,,30,54,,,93.0,156
PENNSYLVANIA TOTAL,54,10,,102,32,1,1,2,15,38,41,43,46,48,,,95.3,156
COLUMBIA TOTAL,54 55,27,,61,5,,,,,1,,,,,,,94.8,156
KENTUCKY TOTAL,54,7,9,120,67,9,9,34,58,61,61,88,118,118,,,94.5,156
WEST VIRGINA TOTAL,54,4,2,46,25,,2,2,15,15,15,38,38,48,,,94.3,156
FLORIDA TOTAL,54,9,,56,11,,1,1,,8,8,,,17,,,91.3,156
GEORGIA TOTAL,54,6,1,57,18,,,1,,1,17,17,38,38,,,92.8,156
PLLINOTS TOTAL,54 55,41,,65,5,,,,,1,,,,27,,,89.6,156
MICHIGAN TOTAL,53 54,27,,137,50,1,7,26,30,43,54,69,88,,,,95.1,156
QHIO TOTAL,54 55,115,,118,22,,,1,1,,12,30,46,80,,,89.2,156
MENNESOTA TOTAL,54,12,,100,48,1,1,34,38,54,58,61,78,99,,,94.3,156
TOTAL,54,11,,32,16,,1,1,8,22,23,23,24,30,,,95.5,156
LOUISIANA TOTAL,54,4,,,,,,,1,1,1,,,,,,94.7,156
TEXAS TOTAL,54,29,,420,34,,,1,1,,24,43,54,59,,,95.2,156
COLORADO TOTAL,54,3,,,,,,,,1,1,,,,,,93.7,156
UTAH TOTAL,54,4,,52,16,,1,1,1,1,1,11,11,54,,,94.9,156
ALASKA TOTAL,54 55,21,,448,25,,,,,1,1,,,24,,,93.7,156
CALIFORNIA TOTAL,54 55,115,,100,10,,,,1,1,4,,16,46,,,93.5,156
OREGON TOTAL,54,53,,114,8,,,,,1,1,,,46,,,92.0,156
ATLNTC TOT AL,54 55,54,,135,14,,,,1,1,1,,35,48,,,93.4,156
MIO EAST TOTAL,54 55,38,,120,19,,,,1,1,1,15,43,,,,93.8,156
SOUTH EAST TOT AL,54,15,,57,14,,1,1,1,8,8,16,17,58,,,95.4,156
MID WEST TOTAL,53,183,,137,22,,,1,1,1,12,28,47,78,,,95.3,156
GRF PLAINS TOT AL,54,23,,100,33,,1,9,,24,32,38,58,78,,,94.5,156
GULF SOUTH TOT AL,54,33,,420,30,,,1,1,1,1,38,,59,,,93.4,156
ROCKY MNTN TOT AL,54,7,,52,9,,,,1,1,1,,11,11,,,94.2,156
PAC COAST TOTAL,54 55,i189,,448,11,,,,1,1,1,,10,44,,,92.1,156
GRAND TOTAL,53 55,S42,,448,18,,,,1,1,1,16,38,62,,,94.8,156
