Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT T OTAL,,163,,454,143,,82,97,110,127,143,173,,243,,,93.0,9
MAINE TOTAL,57,18,46,265,121,47,,85,97,114,130,145,154,171,,,92.1,9
MASSACHUSETS TOT AL,4 57,372,20,472,117,52,70,83,94,106,121,i38,159,195,,,89.8,9
NEW HAMPSHRE TOT AL,57,17,,152,70,44,47,52,58,65,68,73,97,105,,,92.9,9
HODE ISL A NO TOT AL,54 57,73,17,289,97,34,47,69,80,88,103,117,132,171,,,93.0,9
ERMONT T 0 TAL,57,26,24,83,,34,36,40,44,49,55,65,72,76,,,93.5,9
ELAWARE T OTAL,57,28,77,481,188,94,1 10,119,138,162,186,236,264,311,,,92.9,9
Ew JERSE Y TOTAL,57,422,26,971,144,66,,96,111,126,141,163,,40,,,92.1,9
Ew YORK T OTA L,53 57,376,38,642,175,72,94,115,138,160,183,211,243,305,,,91.1,9
ENNSYLVA N 1A TOT AL,53 57,570,25,,206,85,1 13,138,159,182,207,233,273,343,,,92.2,9
Is COLUM 8 LA TOT AL,53 57,154,41,459,140,76,95,106,120,131,142,159,180,2109,,,88.7,9
ENTUCKY T OTA,54 57,129,43,384,166,94,1 09,i23,137,153,170,168,213,262,,,92.9,9
ARYLAND T OTA,56 57,54,77,729,200,100,1 17,130,145,167,188,222,268,327,,,92.3,9
CcAROLt N A OTA,57,51,,322,111,58,65,79,91,101,114,,142,171,,,87.9,9
VERTO Rt c 0 T OTA,57,21,45,132,73,49,52,55,62,69,74,79,86,105,,,88.0,9
IRGt WIA T OTA,57,,50,232,106,65,76,a9,96,105,112,119,130,150,,,85.6,9
4 EST VERG t nan TOT AL,53 57,163,44,793,246,79,1,125,153,186,244,320,305,400,,,89.4,9
LABA MA T 0 TAL,57,25,50,285,129,65,81,89,100,117,145,161,171,201,,,92.1,9
LORI DA T 0 TAL,53 57,182,31,377,87,50,58,66,73,80,90,99,111,133,,,92.8,9
EORG LA T 0 TAL,5 3 57,,31,421,130,70,89,98,107,120,133,,168,208,,,89.1,9
