Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,95.5,86
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,,4,3,2,,,92.4,86
MAXIMUM,,7,i4,9,11,9,6,20,11,,7,9,8,,,87.6,86
AVERAGE,,4,9,6,5,7,4,11,6,2,5,6,5,,,95.3,86
MINIMUM,,2,5,4,2,6,4,6,3,2,3,4,3,,,95.7,86
BOSTON MASS,55 57,,,,,,,,,,,,,,,94.8,86
NUMBER OF SAMPLES,,2,2,5,1,1,2,2,4,1,2,2,1,,,94.7,86
MAXIMUM,,10,38,,,6,2,13,9,6,,6,5,,,95.2,86
AVERAGE,,8,25,,,6,2,7,5,6,3,5,5,,,94.2,86
MINtEMUM,,7,13,3,1,6,2,2,2,6,2,4,5,,,89.2,86
EV ERETT MASS,55,,,,,,,,,,,,,,,87.2,86
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,95.3,86
MAXIMUM,,i1,13,15,2,5,5,6,1e,,1,5,9,,,89.8,86
AVERAGE,,8,10,9,2,5,3,4,8,6,1,5,7,,,95.2,86
MINIMUM,,5,8,5,2,5,2,2,5,5,1,5,5,,,94.2,86
MA NCHESTER N H,57,,,,,,,,,,,,,,,85.8,86
NUMBER OF SAMPLES,,,1,2,2,2,1,1,2,1,2,1,2,,,92.4,86
MAXIMUM,,,11,10,35,23,25,,9,10,28,4,12,,,93.2,86
AVERAGE,,,11,,19,15,25,7,8,10,18,4,9,,,95.6,86
MINIMUM,,,11,6,4,8,25,7,7,10,9,4,6,,,93.6,86
EL N,55 36,,,,,,,,,,,,,,,87.2,86
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,95.2,86
MAXIMUM,,5,6,48,8,7,,3,4,5,,,13,,,94.1,86
AVERAGE,,3,5,21,5,,,3,3,5,,7,10,,,89.4,86
MiENIMUM,,2,4,6,3,7,,3,3,5,,7,8,,,87.6,86
PA ULSBORO N SAMPLES,55 56,,,,,,,,,,,,,,,93.3,86
NUMBER OF,,2,4,3,5,2,1,4,1,,2,,1,,,93.9,86
MAXIMUM,,8,9,69,62,6,3,4,5,,6,,7,,,95.0,86
AVERAGE,,6,7,26,20,5,3,4,5,,5,,7,,,93.4,86
