Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,2,,,3,,3,,,,,,,,91.7,74
NUMBER OF SAMPLES,,2,,,13,,,,4,,,3,2,,,89.1,74
MAXIMUM,,4,8,8,,6,3,1,5,2,13,13,13,,,92.8,74
AVERAGE,,3,4,4,5,3,2,1,3,2,4,5,11,,,94.9,74
MiniMuM,,2,1,1,3,1,1,1,1,2,1,1,9,,,88.5,74
BOSTON MASS,55,1,2,4,1,1,2,2,4,1,2,2,,,,91.9,74
NUMBER OF SAMPLES,,,,,,,,,,,,,1,,,95.5,74
MAXIMUM,,5,6,3,3,2,4,2,4,3,5,4,4,,,95.0,74
AVERAGE,,5,,1,3,2,2,2,3,3,4,3,4,,,92.4,74
MINT MUM,,5,4,,3,2,1,2,1,3,4,3,4,,,85.2,74
EVERETT MASS,ss,3,3,3,1,2,3,3,2,2,1,1,2,,,92.8,74
NUMBER OF SAMPLES,,3,4,1,1,4,4,4,2,3,34,12,3,,,95.4,74
MAXIMUM,,2,3,1,1,3,2,2,2,2,34,12,2,,,94.6,74
AVERAGE,,2,3,1,1,2,1,2,2,2,34,12,1,,,92.7,74
Min MUM,,,,,,,,,,,,,,,,89.5,74
ELIZABETH W J,55 56,3,2,3,5,,,,,,,1,,,,93.4,74
NUMBER OF SAMPLES,,,,,,1,,1,2,1,,,2,,,95.1,74
MAXIMUM,,6,,1,3,1,,1,3,5,,2,5,,,94.8,74
AVERAGE,,3,,,1,,,1,,,,2,4,,,92.3,74
MINIMUM,,2,,,,1,,1,,5,,2,3,,,84.1,74
PAULSBORO WN,55 56,2,4,3,,2,1,4,1,,2,,1,,,88.9,74
NUMBER OF SAMPLES,,1,1,16,ii,1,1,1,3,,2,,1,,,92.9,74
MAXIMUM,,1,1,,3,,1,1,3,,1,,1,,,94.1,74
AVERAGE,,1,1,1,1,,1,1,3,,1,,1,,,95.2,74
MiENI MUM,,,,,,,,,,,,,,,,67.5,74
CAMDEN N J,55 56,,3,3,2,,1,1,2,3,2,,2,,,89.7,74
NUMBER OF SAMPLES,,1,3,7,4,,1,,1,3,2,,2,,,93.0,74
MAXIMUM,,1,1,3,3,,1,,,1,1,,,,,92.5,74
AVERAGE,,,,,,,,,,,,,1,,,95.0,74
MINIMUM,,1,1,1,2,,1,,,,,,1,,,87.9,74
PERTH AMBOY NJ,56,3,1,4,5,,,1,2,,2,3,2,,,89.9,74
NUMBER OF SAMPLES,,,,2,4,,,1,,,1,,,,,94.7,74
MAXIMUM,,,,1,1,,,1,,,,,,,,94.2,74
AVERAGE,,,,1,,,,1,,,,,,,,95.7,74
MINIMUM,,,,,,,,,,,,,,,,86.0,74
TRENTON MW J,56,,,,,,,,,,,,,,,69.2,74
NUMBER OF SAMPLES,,3,2,1,1,1,1,2,1,,1,1,3,,,95.1,74
MAXIMUM,,3,4,3,6,,,3,,,3,3,4,,,95.7,74
AVERAGE,,2,2,3,6,,,2,,,3,3,3,,,95.9,74
MINT MUM,,2,1,3,6,,,1,,,3,3,2,,,86.2,74
JERSEY CITY,55 56,,,,,,,,,,,,,,,91.0,74
NUMBER OF SAMPLES,,2,3,4,4,,2,2,2,1,,1,2,,,92.7,74
MAXIMUM,,1,1,3,8,,1,2,,,,,1,,,88.0,74
AVERAGE,,1,1,1,2,,,1,2,,,,1,,,93.6,74
WINI MUM,,1,1,1,1,,,,2,,,,1,,,83.6,74
NEW YORK WN Y,54 56,,,,,,,,,,,,,,,91.5,74
NUMBER OF SAMPLES,,3,4,1,4,1,9,7,5,6,6,7,7,,,94.7,74
MAX MUM,,57,38,2,4,3,26,31,43,33,17,6,92,,,92.8,74
AVERAGE,,24,18,2,2,3,8,8,12,14,10,3,23,,,92.9,74
MENIMUM,,8,2,2,1,3,1,1,1,,1,1,1,,,90.8,74
PHILADELPHIA PA,56,,,,,,,,30,,,,,,,77.5,74
NUMBER OF SAMPLES,,14,24,23,25,16,22,30,,31,35,44,48,,,94.6,74
MAXIMUM,,12,22,5,8,5,6,30,17,14,,18,22,,,86.2,74
AVERAGE,,4,3,2,2,32,1,3,3,4,3,3,4,,,92.2,74
MIN,,1,,,1,,,,,1,,,,,,76.0,74
PA,56,,1,1,2,3,,,,,,,,,,95.0,74
NUMBER OF SAMPLES,,,,,,,,,1,2,2,1,,,,94.7,74
MAXIMUM,,,6,5,3,4,,,3,4,3,2,,,,93.1,74
AVERAGE,,,6,5,3,3,,,3,2,3,2,,,,94.4,74
MINIMUM,,,6,5,3,3,,,3,1,3,2,,,,92.4,74
BRISTOL PA,55 56,,,,,,,,,,,,,,,94.0,74
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,,,,94.2,74
MAXIMUM,,,,,,2,,3,2,3,1,3,,,,94.4,74
