Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,,,,,,,,,,,,,,,,95.5,103
MASSACHUSETS TOTAL,55,49,,100,13,,,1,1,1,6,,23,42,,,94.6,103
NEW JERSEY TOTAL,55 56,120,,52,2,,,,,1,1,,,,,,94.6,103
NEW YORK TOTAL,54 56,39,,140,10,,,1,1,1,1,,17,29,,,94.9,103
PENNSYLVANIA TOTAL,35 56,265,,100,9,,,1,1,1,1,,18,29,,,93.5,103
DtS COLUMBIA TOTAL,55 56,17,,40,14,1,1,6,10,20,20,21,22,23,,,94.4,103
KENTUCKY TOTAL,54 55,62,,95,16,,1,1,2,3,6,12,38,57,,,94.5,103
WEST VIRGINA TOTAL,,16,,100,31,,1,1,10,11,39,42,66,77,,,94.4,103
FLORIDA TOTAL,55,21,,50,18,,1,1,,21,28,29,31,42,,,93.3,103
GEORGIA TOTAL,55 56,16,,200,45,1,1,,21,23,42,53,66,89,,,94.9,103
TENNESSEE TOTAL,55 56,32,,100,23,,1,7,10,23,28,30,39,,,,92.6,103
PLLINOIS TOTAL,55 56,106,,300,34,,1,1,10,21,30,41,55,77,,,89.8,103
INDIANA TOTAL,55 56,86,,220,20,,1,1,4,10,20,22,29,39,,,93.5,103
OHIO TOTAL,55,23,,100,31,1,12,20,22,29,30,38,42,63,,,92.5,103
MINNESOTA TOTAL,54 55,21,,70,20,,1,6,7,20,21,23,31,57,,,93.3,103
MISSOURI TOTAL,55 56,50,,200,22,1,5,8,it,20,21,23,29,39,,,93.6,103
LOUISIANA TOTAL,55,46,,300,38,1,4,9,10,11,21,23,42,98,,,92.9,103
TEXAS TOTAL,54 55,119,,1500,89,,1,3,5,10,206,22,38,73,,,92.1,103
COLORADO TOTAL,54 55,23,,100,29,2,,11,20,22,23,39,42,57,,,90.4,103
UTAH TOTAL,54 55,26,,70,16,1,3,4,6,10,11,22,29,31,,,94.6,103
ALASKA TOTAL,54 55,13,,700,111,,,1,1,1,11,21,23,528,,,94.4,103
CALIFORNIA TOTAL,55 56,107,,300,16,,,1,4,8,10,20,22,31,,,93.5,103
OREGON TOTAL,54,20,,50,20,1,5,10,11,21,23,28,30,31,,,94.4,103
NEW ENGLNDO TOTAL,55 56,65,,100,12,,,1,1,5,10,19,22,38,,,87.7,103
MID ATLNTC TOTAL,54 56,424,,140,7,,,,1,1,1,,12,27,,,93.3,103
MtO EAST TOTAL,54 56,95,,100,18,,1,1,2,6,11,22,38,,,,94.7,103
SOUTH EAST TOTAL,55 56,69,,200,27,,1,7,i1,23,28,30,41,57,,,90.5,103
MID WEST TOTAL,55 56,215,,300,28,,1,2,9,20,22,30,41,64,,,90.9,103
GRT PLAINS TOT AL,54 56,71,,200,21,1,1,,10,20,21,23,29,51,,,92.8,103
GULF SOUTH TOT AL,54 535,165,,1500,75,1,1,4,7,10,20,23,39,98,,,94.3,103
ROCKY MNTN TOT AL,54 55,49,,100,22,2,3,7,10,19,21,28,38,53,,,93.3,103
PAC COAST TOTAL,54 56,140,,700,26,,1,1,5,9,11,,23,36,,,95.3,103
GRAND TOTAL,54 56,1313,,1500,25,,,1,1,6,11,21,29,,,,94.8,103
