Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,95.5,164
NUMBER OF SAMPLES,,2,,4,5,3,3,3,,,4,3,2,,,87.6,164
Ave MUM,,,,1,3,5,,3,7,,4,7,5,,,91.5,164
AGE,,,,,,4,,1,,,1,3,2,,,95.8,164
MIN I MUM,,,,,,2,,,,,,,,,,79.2,164
80 STON MASS,55,,,,,,,,,,,,,,,84.8,164
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,4,1,2,2,1,,,92.5,164
MAX MUM,,2,,,1,,2,,,,2,,,,,95.8,164
AVERAGE,,2,,,1,,1,,,3,1,,,,,95.3,164
MIN MUM,,2,,,1,,,,,3,,,,,,88.6,164
EV ERETT MASS,55,,,,,,,,,,,,,,,88.8,164
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,94.7,164
MAX i MUM,,1,5,2,1,6,5,4,1,1,2,4,8,,,89.9,164
AVERAGE,,,,1,,6,2,1,,,2,4,5,,,95.8,164
MIN 1 MUM,,,,,1,6,,,,,2,4,2,,,84.8,164
Eu IZABETH WN J,55 56,,,,,,,,,,,,,,,80.3,164
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,94.2,164
MAX MUM,,,,8,1,,,,,,,,,,,95.2,164
AVERAGE,,,,2,,,,,,,,,,,,95.0,164
MIN I MUM,,,,,,,,,,,,,,,,76.3,164
PA ULSBORO N J,55 56,,,,,,,,,,,,,,,91.8,164
NUMBER OF SAMPLES,,2,4,3,5,2,1,4,1,,2,,1,,,93.1,164
MAX MUM,,3,,13,7,,,,,,,,,,,93.8,164
AVERAGE,,1,,4,1,,,,,,,,,,,95.8,164
MIN MUM,,,,,,,,,,,,,,,,66.0,164
CA MOEN N J,55 56,,,,,,,,,,,,,,,86.0,164
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,2,,,92.9,164
MAX MUM,,5,7,18,20,,2,,2,6,,,2,,,95.4,164
AVERAGE,,3,3,6,10,,2,,1,2,,,1,,,93.6,164
MIN I MUM,,2,,,,,2,,1,,,,,,,84.2,164
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,90.7,164
NUMBER OF SAMPLES,,3,1,4,5,,,1,2,,2,3,2,,,91.8,164
MAX 1 MUM,,,,4,8,,,,,,,5,,,,86.7,164
AVERAGE,,,,1,2,,,,,,,1,,,,95.8,164
MIN MUM,,,,,,,,,,,,,,,,92.5,164
TRENTON WN J,55 56,,2,,,,,,,,,,,,,80.5,164
NUMBER OF SAMPLES,,3,,1,1,1,1,2,1,,1,1,3,,,94.7,164
MAX MUM,,,,,10,,,1,,,3,2,4,,,94.9,164
AVERAGE,,,,,10,,,,,,3,2,2,,,94.2,164
MIN I MUM,,,,,10,,,,,,3,2,,,,85.3,164
JERSEY CITY N J,55 56,,,,,,,,,,,,,,,93.7,164
NUMBER OF SAMPLES,,2,3,4,4,,2,2,2,1,,1,2,,,95.2,164
MAX I MUM,,,6,14,20,,,,1,,,,,,,91.1,164
AVERAGE,,,3,3,5,,,,,,,,,,,95.8,164
MIN t MUM,,,,,,,,,,,,,,,,81.0,164
NEW YORK N,54 56,,,,,,,,,,,,,,,94.0,164
NUMBER OF SAMPLES,,4,6,3,7,5,10,7,5,6,6,7,7,,,93.3,164
MAX t MUM,,16,16,24,9,11,17,16,10,29,31,14,14,,,92.0,164
AVERAGE,,9,5,13,2,3,4,7,2,13,14,5,3,,,94.5,164
MiN t MUM,,5,,,,,,,,,,,,,,70.0,164
A PA,54 56,,,,,,,,,,,,,,,92.5,164
NUMBER OF SAMPLES,,19,16,14,15,19,12,13,10,10,8,8,9,,,93.1,164
MAX MUM,,386,2i,5,11,14,8,3,5,,3,3,5,,,86.2,164
AVERAGE,,27,2,1,2,2,3,,2,1,,,1,,,94.4,164
MIN I MUM,,,,,,,,,,,,,,,,76.0,164
ALTOONA PA,56,,,,,,,,,,,,,,,95.3,164
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,93.8,164
MAX I MUM,,,,,2,1,,,3,,1,1,,,,89.5,164
AVERAGE,,,,,1,,,,3,,,1,,,,95.5,164
MIN MUM,,,,,,,,,3,,,1,,,,90.0,164
BR PA,55 56,,,,,,,,,,,,,,,95.0,164
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,2,,,94.7,164
MAX t MUM,,,1,,,,,,,6,1,9,,,,88.3,164
AVERAGE,,,1,,,,,,,1,,4,,,,95.0,164
MIN t MUM,,,1,,,,,,,,,,,,,79.2,164
CH ESTER PA,56,,,,,,,,,,,,,,,94.5,164
NUMBER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,1,,,95.1,164
MAX t MUM,,,2,,,,4,8,3,6,,,3,,,86.4,164
AVERAGE,,,2,,,,2,4,1,3,,,3,,,95.1,164
MIN MUM,,,2,,,,,,,2,,,3,,,93.4,164
ER te PA,56,,,,,,,,,,,,,,,91.0,164
NUMBER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,3,,,95.4,164
MAX MUM,,9,5,2,3,2,5,2,,7,8,6,3,,,92.5,164
AVERAGE,,5,5,1,1,1,5,2,,4,4,4,,,,94.2,164
MIN t MUM,,2,5,,,,5,2,,1,,3,1,,,90.7,164
Pi TTSBURGH PA,56,,,,,,,,,,,,,,,86.5,164
NUMBER OF SAMPLES,,3,3,3,,,3,2,,2,2,2,1,,,91.7,164
MAX I MUM,,20,20,70,,,20,2,,20,30,50,10,,,92.2,164
AVERAGE,,11,9,33,,,12,1,,15,20,30,10,,,95.2,164
MIN I MUM,,5,2,10,,,6,1,,10,10,10,10,,,90.9,164
PA,S6,,,,,,,,,,,,,,,85.0,165
NUMBER OF SAMPLES,,,3,1,2,3,2,1,1,3,2,3,2,,,95.4,165
MAX I MUM,,,10,7,10,9,,7,6,10,,8,1,,,89.0,165
AVER AGE,,,5,7,6,5,,7,6,7,2,4,,,,94.5,165
MIN MUM,,,1,7,3,2,,7,6,4,1,2,,,,89.7,165
WASHIN GTON OC,54 56,,,,,,,,,,,,,,,92.8,165
NUMB ER OF SAMPLES,,1,5,1,3,6,6,4,7,6,3,1,,,,93.6,165
MAX 1 MUM,,6,15,4,2,13,6,10,13,16,12,,,,,92.0,165
AVER AGE,,6,10,4,1,4,3,5,4,7,7,,,,,94.1,165
MIN I MUM,,6,,4,,,,3,,2,,,,,,87.6,165
OUISYV ILLE KY,54 55,,,,,,,,,,,,,,,82.4,165
NUMB ER OF SAMPLES,,2,3,1,6,4,4,13,13,12,6,1,6,,,94.8,165
MAX I MUM,,2,9,7,14,21,9,12,15,10,9,3,8,,,92.0,165
AVER AGE,,2,5,7,6,10,6,3,5,4,5,3,3,,,95.4,165
MIAN MUM,,2,2,7,,,2,,2,2,2,3,,,,92.5,165
ALTIMORE MD,,,,,,,,,,,,,,,,92.5,165
NUMB ER OF SAMPLES,,1,2,2,3,1,3,2,3,1,,,,,,94.8,165
MAX t MUM,,8,8,17,33,13,6,6,10,6,,,,,,93.6,165
AVER AGE,,8,6,13,17,13,5,5,7,6,,,,,,95.1,165
MIN 1 MUM,,8,5,9,4,13,4,5,5,6,,,,,,88.9,165
H ARLE STON VA,54 55,,,,,,,,,,,,,,,88.7,165
