Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
NEW YORK N,54 55,,,,,,,,,,3,3,2,,,90.2,80
NUMBER OF SAMPLES,,2,1,,,,2,3,1,4,,,,,,91.0,80
MAXIMUM,,96,47,,,,35,73,,37,160,95,109,,,85.3,80
AVERAGE,,81,47,,,,39,65,59,20,74,53,94,,,94.7,80
MINIMUM,,66,47,,,,24,,59,,13,27,79,,,93.8,80
WA SHINGTON oc,35,,,,,,,,,,2,,,,,78.4,80
NUMBER OF SAMPLES,,,3,,,,3,3,4,4,,,,,,89.6,80
MAXIMUM,,,110,,,,80,50,75,67,24,,,,,91.3,80
AVERAGE,,,46,,,,65,37,50,43,17,,,,,95.4,80
,,,,,,,48,24,32,21,10,,,,,94.8,80
CH 1C AGO PLL,54 35,,,,,,,,,,,,,,,60.3,80
NUMBER OF SAMPLES,,2,4,,,,1,5,3,4,6,3,3,,,95.8,80
MAXIMUM,,160,330,,,,43,65,61,97,359,392,342,,,94.3,80
AVERAGE,,155,182,,,,43,31,24,80,166,231,166,,,92.0,80
MINIMUM,,150,76,,,,43,,,39,90,147,27,,,88.8,80
cI NC INNATI OHIO,54 95,,,,,,,,,,,,,,,52.7,80
NUMBER OF SAMPLES,,1,3,,,,3,6,6,10,5,1,4,,,96.1,80
MAXIMUM,,42,50,,28,,29,63,39,105,120,,211,,,88.5,80
AVERAGE,,42,34,,28,,9,13,27,24,40,,131,,,95.1,80
MINIMUM,,42,22,,28,,,,1,,,,95,,,80.7,80
AN CHORAGE ALASKA,55,,,,,,,,,,,,,,,94.2,80
NUMBER OF SAMPLES,,1,1,,,,1,,2,,2,,2,,,95.3,80
MAXIMUM,,20,6,,,,,,,,,,,,,92.0,80
AVERAGE,,20,6,,,,,,,,,,21,,,93.5,80
MINEMUM,,20,6,,,,,,,,,,14,,,90.2,80
PA SADENA CALIF,54 55,,,,,,,,,,,,,,,89.6,80
NUMBER OF SAMPLES,,2,3,,,,3,4,2,2,4,,,,,95.9,80
MAXIMUM,,10,1,,,,,a0,87,37,30,,,,,90.4,80
AVERAGE,,8,,,,,,54,60,32,10,,,,,94.8,80
MINIMUM,,7,,,,,,34,34,27,,,,,,92.8,80
BERKELEY CALIF,55,,,,,,,,1,,,,,,,90.5,80
NUMBER OF SAMPLES,,3,3,,,,2,3,,3,4,5,4,,,95.5,80
MAXIMUM,,32,22,,,,88,33,14,20,,84,49,,,93.6,80
AVERAGE,,17,13,,,,44,27,14,6,,32,,,,95.1,80
MENT MUM,,10,,,,,,19,14,,,,3,,,65.7,80
SAN JOSE CALIF,54 55,,,,,,,,,,,,,,,88.4,80
NUMBER OF SAMPLES,,3,4,,,,1,1,,3,3,5,3,,,90.3,80
MAXIMUM,,B4,19,,,,95,80,,57,100,130,,,,91.1,80
AVERAGE,,42,10,,,,95,80,,27,70,,62,,,95.6,80
MUM,,21,,,,,95,80,,4,45,36,17,,,82.6,80
SUBURBAN,,,,,,,,,,,,,,,,95.0,80
HAMILTON COUNTY OHIO,54 55,,,,,,,,,,,,,,,91.2,80
NUMBER OF SAMPLES,,,1,,,,,4,4,4,4,3,2,,,95.1,80
MAXIMUM,,,10,,,,,51,60,52,1,24,14,,,90.2,80
AVERAGE,,,10,,,,,32,43,33,,ii,7,,,92.6,80
MIN MUM,,,10,,,,,,28,,,,,,,73.2,80
