Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,94.8,105
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,1,4,3,2,,,95.4,105
,,,,10,20,20,10,30,30,10,40,30,20,,,95.0,105
AVERAGE,,,,4,4,20,3,15,17,10,12,23,10,,,95.6,105
,,,,,,20,,7,10,10,,20,,,,91.6,105
BO STON MASS,55,,,,,,,,,,,,,,,94.8,105
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,4,1,2,2,1,,,95.0,105
MAXIMUM,,30,,,,6,20,10,,60,20,,,,,94.0,105
AVERAGE,,30,,,,6,10,5,,60,13,,,,,91.9,105
MINIMUM,,30,,,,6,,,,60,7,,,,,92.0,105
EV ERETT MAS,,,,,,,,,,,,,,,,91.7,105
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,1,1,2,,,94.6,105
MAXIMUM,,10,60,40,40,100,50,5,20,20,40,,50,,,95.0,105
AVERAGE,,6,33,13,40,50,18,1,10,13,40,,30,,,92.3,105
MINIMUM,,,,,40,,,,,6,40,,10,,,92.8,105
NE w YORK NY,54 56,,,,,,,,,,,,,,,88.2,105
NUMBER OF SAMPLES,,1,3,1,4,1,7,4,4,2,3,4,5,,,93.8,105
MAXIMUM,,31,14,,1 40,19,14,7,24,36,39,29,16,,,91.2,105
AVERAGE,,31,4,,35,19,4,3,12,18,i3,7,3,,,89.3,105
MINIEMUM,,31,,,,19,,,,,,,,,,74.0,105
PH PA,55 56,,,,,,,,,,,,,,,95.5,105
NUMBER OF SAMPLES,,17,13,13,13,18,,13,13,10,8,8,9,,,94.6,105
MAXIMUM,,52,15,22,53,74,37,26,35,11,,10,13,,,94.8,105
AVERAGE,,15,4,5,5,6,6,4,3,1,,2,2,,,94.5,105
MINIMUM,,,,,,,,,,,,,,,,13.0,105
ER ie PA,56,,,,,,,,,,,,,,,87.2,105
NUMBER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,3,,,95.6,105
MAXIMUM,,20,,,6,6,,,,30,30,30,100,,,95.2,105
AVERAGE,,13,,,2,3,,,,10,20,186,70,,,92.8,105
MINtMUM,,,,,,,,,,,,7,209,,,85.0,105
TTSBURGH P SAMPLES,56,,,,,,,,,,,,,,,83.8,105
NUMBER OF,,3,3,3,,,3,2,,2,2,2,1,,,95.4,105
MAXIMUM,,20,40,70,,,20,,,40,30,30,40,,,95.4,105
AVERAGE,,12,20,36,,,15,,,22,25,25,40,,,94.9,105
MINIMUM,,8,10,10,,,6,,,5,20,20,40,,,93.9,105
wil LLIAMSPORT PA,55S 56,,,,,,,,,,,,,,,83.0,105
NUMBER OF SAMPLES,,,3,1,2,3,2,1,1,3,2,3,2,,,95.1,105
MAXIMUM,,,60,50,50,30,,20,30,40,,20,6,,,93.3,105
AVERAGE,,,33.,50,25,23,,20,30,23,,6,3,,,91.3,105
MINIMUM,,,,50,,20,,20,30,,,,,,,95.4,105
WA SHINGTON OC,55 56,,,,,,,,,,,,,,,88.8,105
NUMBER OF SAMPLES,,1,2,,1,3,2,1,3,2,1,1,,,,94.1,105
MAXIMUM,,10,,,20,20,40,20,20,10,20,,,,,95.7,105
AVERAGE,,10,,,20,13,35,20,,8,20,,,,,94.9,105
MINIMUM,,10,,,20,,30,20,6,7,20,,,,,95.1,105
Lo UISVILLE KY,54 55,,,,,,,,,,,,,,,92.4,105
NUMBER OF SAMPLES,,2,3,1,1,1,3,13,13,le,6,1,6,,,91.4,105
MAXIMUM,,2,39,35,6,23,95,61,57,87,60,8,56,,,92.5,105
AVERAGE,,1,16,35,6,23,60,19,8,10,19,8,15,,,93.8,105
MINIMUM,,,3,35,6,23,20,,,,2,8,,,,87.5,105
CH ARLESTON W VA,55,,,,,,,,,,,,,,,91.8,105
NUMBER OF SAMPLES,,,1,1,,2,2,2,1,1,3,2,1,,,94.9,105
MAXIMUM,,,50,60,,40,90,10,70,100,40,10,,,,94.7,105
AVERAGE,,,50,60,,20,50,5,70,100,20,5,,,,91.4,105
MINIMUM,,,50,60,,,10,,70,100,,,,,,78.8,105
TA MPA FLA,55,,,,,,,,,,,,,,,95.2,105
NUMBER OF SAMPLES,,2,1,1,3,2,1,2,2,3,1,2,1,,,94.7,105
MAXIMUM,,30,50,,30,,20,30,40,,20,,7,,,95.3,105
AVERAGE,,15,50,,20,,20,15,35,33,20,,,,,95.0,105
MINEMUM,,,50,,,,20,,30,10,20,,7,,,87.7,105
ATLANTA GA,55 56,,,,,,,,,,,,,,,94.5,105
NUMBER OF SAMPLES,,1,1,3,2,1,1,3,1,,1,1,1,,,93.6,105
MAXIMUM,,200,50,50,40,,20,20,80,,100,60,40,,,91.8,105
AVERAGE,,200,50,30,20,,20,13,80,,100,60,40,,,94.6,105
MINIMUM,,200,50,20,,,20,,80,,100,60,40,,,88.2,105
CHATTANOOGA TENN,55 56,,,,,,,,,,,,,,,85.2,105
NUMBER OF SAMPLES,,1,,3,2,2,,1,4,4,5,3,2,,,94.6,105
MAXIMUM,,,38,30,29,70,,10,30,30,60,50,100,,,95.0,105
AVERAGE,,,23,16,14,50,,10,17,16,31,20,53,,,94.9,105
MINIMUM,,,,10,,30,,10,,,,,7,,,91.8,105
CHICAGO ILL,55,,,,,,,,,,,,,,,83.7,105
NUMBER OF SAMPLES,,2,3,6,3,100,11,9,6,4,10,10,5,,,93.9,105
MAXIMUM,,,80,60,80,,70,40,100,60,100,60,40,,,95.0,105
AVERAGE,,,40,15,46,18,12,6,45,37,36,21,9,,,93.8,105
MINIMUM,,,10,,,,,,20,,,,,,,81.3,105
EAST ST LOUIS HEL,55,,,,,,,,,,,,,,,72.0,105
NUMBER OF SAMPLES,,4,2,2,2,2,3,1,4,3,1,2,3,,,93.6,105
MAXIMUM,,50,50,200,80,60,50,200,70,300,,80,300,,,94.1,105
AVERAGE,,29,35,115,40,40,36,200,50,113,,55,126,,,95.2,105
MINIMUM,,8,20,30,,20,20,200,30,20,,30,40,,,94.5,105
EAST CHICAGO,56,,,,,,,,,,,,,,,94.7,106
NUMBER OF SAMPLES,,6,5,14,7,220,6,10,5,7,,8,8,,,94.2,106
MAXIMUM,,30,30,200,20,,40,30,40,30,200,50,20,,,93.2,106
AVERAGE,,8,8,27,4,68,12,11,20,22,68,13,7,,,91.5,106
MINIMUM,,,,,,2,,,,20,20,,,,,95.5,106
om NCINNATI OHIO,55,,,,,,,,,,,,,,,76.5,106
NUMBER OF,,2,,2,2,2,2,2,3,2,,2,2,,,95.7,106
MAXIMUM,,30,,60,40,50,66,30,40,42,,20,100,,,93.6,106
AVERAGE,,18,,40,28,25,43,18,30,21,43,16,65,,,94.7,106
MINIMUM,,7,,20,17,,20,6,20,,26,12,30,,,88.7,106
wl NNEAPOLIS MIAN,54 55,,,,,,,,,,,,,,,78.4,106
NUMBER OF SAMPLES,,1,1,1,1,,2,,5,4,3,2,1,,,94.8,106
MAX I MUM,,20,10,70,20,,20,,60,30,,30,7,,,91.1,106
AVERAGE,,20,10,70,20,,10,,23,16,23,15,7,,,94.6,106
MIN I MUM,,20,10,70,20,,,,,7,,,7,,,89.1,106
KA NSAS city WO,55 56,,,,,,,,,,,,,,,84.2,106
NUMBER OF SAMPLES,,4,2,3,3,3,2,2,4,1,1,1,1,,,94.7,106
MAX I MUM,,21,30,16,20,20,30,9,100,5,6,20,30,,,93.1,106
AVERAGE,,il,28,10,13,8,19,8,40,5,6,20,30,,,95.2,106
MIN MUM,,,27,6,10,,8,8,,5,6,20,30,,,94.8,106
OP,55 56,,,,,,,,,,,,,,,91.0,106
SAMPLES,,2,2,,2,3,2,2,3,1,1,3,2,,,95.4,106
MAX I MUM,,20,50,,,20,40,30,590,30,,20,200,,,90.7,106
AVERAGE,,20,40,,,6,30,15,30,30,,16,120,,,95.6,106
MIN MUM,,20,30,,,,20,,20,30,,10,40,,,91.2,106
NEW ORLEANS LA,54 55,,,,,,,,,,,,,,,95.4,106
NUMBER OF SAMPLES,,2,3,3,4,4,4,6,4,4,4,5,3,,,94.7,106
MAX 1 MUM,,100,200,10,40,60,40,90,40,200,100,300,200,,,91.7,106
AVERAGE,,50,75,6,17,16,20,24,21,57,35,74,83,,,89.7,106
MIN I MUM,,,5,,9,,10,,5,,10,,,,,91.0,106
HOUSTON TEXAS,54 55,,,,,,,,,,,,,,,95.2,106
NUMBER OF SAMPLES,,,5,6,4,5,6,7,3,6,6,9,7,,,92.5,106
MAX t MUM,,,43,70,10,270,5,40,38,190,73,so,1500,,,85.9,106
AVERAGE,,,21,15,4,57,3,13,15,886,22,26,442,,,89.4,106
MIN I MUM,,,3,3,,3,,,3,7,,2,,,,92.6,106
BELLA I RE TEXAS,54 55,,,,,,,,,,,,,,,86.5,106
NUMBER OF SAMPLES,,3,2,3,2,2,2,2,1300,3,200,2,3,,,95.7,106
MAX MUM,,40,9,20,10,10,,1400,,70,,10,20,,,95.2,106
AVERAGE,,14,6,20,7,9,,1300,843,50,75,6,9,,,95.4,106
MioN MUM,,2,4,20,5,9,,1200,30,40,20,2,3,,,89.5,106
DENVER CoOL,54 55,,,,,,,,,,,,,,,88.8,106
NUMBER OF SAMPLES,,2,2,2,2,2,2,2,2,2,2,1,2,,,95.3,106
MAX I MUM,,20,20,100,10,50,40,10,90,40,40,,20,,,93.5,106
AVERAGE,,20,,75,10,30,21,6,65,30,30,50,11,,,93.2,106
MIN t MUM,,20,2,50,10,10,3,3,40,20,20,50,3,,,90.3,106
SALT LAKE CITY UTAH,54 55,,,,,,,,,,,,,,,89.0,106
NUMBER OF SAMPLES,,3,2,2,2,2,2,2,2,2,2,2,3,,,95.7,106
MAX MUM,,40,30,20,4,7,4,7,70,30,10,30,20,,,91.9,106
AVERAGE,,15,20,11,2,5,4,3,60,20,6,30,16,,,95.9,106
MIN I MUM,,,10,3,,3,4,,50,10,3,30,10,,,93.3,106
SAN FRANCISCO CALIF,55 56,,,,,,,,,,,,,,,94.0,106
NUMBER OF SAMPLES,,3,2,2,1,3,2,5,2,3,3,5,1,,,95.7,106
MAX t MUM,,,20,10,30,20,20,50,10,20,5,5,,,,93.9,106
AVERAGE,,,14,5,30,16,,21,,6,1,1,,,,95.0,106
MIN t MUM,,,8,,30,8,10,,,,,,,,,91.9,106
PASADENA CALIF,55 36,,,,,,,,,,,,,,,89.2,106
NUMBER OF SAMPLES,,2,2,1,3,3,2,3,,2,2,,,,,94.8,106
MAX MUM,,,10,9,30,20,5,10,,9,5,,,,,94.6,106
AVERAGE,,,5,9,20,12,2,8,,4,2,,,,,95.0,106
MIN J MUM,,,,9,10,,,8,,,,,,,,84.8,106
SAN JOSE CALIF,55 56,,,,,,,,,,,,,,,94.6,106
NUMBER OF SAMPLES,,1,2,2,,3,3,3,3,2,1,2,3,,,95.8,106
MAX I MUM,,8,,,,20,20,10,34,42,10,,8,,,92.1,106
AVERAGE,,8,,,,10,6,3,25,21,10,,2,,,95.7,106
MIN i MUM,,8,,,,,,,10,,10,,,,,83.2,106
SAN LEANORO CALIF,55 56,,,,,,,,,,,,,,,84.8,106
NUMBER OF SAMPLES,,3,1,2,1,1,2,4,4,1,3,7,1,,,95.1,106
MAX 1 MUM,,10,20,20,20,20,40,300,30,30,100,50,,,,90.4,106
AVERAGE,,5,20,10,20,20,40,150,25,30,43,15,,,,95.2,106
MIN MUM,,,20,,20,20,40,,20,30,190,,,,,88.9,106
PORTLAND OREGON,54,,,,,,,,,,,,,,,93.3,106
NUMBER OF SAMPLES,,1,,3,1,,,2,7,5,1,,,,,91.2,106
MAX MUM,,30,,30,10,,,20,50,50,10,,,,,95.2,106
AVERAGE,,30,,13,10,,,20,23,22,10,,,,,95.9,106
MIN I MUM,,30,,,10,,,20,,,10,,,,,91.9,106
MIDOLESEX CNTY MASS,55,,,,,,,,,,,,,,,83.8,107
NUMBER OF SAMPLES,,,1,2,,1,3,2,3,3,,2,,,,94.9,107
MAXIMUM,,,5,50,,10,9,,30,20,10,20,20,,,93.5,107
AVERAGE,,,9,25,,10,3,,13,,10,10,,,,95.4,107
MINItMUM,,,9,,,10,,,,,10,,,,,74.0,107
KANAWHA Co w VA,,,,,,,,,,,,,,,,75.2,107
NUMBER OF SAMPLES,,,3,2,,2,1,,1,,,1,,,,94.4,107
MAXIMUM,,,50,30,,60,,,40,,20,20,,,,93.4,107
AVERAGE,,,16,25,,35,,,40,,10,20,,,,95.6,107
MiNiMUM,,,,20,,10,,,40,,,20,,,,83.6,107
DENVER COUNTY COLO,54,,,,,,,,,,,,,,,85.8,107
NUMBER OF SAMPLES,,,1,1,1,,,,,,,1,,,,94.6,107
MAXIMUM,,,20,,,,,40,,90,30,20,,,,95.0,107
AVERAGE,,,20,,,,,40,,65,30,20,10,,,95.7,107
MINIMUM,,,20,,,,,40,,40,30,20,10,,,95.7,107
